Občina,OŠ ali manj,srednje poklicno izobraževanje,"strokovno, splošno izobraževanje","izobraževanje prve, druge, tretje stopnje",Skupaj,month,year
MAJŠPERK,26.0,30.0,33.0,15.0,104.0,NOV,2021
MAKOLE,23.0,23.0,15.0,8.0,69.0,NOV,2021
MARIBOR,1539.0,1203.0,1355.0,951.0,5048.0,NOV,2021
MARKOVCI,19.0,36.0,28.0,10.0,93.0,NOV,2021
MEDVODE,113.0,105.0,139.0,120.0,477.0,NOV,2021
MENGEŠ,69.0,48.0,67.0,33.0,217.0,NOV,2021
METLIKA,200.0,86.0,61.0,32.0,379.0,NOV,2021
MEŽICA,26.0,24.0,19.0,11.0,80.0,NOV,2021
MIKLAVŽ NA DRAVSKEM POLJU,56.0,71.0,71.0,25.0,223.0,NOV,2021
MIREN - KOSTANJEVICA,31.0,21.0,27.0,23.0,102.0,NOV,2021
MIRNA,16.0,11.0,6.0,7.0,40.0,NOV,2021
MIRNA PEČ,20.0,20.0,13.0,3.0,56.0,NOV,2021
MISLINJA,34.0,49.0,30.0,17.0,130.0,NOV,2021
MOKRONOG - TREBELNO,18.0,23.0,13.0,6.0,60.0,NOV,2021
MORAVČE,25.0,24.0,33.0,15.0,97.0,NOV,2021
MORAVSKE TOPLICE,47.0,51.0,49.0,33.0,180.0,NOV,2021
MOZIRJE,30.0,33.0,29.0,25.0,117.0,NOV,2021
MURSKA SOBOTA,262.0,181.0,177.0,129.0,749.0,NOV,2021
MUTA,28.0,38.0,26.0,8.0,100.0,NOV,2021
NAKLO,23.0,27.0,41.0,25.0,116.0,NOV,2021
NAZARJE,19.0,16.0,19.0,13.0,67.0,NOV,2021
NOVA GORICA,242.0,165.0,199.0,174.0,780.0,NOV,2021
NOVO MESTO,510.0,165.0,231.0,168.0,1074.0,NOV,2021
ODRANCI,13.0,10.0,10.0,5.0,38.0,NOV,2021
OPLOTNICA,27.0,28.0,18.0,18.0,91.0,NOV,2021
ORMOŽ,105.0,190.0,148.0,47.0,490.0,NOV,2021
OSILNICA,5.0,3.0,1.0,1.0,10.0,NOV,2021
PESNICA,60.0,61.0,64.0,24.0,209.0,NOV,2021
PIRAN,182.0,188.0,222.0,141.0,733.0,NOV,2021
PIVKA,52.0,41.0,34.0,23.0,150.0,NOV,2021
PODČETRTEK,45.0,35.0,29.0,12.0,121.0,NOV,2021
PODLEHNIK,26.0,10.0,17.0,10.0,63.0,NOV,2021
PODVELKA,17.0,26.0,27.0,7.0,77.0,NOV,2021
POLJČANE,26.0,35.0,34.0,19.0,114.0,NOV,2021
POLZELA,47.0,40.0,67.0,40.0,194.0,NOV,2021
POSTOJNA,169.0,101.0,98.0,59.0,427.0,NOV,2021
PREBOLD,52.0,42.0,44.0,26.0,164.0,NOV,2021
PREDDVOR,17.0,14.0,22.0,19.0,72.0,NOV,2021
PREVALJE,40.0,51.0,56.0,25.0,172.0,NOV,2021
PTUJ,192.0,189.0,270.0,160.0,811.0,NOV,2021
PUCONCI,100.0,44.0,37.0,26.0,207.0,NOV,2021
RAČE - FRAM,59.0,81.0,74.0,38.0,252.0,NOV,2021
RADEČE,41.0,33.0,45.0,18.0,137.0,NOV,2021
RADENCI,32.0,58.0,44.0,20.0,154.0,NOV,2021
RADLJE OB DRAVI,45.0,70.0,61.0,24.0,200.0,NOV,2021
RADOVLJICA,111.0,91.0,133.0,84.0,419.0,NOV,2021
RAVNE NA KOROŠKEM,57.0,100.0,109.0,59.0,325.0,NOV,2021
RAZKRIŽJE,9.0,12.0,3.0,6.0,30.0,NOV,2021
REČICA OB SAVINJI,12.0,11.0,21.0,8.0,52.0,NOV,2021
RENČE - VOGRSKO,32.0,17.0,22.0,21.0,92.0,NOV,2021
RIBNICA,77.0,55.0,49.0,24.0,205.0,NOV,2021
RIBNICA NA POHORJU,13.0,26.0,10.0,3.0,52.0,NOV,2021
ROGAŠKA SLATINA,144.0,167.0,126.0,80.0,517.0,NOV,2021
ROGAŠOVCI,100.0,45.0,11.0,12.0,168.0,NOV,2021
ROGATEC,54.0,57.0,41.0,21.0,173.0,NOV,2021
RUŠE,61.0,96.0,67.0,47.0,271.0,NOV,2021
SELNICA OB DRAVI,28.0,39.0,35.0,24.0,126.0,NOV,2021
SEMIČ,65.0,35.0,26.0,12.0,138.0,NOV,2021
SEVNICA,151.0,205.0,121.0,90.0,567.0,NOV,2021
SEŽANA,110.0,92.0,90.0,64.0,356.0,NOV,2021
SLOVENJ GRADEC,132.0,164.0,122.0,87.0,505.0,NOV,2021
SLOVENSKA BISTRICA,221.0,179.0,210.0,123.0,733.0,NOV,2021
SLOVENSKE KONJICE,179.0,187.0,162.0,83.0,611.0,NOV,2021
SODRAŽICA,9.0,15.0,11.0,4.0,39.0,NOV,2021
SOLČAVA,1.0,2.0,2.0,1.0,6.0,NOV,2021
SREDIŠČE OB DRAVI,27.0,22.0,33.0,17.0,99.0,NOV,2021
STARŠE,28.0,45.0,35.0,24.0,132.0,NOV,2021
STRAŽA,30.0,18.0,19.0,12.0,79.0,NOV,2021
SVETA ANA,12.0,25.0,12.0,5.0,54.0,NOV,2021
SVETA TROJICA V SLOVENSKIH GORICAH,10.0,11.0,12.0,8.0,41.0,NOV,2021
SVETI ANDRAŽ V SLOVENSKIH GORICAH,9.0,10.0,8.0,6.0,33.0,NOV,2021
