Občina,OŠ ali manj,srednje poklicno izobraževanje,"strokovno, splošno izobraževanje","izobraževanje prve, druge, tretje stopnje",Skupaj,month,year
BELTINCI,179.0,107.0,82.0,50.0,418.0,MAJ,2018
BENEDIKT,19.0,20.0,12.0,10.0,61.0,MAJ,2018
BISTRICA OB SOTLI,17.0,11.0,10.0,10.0,48.0,MAJ,2018
BLED,32.0,32.0,75.0,52.0,191.0,MAJ,2018
BLOKE,7.0,19.0,11.0,9.0,46.0,MAJ,2018
BOHINJ,21.0,27.0,23.0,21.0,92.0,MAJ,2018
BOROVNICA,44.0,49.0,37.0,29.0,159.0,MAJ,2018
BOVEC,13.0,28.0,16.0,12.0,69.0,MAJ,2018
BRASLOVČE,42.0,42.0,44.0,40.0,168.0,MAJ,2018
BRDA,36.0,25.0,31.0,26.0,118.0,MAJ,2018
BREZOVICA,85.0,93.0,107.0,82.0,367.0,MAJ,2018
BREŽICE,305.0,333.0,259.0,157.0,1054.0,MAJ,2018
CANKOVA,54.0,31.0,18.0,6.0,109.0,MAJ,2018
CELJE,631.0,654.0,692.0,460.0,2437.0,MAJ,2018
CERKLJE NA GORENJSKEM,32.0,38.0,41.0,44.0,155.0,MAJ,2018
CERKNICA,77.0,108.0,97.0,71.0,353.0,MAJ,2018
CERKNO,18.0,16.0,19.0,14.0,67.0,MAJ,2018
CERKVENJAK,15.0,15.0,5.0,7.0,42.0,MAJ,2018
CIRKULANE,26.0,31.0,19.0,8.0,84.0,MAJ,2018
ČRENŠOVCI,139.0,71.0,36.0,24.0,270.0,MAJ,2018
ČRNA NA KOROŠKEM,31.0,24.0,19.0,13.0,87.0,MAJ,2018
ČRNOMELJ,375.0,211.0,124.0,57.0,767.0,MAJ,2018
DESTRNIK,12.0,19.0,27.0,8.0,66.0,MAJ,2018
DIVAČA,39.0,40.0,43.0,17.0,139.0,MAJ,2018
DOBJE,10.0,9.0,4.0,7.0,30.0,MAJ,2018
DOBREPOLJE,26.0,47.0,20.0,14.0,107.0,MAJ,2018
DOBRNA,14.0,21.0,13.0,9.0,57.0,MAJ,2018
DOBROVA-POLHOV GRADEC,38.0,35.0,60.0,47.0,180.0,MAJ,2018
DOBROVNIK,40.0,28.0,20.0,7.0,95.0,MAJ,2018
DOL PRI LJUBLJANI,42.0,50.0,46.0,44.0,182.0,MAJ,2018
DOLENJSKE TOPLICE,23.0,19.0,21.0,13.0,76.0,MAJ,2018
DOMŽALE,293.0,258.0,307.0,205.0,1063.0,MAJ,2018
DORNAVA,15.0,14.0,16.0,13.0,58.0,MAJ,2018
DRAVOGRAD,74.0,91.0,78.0,46.0,289.0,MAJ,2018
DUPLEK,72.0,88.0,76.0,31.0,267.0,MAJ,2018
GORENJA VAS-POLJANE,23.0,34.0,24.0,16.0,97.0,MAJ,2018
GORIŠNICA,22.0,33.0,39.0,22.0,116.0,MAJ,2018
GORJE,14.0,16.0,25.0,16.0,71.0,MAJ,2018
GORNJA RADGONA,118.0,123.0,89.0,69.0,399.0,MAJ,2018
GORNJI GRAD,13.0,24.0,17.0,13.0,67.0,MAJ,2018
GORNJI PETROVCI,41.0,23.0,11.0,16.0,91.0,MAJ,2018
GRAD,36.0,22.0,12.0,7.0,77.0,MAJ,2018
GROSUPLJE,290.0,157.0,159.0,104.0,710.0,MAJ,2018
HAJDINA,16.0,20.0,45.0,16.0,97.0,MAJ,2018
HOČE-SLIVNICA,118.0,153.0,145.0,84.0,500.0,MAJ,2018
HODOŠ,6.0,4.0,0.0,2.0,12.0,MAJ,2018
HORJUL,8.0,15.0,26.0,15.0,64.0,MAJ,2018
HRASTNIK,163.0,136.0,85.0,57.0,441.0,MAJ,2018
HRPELJE-KOZINA,42.0,46.0,26.0,19.0,133.0,MAJ,2018
IDRIJA,62.0,58.0,56.0,45.0,221.0,MAJ,2018
IG,47.0,54.0,46.0,29.0,176.0,MAJ,2018
ILIRSKA BISTRICA,121.0,136.0,95.0,72.0,424.0,MAJ,2018
IVANČNA GORICA,121.0,135.0,112.0,71.0,439.0,MAJ,2018
IZOLA,185.0,136.0,140.0,70.0,531.0,MAJ,2018
JESENICE,215.0,185.0,134.0,64.0,598.0,MAJ,2018
JEZERSKO,4.0,3.0,2.0,1.0,10.0,MAJ,2018
JURŠINCI,12.0,20.0,11.0,3.0,46.0,MAJ,2018
KAMNIK,246.0,213.0,236.0,129.0,824.0,MAJ,2018
KANAL,57.0,48.0,31.0,30.0,166.0,MAJ,2018
KIDRIČEVO,42.0,67.0,61.0,30.0,200.0,MAJ,2018
KOBARID,24.0,29.0,15.0,20.0,88.0,MAJ,2018
KOBILJE,7.0,8.0,6.0,2.0,23.0,MAJ,2018
KOČEVJE,555.0,364.0,195.0,68.0,1182.0,MAJ,2018
KOMEN,24.0,30.0,30.0,21.0,105.0,MAJ,2018
KOMENDA,35.0,39.0,40.0,27.0,141.0,MAJ,2018
KOPER,563.0,445.0,470.0,289.0,1767.0,MAJ,2018
KOSTANJEVICA NA KRKI,25.0,22.0,17.0,10.0,74.0,MAJ,2018
KOSTEL,11.0,12.0,9.0,3.0,35.0,MAJ,2018
KOZJE,40.0,35.0,32.0,19.0,126.0,MAJ,2018
KRANJ,569.0,318.0,427.0,322.0,1636.0,MAJ,2018
KRANJSKA GORA,23.0,32.0,35.0,34.0,124.0,MAJ,2018
KRIŽEVCI,27.0,26.0,34.0,27.0,114.0,MAJ,2018
KRŠKO,581.0,338.0,249.0,138.0,1306.0,MAJ,2018
KUNGOTA,53.0,54.0,55.0,33.0,195.0,MAJ,2018
KUZMA,36.0,14.0,4.0,7.0,61.0,MAJ,2018
LAŠKO,150.0,169.0,147.0,74.0,540.0,MAJ,2018
LENART,44.0,57.0,54.0,37.0,192.0,MAJ,2018
LENDAVA,283.0,200.0,189.0,100.0,772.0,MAJ,2018
LITIJA,171.0,119.0,87.0,53.0,430.0,MAJ,2018
LJUBLJANA,3459.0,2558.0,3337.0,2694.0,12048.0,MAJ,2018
LJUBNO,12.0,26.0,31.0,14.0,83.0,MAJ,2018
LJUTOMER,176.0,157.0,104.0,72.0,509.0,MAJ,2018
LOG - DRAGOMER,25.0,34.0,34.0,23.0,116.0,MAJ,2018
LOGATEC,118.0,104.0,107.0,62.0,391.0,MAJ,2018
LOŠKA DOLINA,30.0,29.0,40.0,22.0,121.0,MAJ,2018
LOŠKI POTOK,21.0,21.0,16.0,10.0,68.0,MAJ,2018
LOVRENC NA POHORJU,35.0,33.0,33.0,18.0,119.0,MAJ,2018
LUČE,18.0,13.0,20.0,15.0,66.0,MAJ,2018
LUKOVICA,43.0,38.0,43.0,20.0,144.0,MAJ,2018
MAJŠPERK,29.0,27.0,38.0,14.0,108.0,MAJ,2018
MAKOLE,15.0,28.0,8.0,15.0,66.0,MAJ,2018
MARIBOR,1625.0,1510.0,1683.0,1128.0,5946.0,MAJ,2018
MARKOVCI,26.0,33.0,27.0,24.0,110.0,MAJ,2018
MEDVODE,133.0,128.0,147.0,113.0,521.0,MAJ,2018
MENGEŠ,59.0,47.0,80.0,35.0,221.0,MAJ,2018
METLIKA,203.0,94.0,74.0,41.0,412.0,MAJ,2018
MEŽICA,24.0,25.0,27.0,13.0,89.0,MAJ,2018
MIKLAVŽ NA DRAVSKEM POLJU,65.0,78.0,75.0,33.0,251.0,MAJ,2018
MIREN-KOSTANJEVICA,27.0,26.0,28.0,20.0,101.0,MAJ,2018
MIRNA,23.0,20.0,11.0,11.0,65.0,MAJ,2018
MIRNA PEČ,27.0,16.0,16.0,7.0,66.0,MAJ,2018
MISLINJA,12.0,37.0,27.0,24.0,100.0,MAJ,2018
MOKRONOG-TREBELNO,27.0,21.0,12.0,10.0,70.0,MAJ,2018
MORAVČE,35.0,32.0,32.0,17.0,116.0,MAJ,2018
MORAVSKE TOPLICE,103.0,63.0,67.0,55.0,288.0,MAJ,2018
MOZIRJE,28.0,44.0,43.0,23.0,138.0,MAJ,2018
MURSKA SOBOTA,389.0,312.0,251.0,150.0,1102.0,MAJ,2018
MUTA,39.0,38.0,25.0,15.0,117.0,MAJ,2018
NAKLO,29.0,24.0,33.0,17.0,103.0,MAJ,2018
NAZARJE,26.0,31.0,29.0,18.0,104.0,MAJ,2018
NOVA GORICA,344.0,193.0,224.0,194.0,955.0,MAJ,2018
NOVO MESTO,573.0,178.0,218.0,194.0,1163.0,MAJ,2018
ODRANCI,29.0,21.0,16.0,8.0,74.0,MAJ,2018
OPLOTNICA,29.0,36.0,22.0,25.0,112.0,MAJ,2018
ORMOŽ,137.0,189.0,136.0,66.0,528.0,MAJ,2018
