,Občina,Basic or less,Upper secondary,Tertiary,Najvišja stopnja zaposlenosti
125,PUCONCI,0.6906474820143885,0.9086229086229086,0.9225806451612903,Tertiary
126,RADENCI,0.7910447761194029,0.9154013015184381,0.9681093394077449,Tertiary
127,RADEČE,0.8285714285714286,0.914804469273743,0.9578947368421052,Tertiary
128,RADLJE OB DRAVI,0.847457627118644,0.9316185696361355,0.9636075949367089,Tertiary
129,RADOVLJICA,0.911660777385159,0.9662387066096053,0.9644218551461246,Upper secondary
130,RAVNE NA KOROŠKEM,0.8554455445544554,0.9440381558028617,0.9705329153605016,Tertiary
131,RAČE - FRAM,0.7410071942446043,0.9079147640791476,0.9187145557655955,Tertiary
132,RENČE - VOGRSKO,0.9086021505376344,0.9635627530364372,0.9584415584415584,Upper secondary
133,REČICA OB SAVINJI,0.7352941176470589,0.9178403755868545,0.9489795918367347,Tertiary
134,RIBNICA,0.8309859154929577,0.9730889235569423,0.9732047159699893,Tertiary
135,ROGATEC,0.5905511811023622,0.8862973760932945,0.9375,Tertiary
136,ROGAŠKA SLATINA,0.8378712871287128,0.9420731707317073,0.9595083152566883,Tertiary
137,ROGAŠOVCI,0.43846153846153846,0.832089552238806,0.8918918918918919,Tertiary
138,RUŠE,0.8427947598253275,0.9448094612352168,0.9408783783783784,Upper secondary
139,SELNICA OB DRAVI,0.8899082568807339,0.91268758526603,0.9326241134751773,Tertiary
140,SEMIČ,0.7619047619047619,0.9413754227733935,0.9433198380566802,Tertiary
141,SEVNICA,0.8656126482213439,0.9487943646708209,0.9598420013166556,Tertiary
142,SEŽANA,0.899188876013905,0.9587570621468926,0.9743847312908086,Tertiary
143,SLOVENJ GRADEC,0.859465737514518,0.9505265249354262,0.970344387755102,Tertiary
144,SLOVENSKA BISTRICA,0.8309705561613958,0.952647576387778,0.9587289992695398,Tertiary
145,SLOVENSKE KONJICE,0.7856209150326797,0.9272812573305184,0.9610778443113772,Tertiary
146,SODRAŽICA,0.9117647058823529,0.9614243323442137,0.9652173913043478,Tertiary
147,SOLČAVA,0.8888888888888888,0.9776119402985075,0.9615384615384616,Upper secondary
148,SREDIŠČE OB DRAVI,0.7735849056603774,0.902027027027027,0.912621359223301,Tertiary
149,STARŠE,0.6575342465753424,0.8692946058091287,0.8711656441717791,Tertiary
150,STRAŽA,0.8169014084507042,0.9534883720930233,0.9708333333333333,Tertiary
151,SVETA ANA,0.7934782608695652,0.8894009216589862,0.9875,Tertiary
152,SVETA TROJICA V SLOVENSKIH GORICAH,0.8723404255319149,0.9049773755656109,0.9811320754716981,Tertiary
153,SVETI ANDRAŽ V SLOVENSKIH GORICAH,0.8596491228070176,0.8666666666666667,0.8863636363636364,Tertiary
154,SVETI JURIJ OB ŠČAVNICI,0.8,0.8975,0.9071428571428571,Tertiary
155,SVETI JURIJ V SLOVENSKIH GORICAH,0.896551724137931,0.8902439024390244,0.9493670886075949,Tertiary
156,SVETI TOMAŽ,0.8285714285714286,0.6690140845070423,0.9090909090909091,Tertiary
157,TABOR,0.8269230769230769,0.8709677419354839,0.8961038961038961,Tertiary
158,TIŠINA,0.5671641791044776,0.8292682926829268,0.9057971014492754,Tertiary
159,TOLMIN,0.9123809523809524,0.9641885766092475,0.9685264663805436,Tertiary
160,TRBOVLJE,0.6478658536585366,0.8817541111981206,0.9588550983899821,Tertiary
161,TREBNJE,0.7795275590551181,0.9775784753363229,0.9770642201834863,Upper secondary
162,TRNOVSKA VAS,0.9148936170212766,0.8394160583941606,0.9523809523809523,Tertiary
163,TRZIN,0.9659477866061293,0.989310009718173,0.990426041168023,Tertiary
164,TRŽIČ,0.8733552631578947,0.9491169049621531,0.9597701149425287,Tertiary
165,TURNIŠČE,0.776536312849162,0.9187396351575456,0.9368932038834952,Tertiary
166,VELENJE,0.8834355828220859,0.9481805859660098,0.9685402684563759,Tertiary
167,VELIKA POLANA,0.8292682926829268,0.8421052631578947,0.918918918918919,Tertiary
168,VELIKE LAŠČE,0.8421052631578947,0.9221014492753623,0.9510204081632653,Tertiary
169,VERŽEJ,0.8095238095238095,0.9395604395604396,0.9307692307692308,Upper secondary
170,VIDEM,0.695364238410596,0.8514680483592401,0.9219512195121952,Tertiary
171,VIPAVA,0.8520710059171598,0.9564846416382252,0.9711934156378601,Tertiary
172,VITANJE,0.8583333333333333,0.9016949152542373,0.9375,Tertiary
173,VODICE,0.8085106382978723,0.9393173198482933,0.9333333333333333,Upper secondary
174,VOJNIK,0.8212927756653993,0.9374185136897001,0.9375,Tertiary
175,VRANSKO,0.9349593495934959,0.9475806451612904,0.9414634146341463,Upper secondary
176,VRHNIKA,0.8307692307692308,0.9396058486967578,0.9627594627594628,Tertiary
177,VUZENICA,0.8085106382978723,0.8846153846153846,0.9276315789473685,Tertiary
178,ZAGORJE OB SAVI,0.8584615384615385,0.932658757850663,0.9688179840464104,Tertiary
179,ZAVRČ,0.6052631578947368,0.8435754189944135,0.9811320754716981,Tertiary
180,ZREČE,0.903177004538578,0.9580939506590064,0.9673202614379085,Tertiary
181,ČRENŠOVCI,0.43125,0.8348017621145375,0.9881656804733728,Tertiary
182,ČRNA NA KOROŠKEM,0.7763157894736842,0.9437751004016064,0.9387755102040817,Upper secondary
183,ČRNOMELJ,0.5743243243243243,0.9335375191424196,0.9631114675220529,Tertiary
184,ŠALOVCI,0.8529411764705882,0.8931297709923665,0.8775510204081632,Upper secondary
185,ŠEMPETER - VRTOJBA,0.9579100145137881,0.9882659713168188,0.9897091722595078,Tertiary
186,ŠENTILJ,0.6946564885496184,0.8650858544562551,0.9171717171717172,Tertiary
187,ŠENTJERNEJ,0.6866485013623979,0.9585838343353373,0.9792899408284024,Tertiary
188,ŠENTJUR,0.8200514138817481,0.9089229144667371,0.9281899109792285,Tertiary
189,ŠENTRUPERT,0.9473684210526315,0.9770773638968482,0.9856115107913669,Tertiary
190,ŠENČUR,0.8704318936877077,0.9603174603174603,0.9827586206896551,Tertiary
191,ŠKOCJAN,0.5054945054945055,0.9083557951482479,0.9461077844311377,Tertiary
192,ŠKOFJA LOKA,0.9435483870967742,0.9777312808249888,0.976513098464318,Upper secondary
193,ŠKOFLJICA,0.7689655172413793,0.9343903772553308,0.9435840707964602,Tertiary
194,ŠMARJE PRI JELŠAH,0.6982543640897756,0.9081133919843597,0.9433497536945813,Tertiary
195,ŠMARJEŠKE TOPLICE,0.8272727272727273,0.9411764705882353,0.9658119658119658,Tertiary
196,ŠMARTNO OB PAKI,0.7192982456140351,0.8434343434343434,0.92,Tertiary
197,ŠMARTNO PRI LITIJI,0.8983739837398373,0.9382957884427032,0.9738562091503268,Tertiary
198,ŠOŠTANJ,0.772609819121447,0.9389752446747266,0.9546027742749055,Tertiary
199,ŠTORE,0.88,0.9665940450254176,0.9725158562367865,Tertiary
200,ŽALEC,0.850453172205438,0.944991789819376,0.9605823863636364,Tertiary
201,ŽELEZNIKI,0.9775784753363229,0.9816893089190786,0.9866369710467706,Tertiary
202,ŽETALE,0.8260869565217391,0.900990099009901,0.9565217391304348,Tertiary
203,ŽIRI,0.9442379182156134,0.9812382739212008,0.9645061728395061,Upper secondary
204,ŽIROVNICA,0.8309859154929577,0.9337121212121212,0.9442231075697212,Tertiary
205,ŽUŽEMBERK,0.8724489795918368,0.9559834938101788,0.9527027027027027,Upper secondary
