Urad za delo,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 ali več,Skupaj,month,year
OS Ptuj,207.0,219.0,393.0,386.0,246.0,636.0,2087.0,JUL,2022
UD Ormož,54.0,30.0,75.0,81.0,51.0,142.0,433.0,JUL,2022
UD Ptuj,153.0,189.0,318.0,305.0,195.0,494.0,1654.0,JUL,2022
OS Sevnica,261.0,210.0,457.0,471.0,257.0,752.0,2408.0,JUL,2022
UD Brežice,76.0,66.0,144.0,145.0,93.0,286.0,810.0,JUL,2022
UD Krško,140.0,99.0,222.0,242.0,121.0,353.0,1177.0,JUL,2022
UD Sevnica,45.0,45.0,91.0,84.0,43.0,113.0,421.0,JUL,2022
OS Trbovlje,150.0,170.0,409.0,415.0,164.0,491.0,1799.0,JUL,2022
UD Hrastnik,35.0,29.0,76.0,61.0,45.0,91.0,337.0,JUL,2022
UD Litija,30.0,46.0,93.0,97.0,23.0,110.0,399.0,JUL,2022
UD Trbovlje,52.0,62.0,150.0,174.0,62.0,189.0,689.0,JUL,2022
UD Zagorje,33.0,33.0,90.0,83.0,34.0,101.0,374.0,JUL,2022
OS Velenje,273.0,327.0,630.0,589.0,300.0,1210.0,3329.0,JUL,2022
UD Dravograd,10.0,12.0,31.0,20.0,14.0,68.0,155.0,JUL,2022
UD Mozirje,30.0,36.0,82.0,66.0,25.0,120.0,359.0,JUL,2022
UD Radlje ob Dravi,29.0,31.0,69.0,81.0,57.0,135.0,402.0,JUL,2022
UD Ravne na Koroškem,54.0,72.0,115.0,92.0,44.0,163.0,540.0,JUL,2022
UD Slovenj Gradec,46.0,63.0,87.0,93.0,59.0,204.0,552.0,JUL,2022
UD Velenje,104.0,113.0,246.0,237.0,101.0,520.0,1321.0,JUL,2022
OS Celje,448.0,540.0,1194.0,1325.0,650.0,1960.0,6117.0,AVG,2022
UD Celje,161.0,170.0,436.0,480.0,185.0,491.0,1923.0,AVG,2022
UD Laško,27.0,40.0,91.0,81.0,48.0,153.0,440.0,AVG,2022
UD Slovenske Konjice,65.0,86.0,145.0,171.0,91.0,358.0,916.0,AVG,2022
UD Šentjur,38.0,56.0,119.0,139.0,71.0,187.0,610.0,AVG,2022
UD Šmarje pri Jelšah,74.0,98.0,194.0,221.0,143.0,410.0,1140.0,AVG,2022
UD Žalec,83.0,90.0,209.0,233.0,112.0,361.0,1088.0,AVG,2022
OS Koper,210.0,322.0,790.0,843.0,370.0,1024.0,3559.0,AVG,2022
UD Ilirska Bistrica,16.0,17.0,48.0,51.0,29.0,72.0,233.0,AVG,2022
UD Izola,23.0,35.0,71.0,78.0,37.0,90.0,334.0,AVG,2022
UD Koper,94.0,144.0,388.0,374.0,164.0,444.0,1608.0,AVG,2022
UD Piran,17.0,34.0,98.0,129.0,41.0,146.0,465.0,AVG,2022
UD Postojna,36.0,48.0,88.0,95.0,45.0,129.0,441.0,AVG,2022
UD Sežana,24.0,44.0,97.0,116.0,54.0,143.0,478.0,AVG,2022
OS Kranj,253.0,330.0,716.0,652.0,279.0,1029.0,3259.0,AVG,2022
UD Jesenice,50.0,51.0,96.0,110.0,41.0,98.0,446.0,AVG,2022
UD Kranj,116.0,143.0,341.0,327.0,144.0,485.0,1556.0,AVG,2022
UD Radovljica,28.0,51.0,121.0,89.0,45.0,172.0,506.0,AVG,2022
UD Škofja Loka,37.0,55.0,106.0,86.0,36.0,198.0,518.0,AVG,2022
UD Tržič,22.0,30.0,52.0,40.0,13.0,76.0,233.0,AVG,2022
OS Ljubljana,988.0,1625.0,3709.0,3608.0,1502.0,4306.0,15738.0,AVG,2022
UD Cerknica,20.0,29.0,62.0,54.0,14.0,78.0,257.0,AVG,2022
UD Domžale,92.0,135.0,299.0,297.0,139.0,382.0,1344.0,AVG,2022
UD Grosuplje,85.0,83.0,209.0,169.0,48.0,210.0,804.0,AVG,2022
UD Kamnik,56.0,64.0,132.0,140.0,74.0,222.0,688.0,AVG,2022
UD Kočevje,102.0,85.0,191.0,156.0,66.0,122.0,722.0,AVG,2022
UD Ljubljana,527.0,1106.0,2585.0,2557.0,1063.0,2983.0,10821.0,AVG,2022
UD Logatec,21.0,26.0,63.0,71.0,25.0,84.0,290.0,AVG,2022
UD Ribnica,45.0,40.0,48.0,39.0,16.0,42.0,230.0,AVG,2022
UD Vrhnika,40.0,57.0,120.0,125.0,57.0,183.0,582.0,AVG,2022
OS Maribor,608.0,777.0,1626.0,1555.0,751.0,2082.0,7399.0,AVG,2022
UD Lenart,26.0,31.0,53.0,43.0,23.0,95.0,271.0,AVG,2022
UD Maribor,451.0,578.0,1253.0,1193.0,594.0,1552.0,5621.0,AVG,2022
UD Pesnica,36.0,46.0,94.0,80.0,47.0,161.0,464.0,AVG,2022
UD Ruše,27.0,40.0,70.0,66.0,31.0,82.0,316.0,AVG,2022
UD Slovenska Bistrica,68.0,82.0,156.0,173.0,56.0,192.0,727.0,AVG,2022
OS Murska Sobota,359.0,323.0,622.0,615.0,350.0,1037.0,3306.0,AVG,2022
UD Gornja Radgona,42.0,34.0,96.0,87.0,52.0,167.0,478.0,AVG,2022
UD Lendava,83.0,76.0,124.0,142.0,88.0,296.0,809.0,AVG,2022
UD Ljutomer,37.0,43.0,77.0,61.0,45.0,130.0,393.0,AVG,2022
UD Murska Sobota,197.0,170.0,325.0,325.0,165.0,444.0,1626.0,AVG,2022
OS Nova Gorica,117.0,185.0,385.0,439.0,191.0,674.0,1991.0,AVG,2022
UD Ajdovščina,31.0,47.0,96.0,117.0,50.0,176.0,517.0,AVG,2022
UD Idrija,10.0,19.0,41.0,41.0,12.0,50.0,173.0,AVG,2022
