Kohezijska / statistična regija,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 let ali več,Skupaj,month,year
Zasavska,205.0,194.0,462.0,466.0,205.0,567.0,2099.0,NOV,2021
,,,,,,,,NOV,2021
Zahodna Slovenija,2039.0,2766.0,6144.0,6093.0,2655.0,7744.0,27441.0,NOV,2021
Gorenjska,421.0,465.0,976.0,873.0,365.0,1199.0,4299.0,NOV,2021
Goriška,175.0,274.0,486.0,497.0,225.0,828.0,2485.0,NOV,2021
Obalno-kraška,258.0,362.0,816.0,865.0,391.0,1056.0,3748.0,NOV,2021
Osrednjeslovenska,1185.0,1665.0,3866.0,3858.0,1674.0,4661.0,16909.0,NOV,2021
,,,,,,,,NOV,2021
Občina izven RS,60.0,89.0,147.0,98.0,41.0,74.0,509.0,NOV,2021
Slovenija,6162.0,6587.0,13903.0,13946.0,6690.0,18681.0,65969.0,DEC,2021
,,,,,,,,DEC,2021
Vzhodna Slovenija,4086.0,3737.0,7584.0,7699.0,3966.0,10928.0,38000.0,DEC,2021
Jugovzhodna Slovenija,590.0,459.0,1006.0,844.0,382.0,1187.0,4468.0,DEC,2021
Koroška,241.0,236.0,366.0,477.0,255.0,611.0,2186.0,DEC,2021
Podravska,1234.0,1247.0,2408.0,2434.0,1290.0,3179.0,11792.0,DEC,2021
Pomurska,544.0,413.0,742.0,862.0,503.0,1228.0,4292.0,DEC,2021
Posavska,317.0,252.0,551.0,593.0,309.0,965.0,2987.0,DEC,2021
Primorsko-notranjska,113.0,106.0,240.0,225.0,116.0,392.0,1192.0,DEC,2021
Savinjska,846.0,830.0,1814.0,1807.0,905.0,2824.0,9026.0,DEC,2021
Zasavska,201.0,194.0,457.0,457.0,206.0,542.0,2057.0,DEC,2021
,,,,,,,,DEC,2021
Zahodna Slovenija,1999.0,2743.0,6137.0,6120.0,2681.0,7677.0,27357.0,DEC,2021
Gorenjska,412.0,482.0,967.0,909.0,375.0,1203.0,4348.0,DEC,2021
Goriška,175.0,272.0,484.0,511.0,223.0,827.0,2492.0,DEC,2021
Obalno-kraška,250.0,360.0,816.0,852.0,391.0,1029.0,3698.0,DEC,2021
Osrednjeslovenska,1162.0,1629.0,3870.0,3848.0,1692.0,4618.0,16819.0,DEC,2021
,,,,,,,,DEC,2021
Občina izven RS,77.0,107.0,182.0,127.0,43.0,76.0,612.0,DEC,2021
Slovenija,6038.0,6667.0,14342.0,14486.0,6998.0,19303.0,67834.0,JAN,2022
,,,,,,,,JAN,2022
Vzhodna Slovenija,4036.0,3813.0,7925.0,8051.0,4182.0,11330.0,39337.0,JAN,2022
Jugovzhodna Slovenija,601.0,464.0,1055.0,922.0,414.0,1262.0,4718.0,JAN,2022
Koroška,239.0,225.0,388.0,467.0,273.0,646.0,2238.0,JAN,2022
Podravska,1196.0,1259.0,2479.0,2489.0,1338.0,3285.0,12046.0,JAN,2022
Pomurska,561.0,464.0,835.0,955.0,553.0,1310.0,4678.0,JAN,2022
Posavska,323.0,236.0,570.0,614.0,327.0,938.0,3008.0,JAN,2022
Primorsko-notranjska,105.0,122.0,256.0,234.0,119.0,408.0,1244.0,JAN,2022
Savinjska,817.0,846.0,1872.0,1904.0,949.0,2915.0,9303.0,JAN,2022
Zasavska,194.0,197.0,470.0,466.0,209.0,566.0,2102.0,JAN,2022
,,,,,,,,JAN,2022
Zahodna Slovenija,1922.0,2733.0,6212.0,6278.0,2762.0,7890.0,27797.0,JAN,2022
Gorenjska,403.0,475.0,976.0,939.0,389.0,1248.0,4430.0,JAN,2022
Goriška,172.0,262.0,484.0,516.0,219.0,832.0,2485.0,JAN,2022
Obalno-kraška,247.0,357.0,828.0,890.0,405.0,1067.0,3794.0,JAN,2022
Osrednjeslovenska,1100.0,1639.0,3924.0,3933.0,1749.0,4743.0,17088.0,JAN,2022
,,,,,,,,JAN,2022
Občina izven RS,80.0,121.0,205.0,157.0,54.0,83.0,700.0,JAN,2022
Slovenija,5650.0,6258.0,13693.0,13853.0,6626.0,18703.0,64783.0,FEB,2022
,,,,,,,,FEB,2022
Vzhodna Slovenija,3772.0,3565.0,7489.0,7687.0,3940.0,10967.0,37420.0,FEB,2022
Jugovzhodna Slovenija,589.0,452.0,1009.0,876.0,406.0,1191.0,4523.0,FEB,2022
Koroška,200.0,196.0,363.0,429.0,255.0,616.0,2059.0,FEB,2022
Podravska,1098.0,1161.0,2314.0,2362.0,1247.0,3203.0,11385.0,FEB,2022
Pomurska,518.0,426.0,788.0,892.0,510.0,1266.0,4400.0,FEB,2022
Posavska,310.0,232.0,555.0,602.0,307.0,911.0,2917.0,FEB,2022
Primorsko-notranjska,99.0,125.0,242.0,231.0,105.0,391.0,1193.0,FEB,2022
Savinjska,776.0,785.0,1759.0,1842.0,899.0,2845.0,8906.0,FEB,2022
Zasavska,182.0,188.0,459.0,453.0,211.0,544.0,2037.0,FEB,2022
,,,,,,,,FEB,2022
Zahodna Slovenija,1805.0,2576.0,6014.0,6024.0,2639.0,7652.0,26710.0,FEB,2022
Gorenjska,367.0,446.0,921.0,863.0,367.0,1225.0,4189.0,FEB,2022
Goriška,159.0,237.0,460.0,516.0,214.0,817.0,2403.0,FEB,2022
Obalno-kraška,234.0,323.0,820.0,843.0,395.0,1043.0,3658.0,FEB,2022
Osrednjeslovenska,1045.0,1570.0,3813.0,3802.0,1663.0,4567.0,16460.0,FEB,2022
,,,,,,,,FEB,2022
Občina izven RS,73.0,117.0,190.0,142.0,47.0,84.0,653.0,FEB,2022
Slovenija,5239.0,5786.0,12786.0,12759.0,6146.0,17818.0,60534.0,MAR,2022
,,,,,,,,MAR,2022
Vzhodna Slovenija,3512.0,3288.0,7011.0,7026.0,3641.0,10415.0,34893.0,MAR,2022
Jugovzhodna Slovenija,559.0,429.0,953.0,845.0,362.0,1103.0,4251.0,MAR,2022
Koroška,190.0,183.0,336.0,354.0,237.0,593.0,1893.0,MAR,2022
Podravska,1007.0,1075.0,2133.0,2154.0,1154.0,3041.0,10564.0,MAR,2022
Pomurska,473.0,369.0,730.0,767.0,459.0,1180.0,3978.0,MAR,2022
Posavska,305.0,232.0,524.0,567.0,304.0,870.0,2802.0,MAR,2022
Primorsko-notranjska,93.0,112.0,223.0,220.0,100.0,366.0,1114.0,MAR,2022
Savinjska,705.0,715.0,1668.0,1685.0,827.0,2740.0,8340.0,MAR,2022
Zasavska,180.0,173.0,444.0,434.0,198.0,522.0,1951.0,MAR,2022
,,,,,,,,MAR,2022
Zahodna Slovenija,1674.0,2411.0,5637.0,5630.0,2476.0,7335.0,25163.0,MAR,2022
Gorenjska,325.0,389.0,847.0,782.0,334.0,1166.0,3843.0,MAR,2022
Goriška,140.0,220.0,442.0,495.0,206.0,787.0,2290.0,MAR,2022
Obalno-kraška,229.0,287.0,781.0,799.0,371.0,997.0,3464.0,MAR,2022
Osrednjeslovenska,980.0,1515.0,3567.0,3554.0,1565.0,4385.0,15566.0,MAR,2022
,,,,,,,,MAR,2022
Občina izven RS,53.0,87.0,138.0,103.0,29.0,68.0,478.0,MAR,2022
