Kohezijska / statistična regija,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 let ali več,Skupaj,month,year
Zasavska,157.0,155.0,400.0,393.0,173.0,478.0,1756.0,JUN,2022
,,,,,,,,JUN,2022
Zahodna Slovenija,1333.0,2057.0,4840.0,4963.0,2158.0,6646.0,21997.0,JUN,2022
Gorenjska,252.0,302.0,704.0,652.0,287.0,1045.0,3242.0,JUN,2022
Goriška,110.0,200.0,366.0,443.0,190.0,711.0,2020.0,JUN,2022
Obalno-kraška,159.0,224.0,628.0,673.0,296.0,835.0,2815.0,JUN,2022
Osrednjeslovenska,812.0,1331.0,3142.0,3195.0,1385.0,4055.0,13920.0,JUN,2022
,,,,,,,,JUN,2022
Občina izven RS,54.0,88.0,183.0,132.0,43.0,71.0,571.0,JUN,2022
Slovenija,4287.0,5334.0,11602.0,11521.0,5349.0,16248.0,54341.0,JUL,2022
,,,,,,,,JUL,2022
Vzhodna Slovenija,2893.0,3143.0,6493.0,6332.0,3156.0,9568.0,31585.0,JUL,2022
Jugovzhodna Slovenija,500.0,455.0,949.0,803.0,343.0,1056.0,4106.0,JUL,2022
Koroška,149.0,181.0,317.0,296.0,180.0,579.0,1702.0,JUL,2022
Podravska,807.0,974.0,1972.0,1915.0,990.0,2795.0,9453.0,JUL,2022
Pomurska,381.0,334.0,638.0,627.0,367.0,1029.0,3376.0,JUL,2022
Posavska,249.0,225.0,469.0,495.0,260.0,774.0,2472.0,JUL,2022
Primorsko-notranjska,76.0,94.0,206.0,191.0,87.0,308.0,962.0,JUL,2022
Savinjska,585.0,716.0,1535.0,1599.0,762.0,2555.0,7752.0,JUL,2022
Zasavska,146.0,164.0,407.0,406.0,167.0,472.0,1762.0,JUL,2022
,,,,,,,,JUL,2022
Zahodna Slovenija,1337.0,2103.0,4921.0,5045.0,2151.0,6609.0,22166.0,JUL,2022
Gorenjska,260.0,330.0,741.0,675.0,294.0,1052.0,3352.0,JUL,2022
Goriška,116.0,208.0,392.0,442.0,191.0,688.0,2037.0,JUL,2022
Obalno-kraška,161.0,225.0,621.0,683.0,285.0,842.0,2817.0,JUL,2022
Osrednjeslovenska,800.0,1340.0,3167.0,3245.0,1381.0,4027.0,13960.0,JUL,2022
,,,,,,,,JUL,2022
Občina izven RS,57.0,88.0,188.0,144.0,42.0,71.0,590.0,JUL,2022
Slovenija,4224.0,5352.0,11586.0,11480.0,5307.0,15986.0,53935.0,AVG,2022
,,,,,,,,AVG,2022
Vzhodna Slovenija,2854.0,3161.0,6487.0,6349.0,3135.0,9421.0,31407.0,AVG,2022
Jugovzhodna Slovenija,514.0,462.0,943.0,799.0,349.0,1057.0,4124.0,AVG,2022
Koroška,151.0,178.0,318.0,298.0,175.0,558.0,1678.0,AVG,2022
Podravska,785.0,952.0,1946.0,1903.0,988.0,2744.0,9318.0,AVG,2022
Pomurska,365.0,347.0,640.0,628.0,354.0,1030.0,3364.0,AVG,2022
Posavska,250.0,237.0,481.0,491.0,261.0,762.0,2482.0,AVG,2022
Primorsko-notranjska,73.0,96.0,212.0,208.0,93.0,298.0,980.0,AVG,2022
Savinjska,569.0,719.0,1552.0,1632.0,757.0,2518.0,7747.0,AVG,2022
Zasavska,147.0,170.0,395.0,390.0,158.0,454.0,1714.0,AVG,2022
,,,,,,,,AVG,2022
Zahodna Slovenija,1305.0,2099.0,4905.0,4985.0,2122.0,6487.0,21903.0,AVG,2022
Gorenjska,253.0,346.0,743.0,659.0,283.0,1037.0,3321.0,AVG,2022
Goriška,116.0,201.0,407.0,446.0,179.0,673.0,2022.0,AVG,2022
Obalno-kraška,158.0,229.0,642.0,667.0,298.0,822.0,2816.0,AVG,2022
Osrednjeslovenska,778.0,1323.0,3113.0,3213.0,1362.0,3955.0,13744.0,AVG,2022
,,,,,,,,AVG,2022
Občina izven RS,65.0,92.0,194.0,146.0,50.0,78.0,625.0,AVG,2022
Slovenija,4329.0,4920.0,10930.0,11101.0,5139.0,15624.0,52043.0,SEP,2022
,,,,,,,,SEP,2022
Vzhodna Slovenija,2877.0,2880.0,6080.0,6117.0,3042.0,9234.0,30230.0,SEP,2022
Jugovzhodna Slovenija,546.0,432.0,904.0,792.0,335.0,1023.0,4032.0,SEP,2022
Koroška,155.0,166.0,291.0,291.0,172.0,557.0,1632.0,SEP,2022
Podravska,772.0,879.0,1782.0,1794.0,943.0,2704.0,8874.0,SEP,2022
Pomurska,369.0,306.0,603.0,622.0,348.0,993.0,3241.0,SEP,2022
Posavska,249.0,219.0,470.0,483.0,252.0,754.0,2427.0,SEP,2022
Primorsko-notranjska,69.0,91.0,197.0,208.0,97.0,300.0,962.0,SEP,2022
Savinjska,581.0,637.0,1447.0,1567.0,745.0,2465.0,7442.0,SEP,2022
Zasavska,136.0,150.0,386.0,360.0,150.0,438.0,1620.0,SEP,2022
,,,,,,,,SEP,2022
Zahodna Slovenija,1387.0,1955.0,4645.0,4813.0,2045.0,6310.0,21155.0,SEP,2022
Gorenjska,261.0,333.0,698.0,640.0,269.0,1015.0,3216.0,SEP,2022
Goriška,130.0,162.0,369.0,418.0,179.0,650.0,1908.0,SEP,2022
Obalno-kraška,171.0,219.0,617.0,668.0,285.0,794.0,2754.0,SEP,2022
Osrednjeslovenska,825.0,1241.0,2961.0,3087.0,1312.0,3851.0,13277.0,SEP,2022
,,,,,,,,SEP,2022
Občina izven RS,65.0,85.0,205.0,171.0,52.0,80.0,658.0,SEP,2022
Slovenija,5459.0,5434.0,10729.0,10940.0,5053.0,15376.0,52991.0,OKT,2022
,,,,,,,,OKT,2022
Vzhodna Slovenija,3669.0,3212.0,5972.0,6006.0,2997.0,9097.0,30953.0,OKT,2022
Jugovzhodna Slovenija,577.0,447.0,900.0,794.0,322.0,992.0,4032.0,OKT,2022
Koroška,200.0,210.0,285.0,285.0,173.0,544.0,1697.0,OKT,2022
Podravska,1030.0,973.0,1726.0,1744.0,923.0,2657.0,9053.0,OKT,2022
Pomurska,513.0,341.0,587.0,624.0,340.0,983.0,3388.0,OKT,2022
Posavska,312.0,229.0,484.0,482.0,248.0,745.0,2500.0,OKT,2022
Primorsko-notranjska,96.0,106.0,184.0,208.0,93.0,299.0,986.0,OKT,2022
Savinjska,790.0,742.0,1435.0,1524.0,752.0,2442.0,7685.0,OKT,2022
Zasavska,151.0,164.0,371.0,345.0,146.0,435.0,1612.0,OKT,2022
,,,,,,,,OKT,2022
Zahodna Slovenija,1726.0,2141.0,4557.0,4759.0,2004.0,6197.0,21384.0,OKT,2022
Gorenjska,337.0,374.0,665.0,653.0,268.0,978.0,3275.0,OKT,2022
Goriška,167.0,184.0,340.0,408.0,177.0,643.0,1919.0,OKT,2022
Obalno-kraška,226.0,246.0,616.0,657.0,278.0,793.0,2816.0,OKT,2022
Osrednjeslovenska,996.0,1337.0,2936.0,3041.0,1281.0,3783.0,13374.0,OKT,2022
,,,,,,,,OKT,2022
Občina izven RS,64.0,81.0,200.0,175.0,52.0,82.0,654.0,OKT,2022
Slovenija,5212.0,5371.0,10740.0,10943.0,5060.0,15215.0,52541.0,NOV,2022
,,,,,,,,NOV,2022
Vzhodna Slovenija,3532.0,3147.0,5954.0,6005.0,3019.0,9010.0,30667.0,NOV,2022
Jugovzhodna Slovenija,562.0,451.0,887.0,790.0,315.0,946.0,3951.0,NOV,2022
Koroška,200.0,187.0,299.0,288.0,169.0,540.0,1683.0,NOV,2022
Podravska,975.0,944.0,1719.0,1742.0,937.0,2647.0,8964.0,NOV,2022
Pomurska,506.0,358.0,594.0,643.0,354.0,989.0,3444.0,NOV,2022
Posavska,310.0,219.0,500.0,494.0,254.0,737.0,2514.0,NOV,2022
Primorsko-notranjska,95.0,105.0,188.0,208.0,94.0,291.0,981.0,NOV,2022
Savinjska,744.0,730.0,1419.0,1498.0,749.0,2442.0,7582.0,NOV,2022
Zasavska,140.0,153.0,348.0,342.0,147.0,418.0,1548.0,NOV,2022
,,,,,,,,NOV,2022
Zahodna Slovenija,1612.0,2141.0,4584.0,4756.0,1993.0,6108.0,21194.0,NOV,2022
Gorenjska,308.0,378.0,673.0,663.0,264.0,976.0,3262.0,NOV,2022
Goriška,162.0,192.0,351.0,419.0,178.0,645.0,1947.0,NOV,2022
Obalno-kraška,233.0,261.0,640.0,663.0,287.0,802.0,2886.0,NOV,2022
Osrednjeslovenska,909.0,1310.0,2920.0,3011.0,1264.0,3685.0,13099.0,NOV,2022
,,,,,,,,NOV,2022
Občina izven RS,68.0,83.0,202.0,182.0,48.0,97.0,680.0,NOV,2022
Slovenija,5057.0,5372.0,10990.0,11285.0,5242.0,15235.0,53181.0,DEC,2022
,,,,,,,,DEC,2022
Vzhodna Slovenija,3441.0,3115.0,6086.0,6231.0,3151.0,9053.0,31077.0,DEC,2022
Jugovzhodna Slovenija,551.0,438.0,888.0,788.0,308.0,939.0,3912.0,DEC,2022
Koroška,194.0,197.0,303.0,324.0,181.0,537.0,1736.0,DEC,2022
Podravska,938.0,927.0,1759.0,1793.0,970.0,2665.0,9052.0,DEC,2022
Pomurska,506.0,350.0,635.0,711.0,393.0,1022.0,3617.0,DEC,2022
Posavska,286.0,207.0,505.0,503.0,260.0,748.0,2509.0,DEC,2022
Primorsko-notranjska,87.0,102.0,194.0,217.0,96.0,294.0,990.0,DEC,2022
Savinjska,743.0,744.0,1455.0,1551.0,789.0,2445.0,7727.0,DEC,2022
Zasavska,136.0,150.0,347.0,344.0,154.0,403.0,1534.0,DEC,2022
,,,,,,,,DEC,2022
Zahodna Slovenija,1536.0,2149.0,4649.0,4850.0,2033.0,6071.0,21288.0,DEC,2022
Gorenjska,297.0,411.0,714.0,685.0,272.0,972.0,3351.0,DEC,2022
Goriška,147.0,188.0,368.0,428.0,185.0,618.0,1934.0,DEC,2022
Obalno-kraška,220.0,263.0,654.0,705.0,311.0,807.0,2960.0,DEC,2022
Osrednjeslovenska,872.0,1287.0,2913.0,3032.0,1265.0,3674.0,13043.0,DEC,2022
,,,,,,,,DEC,2022
Občina izven RS,80.0,108.0,255.0,204.0,58.0,111.0,816.0,DEC,2022
Slovenija,5109.0,5544.0,11568.0,11885.0,5557.0,15723.0,55386.0,JAN,2023
,,,,,,,,JAN,2023
Vzhodna Slovenija,3469.0,3215.0,6445.0,6642.0,3371.0,9432.0,32574.0,JAN,2023
Jugovzhodna Slovenija,571.0,461.0,922.0,836.0,321.0,954.0,4065.0,JAN,2023
Koroška,193.0,189.0,320.0,352.0,198.0,581.0,1833.0,JAN,2023
Podravska,930.0,958.0,1848.0,1913.0,1053.0,2794.0,9496.0,JAN,2023
Pomurska,505.0,379.0,726.0,798.0,453.0,1095.0,3956.0,JAN,2023
Posavska,294.0,204.0,504.0,507.0,268.0,754.0,2531.0,JAN,2023
Primorsko-notranjska,97.0,103.0,226.0,244.0,102.0,312.0,1084.0,JAN,2023
Savinjska,747.0,763.0,1553.0,1645.0,824.0,2519.0,8051.0,JAN,2023
Zasavska,132.0,158.0,346.0,347.0,152.0,423.0,1558.0,JAN,2023
,,,,,,,,JAN,2023
Zahodna Slovenija,1541.0,2178.0,4819.0,4996.0,2113.0,6164.0,21811.0,JAN,2023
Gorenjska,292.0,408.0,769.0,719.0,304.0,1016.0,3508.0,JAN,2023
Goriška,142.0,191.0,388.0,456.0,181.0,613.0,1971.0,JAN,2023
Obalno-kraška,226.0,281.0,668.0,759.0,309.0,831.0,3074.0,JAN,2023
Osrednjeslovenska,881.0,1298.0,2994.0,3062.0,1319.0,3704.0,13258.0,JAN,2023
,,,,,,,,JAN,2023
Občina izven RS,99.0,151.0,304.0,247.0,73.0,127.0,1001.0,JAN,2023
Slovenija,4792.0,5277.0,11147.0,11484.0,5303.0,15401.0,53404.0,FEB,2023
,,,,,,,,FEB,2023
Vzhodna Slovenija,3229.0,3066.0,6161.0,6360.0,3183.0,9262.0,31261.0,FEB,2023
Jugovzhodna Slovenija,537.0,426.0,900.0,808.0,311.0,958.0,3940.0,FEB,2023
Koroška,171.0,179.0,302.0,323.0,186.0,569.0,1730.0,FEB,2023
Podravska,855.0,925.0,1782.0,1830.0,973.0,2702.0,9067.0,FEB,2023
Pomurska,465.0,361.0,681.0,750.0,424.0,1062.0,3743.0,FEB,2023
Posavska,287.0,191.0,479.0,497.0,252.0,736.0,2442.0,FEB,2023
Primorsko-notranjska,91.0,93.0,216.0,248.0,100.0,299.0,1047.0,FEB,2023
Savinjska,695.0,733.0,1473.0,1557.0,786.0,2532.0,7776.0,FEB,2023
Zasavska,128.0,158.0,328.0,347.0,151.0,404.0,1516.0,FEB,2023
,,,,,,,,FEB,2023
Zahodna Slovenija,1469.0,2068.0,4686.0,4877.0,2047.0,6029.0,21176.0,FEB,2023
Gorenjska,271.0,371.0,735.0,681.0,294.0,988.0,3340.0,FEB,2023
Goriška,148.0,178.0,382.0,448.0,174.0,606.0,1936.0,FEB,2023
Obalno-kraška,212.0,266.0,642.0,765.0,303.0,802.0,2990.0,FEB,2023
Osrednjeslovenska,838.0,1253.0,2927.0,2983.0,1276.0,3633.0,12910.0,FEB,2023
,,,,,,,,FEB,2023
Občina izven RS,94.0,143.0,300.0,247.0,73.0,110.0,967.0,FEB,2023
