Urad za delo,1+2 - OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year
UD Tolmin,83.0,63.0,65.0,52.0,263.0,APR,2022
OS Novo mesto,1512.0,660.0,565.0,334.0,3071.0,APR,2022
UD Črnomelj,386.0,178.0,111.0,47.0,722.0,APR,2022
UD Metlika,169.0,80.0,65.0,20.0,334.0,APR,2022
UD Novo mesto,767.0,337.0,314.0,217.0,1635.0,APR,2022
UD Trebnje,190.0,65.0,75.0,50.0,380.0,APR,2022
OS Ptuj,535.0,712.0,680.0,297.0,2224.0,APR,2022
UD Ormož,118.0,185.0,138.0,47.0,488.0,APR,2022
UD Ptuj,417.0,527.0,542.0,250.0,1736.0,APR,2022
OS Sevnica,1001.0,775.0,563.0,266.0,2605.0,APR,2022
UD Brežice,252.0,290.0,230.0,109.0,881.0,APR,2022
UD Krško,599.0,324.0,225.0,91.0,1239.0,APR,2022
UD Sevnica,150.0,161.0,108.0,66.0,485.0,APR,2022
OS Trbovlje,683.0,539.0,482.0,221.0,1925.0,APR,2022
UD Hrastnik,131.0,108.0,89.0,35.0,363.0,APR,2022
UD Litija,154.0,125.0,98.0,50.0,427.0,APR,2022
UD Trbovlje,265.0,205.0,175.0,88.0,733.0,APR,2022
UD Zagorje,133.0,101.0,120.0,48.0,402.0,APR,2022
OS Velenje,1006.0,1064.0,941.0,519.0,3530.0,APR,2022
UD Dravograd,45.0,58.0,56.0,31.0,190.0,APR,2022
UD Mozirje,105.0,110.0,113.0,55.0,383.0,APR,2022
UD Radlje ob Dravi,104.0,158.0,118.0,48.0,428.0,APR,2022
UD Ravne na Koroškem,128.0,177.0,165.0,91.0,561.0,APR,2022
UD Slovenj Gradec,162.0,209.0,127.0,87.0,585.0,APR,2022
UD Velenje,462.0,352.0,362.0,207.0,1383.0,APR,2022
OS Celje,1764.0,1783.0,1654.0,1003.0,6204.0,MAJ,2022
UD Celje,515.0,511.0,553.0,390.0,1969.0,MAJ,2022
UD Laško,139.0,133.0,113.0,48.0,433.0,MAJ,2022
UD Slovenske Konjice,266.0,295.0,225.0,110.0,896.0,MAJ,2022
UD Šentjur,152.0,200.0,161.0,105.0,618.0,MAJ,2022
UD Šmarje pri Jelšah,388.0,350.0,281.0,139.0,1158.0,MAJ,2022
UD Žalec,304.0,294.0,321.0,211.0,1130.0,MAJ,2022
OS Koper,1185.0,952.0,1001.0,619.0,3757.0,MAJ,2022
UD Ilirska Bistrica,65.0,70.0,51.0,30.0,216.0,MAJ,2022
UD Izola,124.0,106.0,99.0,41.0,370.0,MAJ,2022
UD Koper,526.0,397.0,449.0,304.0,1676.0,MAJ,2022
UD Piran,132.0,143.0,163.0,99.0,537.0,MAJ,2022
UD Postojna,187.0,110.0,98.0,59.0,454.0,MAJ,2022
UD Sežana,151.0,126.0,141.0,86.0,504.0,MAJ,2022
OS Kranj,896.0,798.0,944.0,639.0,3277.0,MAJ,2022
UD Jesenice,146.0,129.0,117.0,53.0,445.0,MAJ,2022
UD Kranj,455.0,345.0,441.0,315.0,1556.0,MAJ,2022
UD Radovljica,119.0,133.0,180.0,122.0,554.0,MAJ,2022
UD Škofja Loka,106.0,134.0,139.0,113.0,492.0,MAJ,2022
UD Tržič,70.0,57.0,67.0,36.0,230.0,MAJ,2022
OS Ljubljana,4992.0,3521.0,4534.0,3374.0,16421.0,MAJ,2022
UD Cerknica,69.0,77.0,78.0,39.0,263.0,MAJ,2022
UD Domžale,381.0,344.0,396.0,266.0,1387.0,MAJ,2022
UD Grosuplje,288.0,182.0,189.0,122.0,781.0,MAJ,2022
UD Kamnik,223.0,215.0,181.0,116.0,735.0,MAJ,2022
