Urad za delo,1+2 - OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year
UD Tolmin,107.0,113.0,97.0,66.0,383.0,OKT,2018
OS Novo mesto,1737.0,826.0,682.0,425.0,3670.0,OKT,2018
UD Črnomelj,450.0,247.0,159.0,67.0,923.0,OKT,2018
UD Metlika,218.0,100.0,62.0,28.0,408.0,OKT,2018
UD Novo mesto,827.0,345.0,363.0,265.0,1800.0,OKT,2018
UD Trebnje,242.0,134.0,98.0,65.0,539.0,OKT,2018
OS Ptuj,649.0,778.0,855.0,410.0,2692.0,OKT,2018
UD Ormož,148.0,219.0,181.0,82.0,630.0,OKT,2018
UD Ptuj,501.0,559.0,674.0,328.0,2062.0,OKT,2018
OS Sevnica,1115.0,912.0,683.0,390.0,3100.0,OKT,2018
UD Brežice,296.0,337.0,266.0,147.0,1046.0,OKT,2018
UD Krško,647.0,355.0,280.0,155.0,1437.0,OKT,2018
UD Sevnica,172.0,220.0,137.0,88.0,617.0,OKT,2018
OS Trbovlje,810.0,667.0,563.0,321.0,2361.0,OKT,2018
UD Hrastnik,153.0,134.0,91.0,60.0,438.0,OKT,2018
UD Litija,185.0,144.0,100.0,67.0,496.0,OKT,2018
UD Trbovlje,280.0,237.0,231.0,114.0,862.0,OKT,2018
UD Zagorje,192.0,152.0,141.0,80.0,565.0,OKT,2018
OS Velenje,1212.0,1343.0,1295.0,736.0,4586.0,OKT,2018
UD Dravograd,73.0,82.0,78.0,37.0,270.0,OKT,2018
UD Mozirje,129.0,176.0,192.0,98.0,595.0,OKT,2018
UD Radlje ob Dravi,134.0,192.0,132.0,92.0,550.0,OKT,2018
UD Ravne na Koroškem,189.0,231.0,207.0,107.0,734.0,OKT,2018
UD Slovenj Gradec,145.0,188.0,170.0,112.0,615.0,OKT,2018
UD Velenje,542.0,474.0,516.0,290.0,1822.0,OKT,2018
,,,,,,OKT,2018
,,,,,76232.0,OKT,2018
OS Celje,2370.0,2354.0,2154.0,1322.0,8200.0,NOV,2018
UD Celje,675.0,699.0,743.0,561.0,2678.0,NOV,2018
UD Laško,180.0,180.0,179.0,88.0,627.0,NOV,2018
UD Slovenske Konjice,360.0,368.0,284.0,155.0,1167.0,NOV,2018
UD Šentjur,197.0,265.0,222.0,123.0,807.0,NOV,2018
UD Šmarje pri Jelšah,456.0,403.0,323.0,162.0,1344.0,NOV,2018
UD Žalec,502.0,439.0,403.0,233.0,1577.0,NOV,2018
OS Koper,1697.0,1404.0,1338.0,810.0,5249.0,NOV,2018
UD Ilirska Bistrica,132.0,134.0,86.0,65.0,417.0,NOV,2018
UD Izola,203.0,145.0,127.0,70.0,545.0,NOV,2018
UD Koper,655.0,529.0,546.0,310.0,2040.0,NOV,2018
UD Piran,238.0,191.0,211.0,131.0,771.0,NOV,2018
UD Postojna,272.0,200.0,171.0,110.0,753.0,NOV,2018
UD Sežana,197.0,205.0,197.0,124.0,723.0,NOV,2018
OS Kranj,1424.0,1141.0,1375.0,886.0,4826.0,NOV,2018
UD Jesenice,226.0,214.0,181.0,82.0,703.0,NOV,2018
UD Kranj,662.0,452.0,598.0,425.0,2137.0,NOV,2018
UD Radovljica,167.0,191.0,256.0,166.0,780.0,NOV,2018
UD Škofja Loka,202.0,180.0,234.0,162.0,778.0,NOV,2018
UD Tržič,167.0,104.0,106.0,51.0,428.0,NOV,2018
OS Ljubljana,6313.0,4917.0,6157.0,4786.0,22173.0,NOV,2018
UD Cerknica,87.0,121.0,157.0,78.0,443.0,NOV,2018
UD Domžale,426.0,363.0,445.0,301.0,1535.0,NOV,2018
UD Grosuplje,441.0,341.0,283.0,180.0,1245.0,NOV,2018
UD Kamnik,266.0,243.0,268.0,159.0,936.0,NOV,2018
UD Kočevje,520.0,334.0,193.0,74.0,1121.0,NOV,2018
UD Ljubljana,4136.0,3124.0,4396.0,3736.0,15392.0,NOV,2018
UD Logatec,108.0,87.0,95.0,60.0,350.0,NOV,2018
UD Ribnica,108.0,93.0,88.0,50.0,339.0,NOV,2018
UD Vrhnika,221.0,211.0,232.0,148.0,812.0,NOV,2018
OS Maribor,2849.0,2664.0,2902.0,1927.0,10342.0,NOV,2018
UD Lenart,102.0,128.0,110.0,74.0,414.0,NOV,2018
UD Maribor,2102.0,1896.0,2145.0,1453.0,7596.0,NOV,2018
UD Pesnica,198.0,194.0,162.0,95.0,649.0,NOV,2018
UD Ruše,139.0,174.0,165.0,99.0,577.0,NOV,2018
UD Slovenska Bistrica,308.0,272.0,320.0,206.0,1106.0,NOV,2018
OS Murska Sobota,2379.0,1624.0,1180.0,747.0,5930.0,NOV,2018
UD Gornja Radgona,294.0,293.0,204.0,117.0,908.0,NOV,2018
UD Lendava,562.0,391.0,262.0,142.0,1357.0,NOV,2018
UD Ljutomer,231.0,212.0,165.0,107.0,715.0,NOV,2018
UD Murska Sobota,1292.0,728.0,549.0,381.0,2950.0,NOV,2018
OS Nova Gorica,968.0,747.0,742.0,613.0,3070.0,NOV,2018
UD Ajdovščina,207.0,210.0,175.0,139.0,731.0,NOV,2018
UD Idrija,87.0,70.0,80.0,54.0,291.0,NOV,2018
UD Nova Gorica,567.0,358.0,385.0,351.0,1661.0,NOV,2018
UD Tolmin,107.0,109.0,102.0,69.0,387.0,NOV,2018
OS Novo mesto,1717.0,821.0,673.0,419.0,3630.0,NOV,2018
UD Črnomelj,452.0,247.0,154.0,70.0,923.0,NOV,2018
UD Metlika,223.0,98.0,66.0,28.0,415.0,NOV,2018
UD Novo mesto,806.0,351.0,360.0,261.0,1778.0,NOV,2018
UD Trebnje,236.0,125.0,93.0,60.0,514.0,NOV,2018
OS Ptuj,682.0,812.0,836.0,388.0,2718.0,NOV,2018
UD Ormož,158.0,213.0,164.0,77.0,612.0,NOV,2018
UD Ptuj,524.0,599.0,672.0,311.0,2106.0,NOV,2018
OS Sevnica,1132.0,906.0,683.0,381.0,3102.0,NOV,2018
UD Brežice,303.0,333.0,266.0,144.0,1046.0,NOV,2018
UD Krško,655.0,355.0,279.0,146.0,1435.0,NOV,2018
UD Sevnica,174.0,218.0,138.0,91.0,621.0,NOV,2018
OS Trbovlje,807.0,669.0,554.0,310.0,2340.0,NOV,2018
UD Hrastnik,145.0,134.0,89.0,58.0,426.0,NOV,2018
UD Litija,198.0,138.0,101.0,68.0,505.0,NOV,2018
UD Trbovlje,280.0,242.0,227.0,110.0,859.0,NOV,2018
UD Zagorje,184.0,155.0,137.0,74.0,550.0,NOV,2018
OS Velenje,1222.0,1326.0,1264.0,707.0,4519.0,NOV,2018
UD Dravograd,74.0,83.0,69.0,35.0,261.0,NOV,2018
UD Mozirje,134.0,172.0,191.0,95.0,592.0,NOV,2018
UD Radlje ob Dravi,140.0,195.0,130.0,88.0,553.0,NOV,2018
UD Ravne na Koroškem,190.0,231.0,198.0,110.0,729.0,NOV,2018
UD Slovenj Gradec,142.0,190.0,169.0,104.0,605.0,NOV,2018
UD Velenje,542.0,455.0,507.0,275.0,1779.0,NOV,2018
,,,,,,NOV,2018
,,,,,76099.0,NOV,2018
OS Celje,2623.0,2430.0,2128.0,1309.0,8490.0,DEC,2018
UD Celje,759.0,735.0,735.0,552.0,2781.0,DEC,2018
UD Laško,186.0,179.0,182.0,84.0,631.0,DEC,2018
UD Slovenske Konjice,414.0,372.0,280.0,150.0,1216.0,DEC,2018
UD Šentjur,216.0,271.0,216.0,123.0,826.0,DEC,2018
UD Šmarje pri Jelšah,480.0,417.0,314.0,165.0,1376.0,DEC,2018
UD Žalec,568.0,456.0,401.0,235.0,1660.0,DEC,2018
OS Koper,1768.0,1426.0,1352.0,811.0,5357.0,DEC,2018
UD Ilirska Bistrica,137.0,142.0,87.0,61.0,427.0,DEC,2018
UD Izola,207.0,147.0,132.0,70.0,556.0,DEC,2018
UD Koper,673.0,527.0,545.0,308.0,2053.0,DEC,2018
UD Piran,255.0,207.0,214.0,131.0,807.0,DEC,2018
UD Postojna,290.0,201.0,181.0,115.0,787.0,DEC,2018
UD Sežana,206.0,202.0,193.0,126.0,727.0,DEC,2018
OS Kranj,1697.0,1212.0,1378.0,884.0,5171.0,DEC,2018
UD Jesenice,257.0,226.0,179.0,84.0,746.0,DEC,2018
UD Kranj,872.0,488.0,611.0,415.0,2386.0,DEC,2018
UD Radovljica,188.0,195.0,257.0,165.0,805.0,DEC,2018
UD Škofja Loka,213.0,189.0,233.0,162.0,797.0,DEC,2018
UD Tržič,167.0,114.0,98.0,58.0,437.0,DEC,2018
OS Ljubljana,6556.0,5105.0,6090.0,4808.0,22559.0,DEC,2018
UD Cerknica,95.0,128.0,156.0,77.0,456.0,DEC,2018
UD Domžale,455.0,365.0,442.0,310.0,1572.0,DEC,2018
UD Grosuplje,473.0,365.0,286.0,182.0,1306.0,DEC,2018
UD Kamnik,267.0,257.0,254.0,160.0,938.0,DEC,2018
UD Kočevje,531.0,331.0,190.0,70.0,1122.0,DEC,2018
UD Ljubljana,4296.0,3233.0,4361.0,3747.0,15637.0,DEC,2018
UD Logatec,103.0,93.0,89.0,65.0,350.0,DEC,2018
UD Ribnica,101.0,100.0,86.0,51.0,338.0,DEC,2018
UD Vrhnika,235.0,233.0,226.0,146.0,840.0,DEC,2018
OS Maribor,3078.0,2820.0,2951.0,1923.0,10772.0,DEC,2018
UD Lenart,142.0,161.0,122.0,71.0,496.0,DEC,2018
UD Maribor,2206.0,1952.0,2156.0,1440.0,7754.0,DEC,2018
UD Pesnica,231.0,227.0,171.0,96.0,725.0,DEC,2018
UD Ruše,151.0,187.0,175.0,98.0,611.0,DEC,2018
UD Slovenska Bistrica,348.0,293.0,327.0,218.0,1186.0,DEC,2018
OS Murska Sobota,2554.0,1816.0,1225.0,761.0,6356.0,DEC,2018
UD Gornja Radgona,318.0,331.0,218.0,123.0,990.0,DEC,2018
UD Lendava,604.0,422.0,261.0,147.0,1434.0,DEC,2018
UD Ljutomer,258.0,256.0,172.0,110.0,796.0,DEC,2018
UD Murska Sobota,1374.0,807.0,574.0,381.0,3136.0,DEC,2018
OS Nova Gorica,1008.0,747.0,725.0,599.0,3079.0,DEC,2018
UD Ajdovščina,216.0,205.0,168.0,136.0,725.0,DEC,2018
UD Idrija,104.0,77.0,71.0,50.0,302.0,DEC,2018
UD Nova Gorica,564.0,357.0,381.0,345.0,1647.0,DEC,2018
UD Tolmin,124.0,108.0,105.0,68.0,405.0,DEC,2018
OS Novo mesto,1759.0,838.0,671.0,416.0,3684.0,DEC,2018
UD Črnomelj,454.0,247.0,162.0,67.0,930.0,DEC,2018
UD Metlika,224.0,100.0,68.0,31.0,423.0,DEC,2018
UD Novo mesto,821.0,358.0,352.0,252.0,1783.0,DEC,2018
UD Trebnje,260.0,133.0,89.0,66.0,548.0,DEC,2018
OS Ptuj,705.0,860.0,853.0,395.0,2813.0,DEC,2018
UD Ormož,164.0,236.0,174.0,83.0,657.0,DEC,2018
UD Ptuj,541.0,624.0,679.0,312.0,2156.0,DEC,2018
OS Sevnica,1269.0,965.0,672.0,388.0,3294.0,DEC,2018
UD Brežice,326.0,348.0,264.0,144.0,1082.0,DEC,2018
UD Krško,750.0,390.0,269.0,151.0,1560.0,DEC,2018
UD Sevnica,193.0,227.0,139.0,93.0,652.0,DEC,2018
OS Trbovlje,801.0,675.0,561.0,313.0,2350.0,DEC,2018
UD Hrastnik,146.0,134.0,85.0,57.0,422.0,DEC,2018
UD Litija,198.0,147.0,107.0,67.0,519.0,DEC,2018
UD Trbovlje,270.0,243.0,230.0,112.0,855.0,DEC,2018
UD Zagorje,187.0,151.0,139.0,77.0,554.0,DEC,2018
OS Velenje,1286.0,1361.0,1242.0,720.0,4609.0,DEC,2018
UD Dravograd,75.0,92.0,78.0,32.0,277.0,DEC,2018
UD Mozirje,135.0,168.0,189.0,96.0,588.0,DEC,2018
UD Radlje ob Dravi,140.0,207.0,133.0,92.0,572.0,DEC,2018
UD Ravne na Koroškem,199.0,229.0,192.0,114.0,734.0,DEC,2018
UD Slovenj Gradec,149.0,199.0,158.0,109.0,615.0,DEC,2018
UD Velenje,588.0,466.0,492.0,277.0,1823.0,DEC,2018
,,,,,,DEC,2018
,,,,,78534.0,DEC,2018
OS Celje,2885.0,2585.0,2231.0,1343.0,9044.0,JAN,2019
UD Celje,847.0,800.0,796.0,573.0,3016.0,JAN,2019
UD Laško,196.0,183.0,181.0,83.0,643.0,JAN,2019
UD Slovenske Konjice,453.0,398.0,300.0,164.0,1315.0,JAN,2019
UD Šentjur,233.0,285.0,216.0,129.0,863.0,JAN,2019
UD Šmarje pri Jelšah,547.0,443.0,325.0,167.0,1482.0,JAN,2019
UD Žalec,609.0,476.0,413.0,227.0,1725.0,JAN,2019
OS Koper,1920.0,1524.0,1466.0,835.0,5745.0,JAN,2019
UD Ilirska Bistrica,144.0,137.0,96.0,65.0,442.0,JAN,2019
UD Izola,231.0,161.0,148.0,82.0,622.0,JAN,2019
UD Koper,728.0,560.0,593.0,319.0,2200.0,JAN,2019
UD Piran,292.0,237.0,249.0,130.0,908.0,JAN,2019
UD Postojna,302.0,218.0,180.0,110.0,810.0,JAN,2019
UD Sežana,223.0,211.0,200.0,129.0,763.0,JAN,2019
OS Kranj,1802.0,1298.0,1428.0,887.0,5415.0,JAN,2019
