Urad za delo,Moški,Ženske,Skupaj,month,year,moški,ženske
OS Kranj,2362.0,2391.0,4753.0,APR,2019,,
UD Jesenice,375.0,330.0,705.0,APR,2019,,
UD Kranj,1054.0,1106.0,2160.0,APR,2019,,
UD Radovljica,369.0,363.0,732.0,APR,2019,,
UD Škofja Loka,368.0,389.0,757.0,APR,2019,,
UD Tržič,196.0,203.0,399.0,APR,2019,,
OS Ljubljana,11084.0,10350.0,21434.0,APR,2019,,
UD Cerknica,202.0,192.0,394.0,APR,2019,,
UD Domžale,794.0,736.0,1530.0,APR,2019,,
UD Grosuplje,637.0,608.0,1245.0,APR,2019,,
UD Kamnik,460.0,465.0,925.0,APR,2019,,
UD Kočevje,537.0,605.0,1142.0,APR,2019,,
UD Ljubljana,7777.0,7025.0,14802.0,APR,2019,,
UD Logatec,155.0,182.0,337.0,APR,2019,,
UD Ribnica,161.0,164.0,325.0,APR,2019,,
UD Vrhnika,361.0,373.0,734.0,APR,2019,,
OS Maribor,4875.0,5415.0,10290.0,APR,2019,,
UD Lenart,181.0,224.0,405.0,APR,2019,,
UD Maribor,3633.0,3912.0,7545.0,APR,2019,,
UD Pesnica,312.0,348.0,660.0,APR,2019,,
UD Ruše,272.0,277.0,549.0,APR,2019,,
UD Slovenska Bistrica,477.0,654.0,1131.0,APR,2019,,
OS Murska Sobota,2673.0,3015.0,5688.0,APR,2019,,
UD Gornja Radgona,404.0,465.0,869.0,APR,2019,,
UD Lendava,571.0,692.0,1263.0,APR,2019,,
UD Ljutomer,318.0,365.0,683.0,APR,2019,,
UD Murska Sobota,1380.0,1493.0,2873.0,APR,2019,,
OS Nova Gorica,1412.0,1475.0,2887.0,APR,2019,,
UD Ajdovščina,309.0,354.0,663.0,APR,2019,,
UD Idrija,149.0,123.0,272.0,APR,2019,,
UD Nova Gorica,771.0,838.0,1609.0,APR,2019,,
UD Tolmin,183.0,160.0,343.0,APR,2019,,
OS Novo mesto,1703.0,1676.0,3379.0,APR,2019,,
UD Črnomelj,439.0,432.0,871.0,APR,2019,,
UD Metlika,193.0,185.0,378.0,APR,2019,,
UD Novo mesto,837.0,835.0,1672.0,APR,2019,,
UD Trebnje,234.0,224.0,458.0,APR,2019,,
OS Ptuj,1187.0,1385.0,2572.0,APR,2019,,
UD Ormož,254.0,302.0,556.0,APR,2019,,
UD Ptuj,933.0,1083.0,2016.0,APR,2019,,
OS Sevnica,1434.0,1505.0,2939.0,APR,2019,,
UD Brežice,506.0,498.0,1004.0,APR,2019,,
UD Krško,659.0,688.0,1347.0,APR,2019,,
UD Sevnica,269.0,319.0,588.0,APR,2019,,
OS Trbovlje,1158.0,1142.0,2300.0,APR,2019,,
UD Hrastnik,208.0,212.0,420.0,APR,2019,,
UD Litija,246.0,248.0,494.0,APR,2019,,
UD Trbovlje,442.0,425.0,867.0,APR,2019,,
UD Zagorje,262.0,257.0,519.0,APR,2019,,
OS Velenje,2105.0,2461.0,4566.0,APR,2019,,
UD Dravograd,134.0,148.0,282.0,APR,2019,,
UD Mozirje,278.0,295.0,573.0,APR,2019,,
UD Radlje ob Dravi,244.0,289.0,533.0,APR,2019,,
UD Ravne na Koroškem,340.0,391.0,731.0,APR,2019,,
UD Slovenj Gradec,286.0,343.0,629.0,APR,2019,,
UD Velenje,823.0,995.0,1818.0,APR,2019,,
,,,,APR,2019,,
,,,73965.0,APR,2019,,
OS Celje,3658.0,4313.0,7971.0,MAJ,2019,,
UD Celje,1153.0,1458.0,2611.0,MAJ,2019,,
UD Laško,307.0,295.0,602.0,MAJ,2019,,
UD Slovenske Konjice,532.0,639.0,1171.0,MAJ,2019,,
UD Šentjur,348.0,423.0,771.0,MAJ,2019,,
UD Šmarje pri Jelšah,597.0,701.0,1298.0,MAJ,2019,,
UD Žalec,721.0,797.0,1518.0,MAJ,2019,,
OS Koper,2438.0,2337.0,4775.0,MAJ,2019,,
UD Ilirska Bistrica,192.0,218.0,410.0,MAJ,2019,,
UD Izola,258.0,236.0,494.0,MAJ,2019,,
UD Koper,946.0,930.0,1876.0,MAJ,2019,,
UD Piran,349.0,306.0,655.0,MAJ,2019,,
UD Postojna,325.0,358.0,683.0,MAJ,2019,,
UD Sežana,368.0,289.0,657.0,MAJ,2019,,
OS Kranj,2269.0,2303.0,4572.0,MAJ,2019,,
UD Jesenice,344.0,305.0,649.0,MAJ,2019,,
UD Kranj,1023.0,1085.0,2108.0,MAJ,2019,,
UD Radovljica,354.0,337.0,691.0,MAJ,2019,,
UD Škofja Loka,359.0,390.0,749.0,MAJ,2019,,
UD Tržič,189.0,186.0,375.0,MAJ,2019,,
OS Ljubljana,10907.0,10162.0,21069.0,MAJ,2019,,
UD Cerknica,202.0,191.0,393.0,MAJ,2019,,
UD Domžale,766.0,737.0,1503.0,MAJ,2019,,
UD Grosuplje,622.0,620.0,1242.0,MAJ,2019,,
UD Kamnik,460.0,456.0,916.0,MAJ,2019,,
UD Kočevje,528.0,573.0,1101.0,MAJ,2019,,
UD Ljubljana,7689.0,6880.0,14569.0,MAJ,2019,,
UD Logatec,150.0,176.0,326.0,MAJ,2019,,
UD Ribnica,149.0,153.0,302.0,MAJ,2019,,
UD Vrhnika,341.0,376.0,717.0,MAJ,2019,,
OS Maribor,4720.0,5255.0,9975.0,MAJ,2019,,
UD Lenart,162.0,209.0,371.0,MAJ,2019,,
UD Maribor,3521.0,3798.0,7319.0,MAJ,2019,,
UD Pesnica,305.0,336.0,641.0,MAJ,2019,,
UD Ruše,264.0,271.0,535.0,MAJ,2019,,
UD Slovenska Bistrica,468.0,641.0,1109.0,MAJ,2019,,
OS Murska Sobota,2592.0,2943.0,5535.0,MAJ,2019,,
UD Gornja Radgona,392.0,447.0,839.0,MAJ,2019,,
UD Lendava,564.0,691.0,1255.0,MAJ,2019,,
UD Ljutomer,301.0,356.0,657.0,MAJ,2019,,
UD Murska Sobota,1335.0,1449.0,2784.0,MAJ,2019,,
OS Nova Gorica,1367.0,1423.0,2790.0,MAJ,2019,,
UD Ajdovščina,298.0,352.0,650.0,MAJ,2019,,
UD Idrija,142.0,130.0,272.0,MAJ,2019,,
UD Nova Gorica,754.0,790.0,1544.0,MAJ,2019,,
UD Tolmin,173.0,151.0,324.0,MAJ,2019,,
OS Novo mesto,1673.0,1650.0,3323.0,MAJ,2019,,
UD Črnomelj,435.0,416.0,851.0,MAJ,2019,,
UD Metlika,192.0,177.0,369.0,MAJ,2019,,
UD Novo mesto,816.0,828.0,1644.0,MAJ,2019,,
UD Trebnje,230.0,229.0,459.0,MAJ,2019,,
OS Ptuj,1121.0,1351.0,2472.0,MAJ,2019,,
UD Ormož,240.0,283.0,523.0,MAJ,2019,,
UD Ptuj,881.0,1068.0,1949.0,MAJ,2019,,
OS Sevnica,1395.0,1458.0,2853.0,MAJ,2019,,
UD Brežice,485.0,476.0,961.0,MAJ,2019,,
UD Krško,648.0,668.0,1316.0,MAJ,2019,,
UD Sevnica,262.0,314.0,576.0,MAJ,2019,,
OS Trbovlje,1128.0,1134.0,2262.0,MAJ,2019,,
UD Hrastnik,203.0,214.0,417.0,MAJ,2019,,
UD Litija,245.0,246.0,491.0,MAJ,2019,,
UD Trbovlje,434.0,417.0,851.0,MAJ,2019,,
UD Zagorje,246.0,257.0,503.0,MAJ,2019,,
OS Velenje,2030.0,2385.0,4415.0,MAJ,2019,,
UD Dravograd,132.0,142.0,274.0,MAJ,2019,,
UD Mozirje,249.0,274.0,523.0,MAJ,2019,,
UD Radlje ob Dravi,244.0,289.0,533.0,MAJ,2019,,
UD Ravne na Koroškem,333.0,393.0,726.0,MAJ,2019,,
UD Slovenj Gradec,278.0,342.0,620.0,MAJ,2019,,
UD Velenje,794.0,945.0,1739.0,MAJ,2019,,
,,,,MAJ,2019,,
,,,72012.0,MAJ,2019,,
OS Celje,3589.0,4240.0,7829.0,JUN,2019,,
UD Celje,1112.0,1430.0,2542.0,JUN,2019,,
UD Laško,309.0,288.0,597.0,JUN,2019,,
UD Slovenske Konjice,521.0,633.0,1154.0,JUN,2019,,
UD Šentjur,358.0,425.0,783.0,JUN,2019,,
UD Šmarje pri Jelšah,591.0,692.0,1283.0,JUN,2019,,
UD Žalec,698.0,772.0,1470.0,JUN,2019,,
OS Koper,2333.0,2243.0,4576.0,JUN,2019,,
UD Ilirska Bistrica,191.0,214.0,405.0,JUN,2019,,
UD Izola,248.0,212.0,460.0,JUN,2019,,
UD Koper,897.0,909.0,1806.0,JUN,2019,,
UD Piran,332.0,273.0,605.0,JUN,2019,,
UD Postojna,316.0,355.0,671.0,JUN,2019,,
UD Sežana,349.0,280.0,629.0,JUN,2019,,
OS Kranj,2244.0,2259.0,4503.0,JUN,2019,,
UD Jesenice,328.0,281.0,609.0,JUN,2019,,
UD Kranj,1024.0,1077.0,2101.0,JUN,2019,,
UD Radovljica,328.0,328.0,656.0,JUN,2019,,
UD Škofja Loka,367.0,378.0,745.0,JUN,2019,,
UD Tržič,197.0,195.0,392.0,JUN,2019,,
OS Ljubljana,10767.0,10065.0,20832.0,JUN,2019,,
UD Cerknica,197.0,193.0,390.0,JUN,2019,,
UD Domžale,749.0,739.0,1488.0,JUN,2019,,
UD Grosuplje,605.0,613.0,1218.0,JUN,2019,,
UD Kamnik,460.0,445.0,905.0,JUN,2019,,
UD Kočevje,527.0,563.0,1090.0,JUN,2019,,
UD Ljubljana,7596.0,6808.0,14404.0,JUN,2019,,
UD Logatec,145.0,174.0,319.0,JUN,2019,,
UD Ribnica,151.0,163.0,314.0,JUN,2019,,
UD Vrhnika,337.0,367.0,704.0,JUN,2019,,
OS Maribor,4639.0,5189.0,9828.0,JUN,2019,,
UD Lenart,162.0,207.0,369.0,JUN,2019,,
UD Maribor,3471.0,3745.0,7216.0,JUN,2019,,
UD Pesnica,295.0,320.0,615.0,JUN,2019,,
UD Ruše,251.0,272.0,523.0,JUN,2019,,
UD Slovenska Bistrica,460.0,645.0,1105.0,JUN,2019,,
OS Murska Sobota,2544.0,2918.0,5462.0,JUN,2019,,
UD Gornja Radgona,387.0,438.0,825.0,JUN,2019,,
UD Lendava,555.0,673.0,1228.0,JUN,2019,,
UD Ljutomer,291.0,359.0,650.0,JUN,2019,,
UD Murska Sobota,1311.0,1448.0,2759.0,JUN,2019,,
OS Nova Gorica,1317.0,1381.0,2698.0,JUN,2019,,
UD Ajdovščina,296.0,337.0,633.0,JUN,2019,,
UD Idrija,134.0,123.0,257.0,JUN,2019,,
UD Nova Gorica,727.0,779.0,1506.0,JUN,2019,,
UD Tolmin,160.0,142.0,302.0,JUN,2019,,
OS Novo mesto,1632.0,1630.0,3262.0,JUN,2019,,
UD Črnomelj,432.0,415.0,847.0,JUN,2019,,
UD Metlika,189.0,172.0,361.0,JUN,2019,,
UD Novo mesto,797.0,811.0,1608.0,JUN,2019,,
UD Trebnje,214.0,232.0,446.0,JUN,2019,,
OS Ptuj,1099.0,1317.0,2416.0,JUN,2019,,
UD Ormož,239.0,276.0,515.0,JUN,2019,,
UD Ptuj,860.0,1041.0,1901.0,JUN,2019,,
OS Sevnica,1388.0,1430.0,2818.0,JUN,2019,,
UD Brežice,472.0,458.0,930.0,JUN,2019,,
UD Krško,652.0,668.0,1320.0,JUN,2019,,
UD Sevnica,264.0,304.0,568.0,JUN,2019,,
OS Trbovlje,1096.0,1094.0,2190.0,JUN,2019,,
UD Hrastnik,201.0,216.0,417.0,JUN,2019,,
UD Litija,236.0,231.0,467.0,JUN,2019,,
UD Trbovlje,422.0,398.0,820.0,JUN,2019,,
UD Zagorje,237.0,249.0,486.0,JUN,2019,,
OS Velenje,1993.0,2340.0,4333.0,JUN,2019,,
UD Dravograd,132.0,132.0,264.0,JUN,2019,,
UD Mozirje,247.0,279.0,526.0,JUN,2019,,
UD Radlje ob Dravi,234.0,278.0,512.0,JUN,2019,,
UD Ravne na Koroškem,324.0,383.0,707.0,JUN,2019,,
UD Slovenj Gradec,278.0,338.0,616.0,JUN,2019,,
UD Velenje,778.0,930.0,1708.0,JUN,2019,,
,,,,JUN,2019,,
,,,70747.0,JUN,2019,,
OS Celje,3617.0,4348.0,7965.0,JUL,2019,,
UD Celje,1139.0,1470.0,2609.0,JUL,2019,,
UD Laško,300.0,287.0,587.0,JUL,2019,,
UD Slovenske Konjice,529.0,640.0,1169.0,JUL,2019,,
UD Šentjur,349.0,437.0,786.0,JUL,2019,,
UD Šmarje pri Jelšah,596.0,710.0,1306.0,JUL,2019,,
UD Žalec,704.0,804.0,1508.0,JUL,2019,,
OS Koper,2308.0,2308.0,4616.0,JUL,2019,,
UD Ilirska Bistrica,187.0,216.0,403.0,JUL,2019,,
UD Izola,241.0,219.0,460.0,JUL,2019,,
UD Koper,906.0,934.0,1840.0,JUL,2019,,
UD Piran,330.0,280.0,610.0,JUL,2019,,
UD Postojna,310.0,358.0,668.0,JUL,2019,,
UD Sežana,334.0,301.0,635.0,JUL,2019,,
OS Kranj,2242.0,2317.0,4559.0,JUL,2019,,
UD Jesenice,324.0,279.0,603.0,JUL,2019,,
UD Kranj,1038.0,1136.0,2174.0,JUL,2019,,
UD Radovljica,320.0,324.0,644.0,JUL,2019,,
UD Škofja Loka,361.0,388.0,749.0,JUL,2019,,
UD Tržič,199.0,190.0,389.0,JUL,2019,,
OS Ljubljana,10826.0,10298.0,21124.0,JUL,2019,,
UD Cerknica,194.0,205.0,399.0,JUL,2019,,
UD Domžale,750.0,772.0,1522.0,JUL,2019,,
UD Grosuplje,610.0,620.0,1230.0,JUL,2019,,
UD Kamnik,455.0,494.0,949.0,JUL,2019,,
UD Kočevje,525.0,563.0,1088.0,JUL,2019,,
UD Ljubljana,7652.0,6914.0,14566.0,JUL,2019,,
UD Logatec,149.0,185.0,334.0,JUL,2019,,
UD Ribnica,156.0,166.0,322.0,JUL,2019,,
UD Vrhnika,335.0,379.0,714.0,JUL,2019,,
OS Maribor,4630.0,5297.0,9927.0,JUL,2019,,
UD Lenart,162.0,219.0,381.0,JUL,2019,,
UD Maribor,3476.0,3794.0,7270.0,JUL,2019,,
UD Pesnica,287.0,328.0,615.0,JUL,2019,,
UD Ruše,261.0,279.0,540.0,JUL,2019,,
UD Slovenska Bistrica,444.0,677.0,1121.0,JUL,2019,,
OS Murska Sobota,2519.0,3014.0,5533.0,JUL,2019,,
UD Gornja Radgona,379.0,455.0,834.0,JUL,2019,,
UD Lendava,551.0,695.0,1246.0,JUL,2019,,
UD Ljutomer,285.0,362.0,647.0,JUL,2019,,
UD Murska Sobota,1304.0,1502.0,2806.0,JUL,2019,,
OS Nova Gorica,1339.0,1433.0,2772.0,JUL,2019,,
UD Ajdovščina,304.0,353.0,657.0,JUL,2019,,
UD Idrija,135.0,125.0,260.0,JUL,2019,,
UD Nova Gorica,737.0,807.0,1544.0,JUL,2019,,
UD Tolmin,163.0,148.0,311.0,JUL,2019,,
OS Novo mesto,1678.0,1702.0,3380.0,JUL,2019,,
UD Črnomelj,441.0,416.0,857.0,JUL,2019,,
UD Metlika,204.0,178.0,382.0,JUL,2019,,
UD Novo mesto,817.0,866.0,1683.0,JUL,2019,,
UD Trebnje,216.0,242.0,458.0,JUL,2019,,
OS Ptuj,1092.0,1375.0,2467.0,JUL,2019,,
UD Ormož,241.0,291.0,532.0,JUL,2019,,
UD Ptuj,851.0,1084.0,1935.0,JUL,2019,,
OS Sevnica,1400.0,1455.0,2855.0,JUL,2019,,
UD Brežice,477.0,474.0,951.0,JUL,2019,,
UD Krško,657.0,678.0,1335.0,JUL,2019,,
UD Sevnica,266.0,303.0,569.0,JUL,2019,,
OS Trbovlje,1116.0,1130.0,2246.0,JUL,2019,,
UD Hrastnik,202.0,223.0,425.0,JUL,2019,,
UD Litija,239.0,246.0,485.0,JUL,2019,,
UD Trbovlje,427.0,405.0,832.0,JUL,2019,,
UD Zagorje,248.0,256.0,504.0,JUL,2019,,
OS Velenje,1985.0,2421.0,4406.0,JUL,2019,,
UD Dravograd,127.0,130.0,257.0,JUL,2019,,
UD Mozirje,243.0,277.0,520.0,JUL,2019,,
UD Radlje ob Dravi,243.0,289.0,532.0,JUL,2019,,
UD Ravne na Koroškem,331.0,396.0,727.0,JUL,2019,,
UD Slovenj Gradec,276.0,352.0,628.0,JUL,2019,,
UD Velenje,765.0,977.0,1742.0,JUL,2019,,
,,,,JUL,2019,,
,,,71850.0,JUL,2019,,
OS Celje,3581.0,4327.0,7908.0,AVG,2019,,
UD Celje,1133.0,1452.0,2585.0,AVG,2019,,
UD Laško,292.0,282.0,574.0,AVG,2019,,
UD Slovenske Konjice,515.0,650.0,1165.0,AVG,2019,,
UD Šentjur,347.0,432.0,779.0,AVG,2019,,
UD Šmarje pri Jelšah,593.0,707.0,1300.0,AVG,2019,,
UD Žalec,701.0,804.0,1505.0,AVG,2019,,
OS Koper,2321.0,2309.0,4630.0,AVG,2019,,
UD Ilirska Bistrica,182.0,212.0,394.0,AVG,2019,,
UD Izola,240.0,217.0,457.0,AVG,2019,,
UD Koper,925.0,943.0,1868.0,AVG,2019,,
UD Piran,322.0,271.0,593.0,AVG,2019,,
UD Postojna,314.0,364.0,678.0,AVG,2019,,
UD Sežana,338.0,302.0,640.0,AVG,2019,,
OS Kranj,2259.0,2309.0,4568.0,AVG,2019,,
UD Jesenice,330.0,285.0,615.0,AVG,2019,,
UD Kranj,1041.0,1137.0,2178.0,AVG,2019,,
UD Radovljica,337.0,327.0,664.0,AVG,2019,,
UD Škofja Loka,361.0,382.0,743.0,AVG,2019,,
UD Tržič,190.0,178.0,368.0,AVG,2019,,
OS Ljubljana,10715.0,10196.0,20911.0,AVG,2019,,
UD Cerknica,189.0,203.0,392.0,AVG,2019,,
UD Domžale,751.0,775.0,1526.0,AVG,2019,,
UD Grosuplje,615.0,605.0,1220.0,AVG,2019,,
UD Kamnik,442.0,490.0,932.0,AVG,2019,,
UD Kočevje,513.0,568.0,1081.0,AVG,2019,,
UD Ljubljana,7566.0,6844.0,14410.0,AVG,2019,,
UD Logatec,153.0,187.0,340.0,AVG,2019,,
UD Ribnica,154.0,166.0,320.0,AVG,2019,,
UD Vrhnika,332.0,358.0,690.0,AVG,2019,,
OS Maribor,4534.0,5301.0,9835.0,AVG,2019,,
UD Lenart,157.0,216.0,373.0,AVG,2019,,
UD Maribor,3408.0,3802.0,7210.0,AVG,2019,,
UD Pesnica,283.0,329.0,612.0,AVG,2019,,
UD Ruše,257.0,277.0,534.0,AVG,2019,,
UD Slovenska Bistrica,429.0,677.0,1106.0,AVG,2019,,
OS Murska Sobota,2510.0,3089.0,5599.0,AVG,2019,,
UD Gornja Radgona,369.0,445.0,814.0,AVG,2019,,
UD Lendava,548.0,718.0,1266.0,AVG,2019,,
UD Ljutomer,289.0,380.0,669.0,AVG,2019,,
UD Murska Sobota,1304.0,1546.0,2850.0,AVG,2019,,
OS Nova Gorica,1316.0,1442.0,2758.0,AVG,2019,,
UD Ajdovščina,298.0,348.0,646.0,AVG,2019,,
UD Idrija,128.0,121.0,249.0,AVG,2019,,
UD Nova Gorica,735.0,818.0,1553.0,AVG,2019,,
UD Tolmin,155.0,155.0,310.0,AVG,2019,,
OS Novo mesto,1699.0,1734.0,3433.0,AVG,2019,,
UD Črnomelj,450.0,414.0,864.0,AVG,2019,,
UD Metlika,202.0,177.0,379.0,AVG,2019,,
UD Novo mesto,824.0,894.0,1718.0,AVG,2019,,
UD Trebnje,223.0,249.0,472.0,AVG,2019,,
OS Ptuj,1099.0,1355.0,2454.0,AVG,2019,,
UD Ormož,236.0,285.0,521.0,AVG,2019,,
UD Ptuj,863.0,1070.0,1933.0,AVG,2019,,
OS Sevnica,1417.0,1451.0,2868.0,AVG,2019,,
UD Brežice,480.0,467.0,947.0,AVG,2019,,
UD Krško,660.0,684.0,1344.0,AVG,2019,,
UD Sevnica,277.0,300.0,577.0,AVG,2019,,
OS Trbovlje,1096.0,1118.0,2214.0,AVG,2019,,
UD Hrastnik,206.0,213.0,419.0,AVG,2019,,
UD Litija,234.0,245.0,479.0,AVG,2019,,
UD Trbovlje,415.0,403.0,818.0,AVG,2019,,
UD Zagorje,241.0,257.0,498.0,AVG,2019,,
OS Velenje,1939.0,2427.0,4366.0,AVG,2019,,
UD Dravograd,124.0,134.0,258.0,AVG,2019,,
UD Mozirje,239.0,270.0,509.0,AVG,2019,,
UD Radlje ob Dravi,239.0,293.0,532.0,AVG,2019,,
UD Ravne na Koroškem,322.0,401.0,723.0,AVG,2019,,
UD Slovenj Gradec,277.0,352.0,629.0,AVG,2019,,
UD Velenje,738.0,977.0,1715.0,AVG,2019,,
,,,,AVG,2019,,
,,,71544.0,AVG,2019,,
OS Celje,3567.0,4170.0,7737.0,SEP,2019,,
UD Celje,1133.0,1381.0,2514.0,SEP,2019,,
UD Laško,284.0,264.0,548.0,SEP,2019,,
UD Slovenske Konjice,520.0,632.0,1152.0,SEP,2019,,
UD Šentjur,350.0,420.0,770.0,SEP,2019,,
UD Šmarje pri Jelšah,600.0,709.0,1309.0,SEP,2019,,
UD Žalec,680.0,764.0,1444.0,SEP,2019,,
OS Koper,2315.0,2218.0,4533.0,SEP,2019,,
UD Ilirska Bistrica,182.0,200.0,382.0,SEP,2019,,
UD Izola,243.0,220.0,463.0,SEP,2019,,
UD Koper,924.0,899.0,1823.0,SEP,2019,,
UD Piran,334.0,277.0,611.0,SEP,2019,,
UD Postojna,314.0,347.0,661.0,SEP,2019,,
UD Sežana,318.0,275.0,593.0,SEP,2019,,
OS Kranj,2245.0,2215.0,4460.0,SEP,2019,,
UD Jesenice,341.0,295.0,636.0,SEP,2019,,
UD Kranj,1039.0,1067.0,2106.0,SEP,2019,,
UD Radovljica,331.0,316.0,647.0,SEP,2019,,
UD Škofja Loka,358.0,360.0,718.0,SEP,2019,,
UD Tržič,176.0,177.0,353.0,SEP,2019,,
OS Ljubljana,10621.0,9928.0,20549.0,SEP,2019,,
UD Cerknica,191.0,190.0,381.0,SEP,2019,,
UD Domžale,761.0,740.0,1501.0,SEP,2019,,
UD Grosuplje,600.0,581.0,1181.0,SEP,2019,,
UD Kamnik,424.0,457.0,881.0,SEP,2019,,
UD Kočevje,516.0,574.0,1090.0,SEP,2019,,
UD Ljubljana,7495.0,6682.0,14177.0,SEP,2019,,
UD Logatec,151.0,182.0,333.0,SEP,2019,,
UD Ribnica,154.0,178.0,332.0,SEP,2019,,
UD Vrhnika,329.0,344.0,673.0,SEP,2019,,
OS Maribor,4410.0,5046.0,9456.0,SEP,2019,,
UD Lenart,149.0,185.0,334.0,SEP,2019,,
UD Maribor,3303.0,3649.0,6952.0,SEP,2019,,
UD Pesnica,287.0,310.0,597.0,SEP,2019,,
UD Ruše,252.0,261.0,513.0,SEP,2019,,
UD Slovenska Bistrica,419.0,641.0,1060.0,SEP,2019,,
OS Murska Sobota,2495.0,2960.0,5455.0,SEP,2019,,
UD Gornja Radgona,368.0,412.0,780.0,SEP,2019,,
UD Lendava,550.0,693.0,1243.0,SEP,2019,,
UD Ljutomer,283.0,356.0,639.0,SEP,2019,,
UD Murska Sobota,1294.0,1499.0,2793.0,SEP,2019,,
OS Nova Gorica,1330.0,1338.0,2668.0,SEP,2019,,
UD Ajdovščina,303.0,319.0,622.0,SEP,2019,,
UD Idrija,131.0,109.0,240.0,SEP,2019,,
UD Nova Gorica,745.0,767.0,1512.0,SEP,2019,,
UD Tolmin,151.0,143.0,294.0,SEP,2019,,
OS Novo mesto,1689.0,1684.0,3373.0,SEP,2019,,
UD Črnomelj,442.0,409.0,851.0,SEP,2019,,
UD Metlika,203.0,184.0,387.0,SEP,2019,,
UD Novo mesto,822.0,858.0,1680.0,SEP,2019,,
UD Trebnje,222.0,233.0,455.0,SEP,2019,,
OS Ptuj,1087.0,1310.0,2397.0,SEP,2019,,
UD Ormož,232.0,271.0,503.0,SEP,2019,,
UD Ptuj,855.0,1039.0,1894.0,SEP,2019,,
OS Sevnica,1418.0,1423.0,2841.0,SEP,2019,,
UD Brežice,476.0,465.0,941.0,SEP,2019,,
UD Krško,665.0,671.0,1336.0,SEP,2019,,
UD Sevnica,277.0,287.0,564.0,SEP,2019,,
OS Trbovlje,1082.0,1075.0,2157.0,SEP,2019,,
UD Hrastnik,200.0,211.0,411.0,SEP,2019,,
UD Litija,232.0,234.0,466.0,SEP,2019,,
UD Trbovlje,413.0,382.0,795.0,SEP,2019,,
UD Zagorje,237.0,248.0,485.0,SEP,2019,,
OS Velenje,1890.0,2318.0,4208.0,SEP,2019,,
UD Dravograd,121.0,133.0,254.0,SEP,2019,,
UD Mozirje,244.0,261.0,505.0,SEP,2019,,
UD Radlje ob Dravi,223.0,287.0,510.0,SEP,2019,,
UD Ravne na Koroškem,310.0,397.0,707.0,SEP,2019,,
UD Slovenj Gradec,277.0,335.0,612.0,SEP,2019,,
UD Velenje,715.0,905.0,1620.0,SEP,2019,,
,,,,SEP,2019,,
,,,69834.0,SEP,2019,,
OS Celje,3721.0,4286.0,8007.0,OKT,2019,,
UD Celje,1178.0,1406.0,2584.0,OKT,2019,,
UD Laško,295.0,268.0,563.0,OKT,2019,,
UD Slovenske Konjice,557.0,649.0,1206.0,OKT,2019,,
UD Šentjur,350.0,454.0,804.0,OKT,2019,,
UD Šmarje pri Jelšah,635.0,729.0,1364.0,OKT,2019,,
UD Žalec,706.0,780.0,1486.0,OKT,2019,,
OS Koper,2375.0,2312.0,4687.0,OKT,2019,,
UD Ilirska Bistrica,186.0,204.0,390.0,OKT,2019,,
UD Izola,241.0,219.0,460.0,OKT,2019,,
UD Koper,957.0,932.0,1889.0,OKT,2019,,
UD Piran,349.0,294.0,643.0,OKT,2019,,
UD Postojna,319.0,380.0,699.0,OKT,2019,,
UD Sežana,323.0,283.0,606.0,OKT,2019,,
OS Kranj,2402.0,2361.0,4763.0,OKT,2019,,
UD Jesenice,345.0,290.0,635.0,OKT,2019,,
UD Kranj,1138.0,1166.0,2304.0,OKT,2019,,
UD Radovljica,366.0,353.0,719.0,OKT,2019,,
UD Škofja Loka,366.0,367.0,733.0,OKT,2019,,
UD Tržič,187.0,185.0,372.0,OKT,2019,,
OS Ljubljana,10958.0,10135.0,21093.0,OKT,2019,,
UD Cerknica,192.0,194.0,386.0,OKT,2019,,
UD Domžale,805.0,755.0,1560.0,OKT,2019,,
UD Grosuplje,617.0,592.0,1209.0,OKT,2019,,
UD Kamnik,462.0,476.0,938.0,OKT,2019,,
UD Kočevje,522.0,570.0,1092.0,OKT,2019,,
UD Ljubljana,7703.0,6846.0,14549.0,OKT,2019,,
UD Logatec,158.0,186.0,344.0,OKT,2019,,
UD Ribnica,159.0,178.0,337.0,OKT,2019,,
UD Vrhnika,340.0,338.0,678.0,OKT,2019,,
OS Maribor,4612.0,5216.0,9828.0,OKT,2019,,
UD Lenart,159.0,197.0,356.0,OKT,2019,,
UD Maribor,3443.0,3742.0,7185.0,OKT,2019,,
UD Pesnica,288.0,314.0,602.0,OKT,2019,,
UD Ruše,269.0,283.0,552.0,OKT,2019,,
UD Slovenska Bistrica,453.0,680.0,1133.0,OKT,2019,,
OS Murska Sobota,2607.0,3082.0,5689.0,OKT,2019,,
UD Gornja Radgona,377.0,440.0,817.0,OKT,2019,,
UD Lendava,572.0,709.0,1281.0,OKT,2019,,
UD Ljutomer,303.0,393.0,696.0,OKT,2019,,
UD Murska Sobota,1355.0,1540.0,2895.0,OKT,2019,,
OS Nova Gorica,1369.0,1368.0,2737.0,OKT,2019,,
UD Ajdovščina,302.0,330.0,632.0,OKT,2019,,
UD Idrija,142.0,124.0,266.0,OKT,2019,,
UD Nova Gorica,770.0,763.0,1533.0,OKT,2019,,
UD Tolmin,155.0,151.0,306.0,OKT,2019,,
OS Novo mesto,1739.0,1711.0,3450.0,OKT,2019,,
UD Črnomelj,438.0,406.0,844.0,OKT,2019,,
