Občina,OŠ ali manj,srednje poklicno izobraževanje,"strokovno, splošno izobraževanje","izobraževanje prve, druge, tretje stopnje",Skupaj,month,year,"OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
KRANJ,581.0,330.0,446.0,333.0,1690.0,APR,2018,,,,
KRANJSKA GORA,20.0,36.0,35.0,30.0,121.0,APR,2018,,,,
KRIŽEVCI,27.0,25.0,37.0,26.0,115.0,APR,2018,,,,
KRŠKO,584.0,342.0,259.0,146.0,1331.0,APR,2018,,,,
KUNGOTA,57.0,51.0,60.0,33.0,201.0,APR,2018,,,,
KUZMA,36.0,14.0,3.0,6.0,59.0,APR,2018,,,,
LAŠKO,152.0,166.0,156.0,80.0,554.0,APR,2018,,,,
LENART,46.0,58.0,56.0,35.0,195.0,APR,2018,,,,
LENDAVA,289.0,204.0,183.0,90.0,766.0,APR,2018,,,,
LITIJA,173.0,123.0,90.0,49.0,435.0,APR,2018,,,,
LJUBLJANA,3487.0,2614.0,3391.0,2729.0,12221.0,APR,2018,,,,
LJUBNO,15.0,27.0,32.0,12.0,86.0,APR,2018,,,,
LJUTOMER,188.0,174.0,111.0,78.0,551.0,APR,2018,,,,
LOG - DRAGOMER,28.0,34.0,33.0,21.0,116.0,APR,2018,,,,
LOGATEC,120.0,103.0,104.0,62.0,389.0,APR,2018,,,,
LOŠKA DOLINA,34.0,28.0,42.0,23.0,127.0,APR,2018,,,,
LOŠKI POTOK,22.0,22.0,17.0,8.0,69.0,APR,2018,,,,
LOVRENC NA POHORJU,33.0,39.0,34.0,21.0,127.0,APR,2018,,,,
LUČE,17.0,13.0,23.0,15.0,68.0,APR,2018,,,,
LUKOVICA,44.0,42.0,41.0,20.0,147.0,APR,2018,,,,
MAJŠPERK,31.0,29.0,37.0,13.0,110.0,APR,2018,,,,
MAKOLE,19.0,30.0,10.0,15.0,74.0,APR,2018,,,,
MARIBOR,1649.0,1553.0,1700.0,1122.0,6024.0,APR,2018,,,,
MARKOVCI,27.0,38.0,26.0,24.0,115.0,APR,2018,,,,
MEDVODE,139.0,128.0,158.0,118.0,543.0,APR,2018,,,,
MENGEŠ,61.0,51.0,81.0,33.0,226.0,APR,2018,,,,
METLIKA,202.0,91.0,74.0,42.0,409.0,APR,2018,,,,
MEŽICA,24.0,27.0,26.0,15.0,92.0,APR,2018,,,,
MIKLAVŽ NA DRAVSKEM POLJU,62.0,84.0,75.0,36.0,257.0,APR,2018,,,,
MIREN-KOSTANJEVICA,28.0,24.0,29.0,19.0,100.0,APR,2018,,,,
MIRNA,21.0,23.0,11.0,11.0,66.0,APR,2018,,,,
MIRNA PEČ,30.0,17.0,17.0,7.0,71.0,APR,2018,,,,
MISLINJA,13.0,36.0,24.0,24.0,97.0,APR,2018,,,,
MOKRONOG-TREBELNO,26.0,21.0,13.0,12.0,72.0,APR,2018,,,,
MORAVČE,34.0,33.0,33.0,18.0,118.0,APR,2018,,,,
MORAVSKE TOPLICE,103.0,70.0,70.0,58.0,301.0,APR,2018,,,,
MOZIRJE,27.0,44.0,48.0,26.0,145.0,APR,2018,,,,
MURSKA SOBOTA,385.0,322.0,262.0,151.0,1120.0,APR,2018,,,,
MUTA,41.0,37.0,24.0,19.0,121.0,APR,2018,,,,
NAKLO,29.0,22.0,42.0,20.0,113.0,APR,2018,,,,
NAZARJE,26.0,32.0,29.0,21.0,108.0,APR,2018,,,,
NOVA GORICA,351.0,199.0,237.0,204.0,991.0,APR,2018,,,,
NOVO MESTO,577.0,181.0,220.0,205.0,1183.0,APR,2018,,,,
ODRANCI,31.0,20.0,16.0,8.0,75.0,APR,2018,,,,
OPLOTNICA,33.0,38.0,18.0,27.0,116.0,APR,2018,,,,
ORMOŽ,149.0,209.0,147.0,69.0,574.0,APR,2018,,,,
OSILNICA,3.0,15.0,3.0,0.0,21.0,APR,2018,,,,
PESNICA,82.0,69.0,71.0,49.0,271.0,APR,2018,,,,
PIRAN,199.0,197.0,179.0,146.0,721.0,APR,2018,,,,
PIVKA,66.0,60.0,54.0,35.0,215.0,APR,2018,,,,
PODČETRTEK,50.0,36.0,26.0,11.0,123.0,APR,2018,,,,
PODLEHNIK,21.0,19.0,16.0,9.0,65.0,APR,2018,,,,
PODVELKA,23.0,31.0,23.0,11.0,88.0,APR,2018,,,,
POLJČANE,41.0,46.0,48.0,21.0,156.0,APR,2018,,,,
POLZELA,71.0,42.0,72.0,39.0,224.0,APR,2018,,,,
POSTOJNA,211.0,155.0,151.0,90.0,607.0,APR,2018,,,,
PREBOLD,48.0,58.0,53.0,38.0,197.0,APR,2018,,,,
PREDDVOR,17.0,19.0,30.0,14.0,80.0,APR,2018,,,,
PREVALJE,51.0,76.0,75.0,39.0,241.0,APR,2018,,,,
PTUJ,200.0,216.0,307.0,185.0,908.0,APR,2018,,,,
PUCONCI,160.0,78.0,50.0,48.0,336.0,APR,2018,,,,
RAČE-FRAM,67.0,85.0,77.0,59.0,288.0,APR,2018,,,,
RADEČE,51.0,38.0,44.0,17.0,150.0,APR,2018,,,,
RADENCI,63.0,80.0,69.0,33.0,245.0,APR,2018,,,,
RADLJE OB DRAVI,49.0,90.0,53.0,28.0,220.0,APR,2018,,,,
RADOVLJICA,96.0,121.0,112.0,87.0,416.0,APR,2018,,,,
RAVNE NA KOROŠKEM,81.0,132.0,107.0,62.0,382.0,APR,2018,,,,
RAZKRIŽJE,21.0,21.0,6.0,4.0,52.0,APR,2018,,,,
REČICA OB SAVINJI,19.0,19.0,33.0,14.0,85.0,APR,2018,,,,
RENČE-VOGRSKO,35.0,26.0,24.0,15.0,100.0,APR,2018,,,,
RIBNICA,107.0,80.0,81.0,44.0,312.0,APR,2018,,,,
RIBNICA NA POHORJU,11.0,23.0,16.0,3.0,53.0,APR,2018,,,,
ROGAŠKA SLATINA,144.0,165.0,122.0,63.0,494.0,APR,2018,,,,
ROGAŠOVCI,121.0,45.0,19.0,14.0,199.0,APR,2018,,,,
ROGATEC,54.0,49.0,35.0,15.0,153.0,APR,2018,,,,
RUŠE,70.0,101.0,87.0,55.0,313.0,APR,2018,,,,
SELNICA OB DRAVI,35.0,50.0,55.0,16.0,156.0,APR,2018,,,,
SEMIČ,96.0,43.0,39.0,21.0,199.0,APR,2018,,,,
SEVNICA,168.0,196.0,133.0,95.0,592.0,APR,2018,,,,
