Kohezijska / Statistična regija,1+2              OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"Kohezijska / 
statistična regija","OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
Podravska,3935.0,4102.0,4215.0,2493.0,14745.0,NOV,2020,,,,,
Pomurska,2083.0,1592.0,1301.0,737.0,5713.0,NOV,2020,,,,,
Posavska,1163.0,1064.0,827.0,496.0,3550.0,NOV,2020,,,,,
Primorsko-notranjska,537.0,452.0,475.0,289.0,1753.0,NOV,2020,,,,,
Savinjska,3082.0,3131.0,3095.0,1895.0,11203.0,NOV,2020,,,,,
Zasavska,919.0,681.0,630.0,346.0,2576.0,NOV,2020,,,,,
,,,,,,NOV,2020,,,,,
Zahodna Slovenija,10370.0,8258.0,10174.0,6947.0,35749.0,NOV,2020,,,,,
Gorenjska,1764.0,1498.0,1832.0,1114.0,6208.0,NOV,2020,,,,,
Goriška,1065.0,778.0,892.0,691.0,3426.0,NOV,2020,,,,,
Obalno-kraška,1515.0,1242.0,1387.0,818.0,4962.0,NOV,2020,,,,,
Osrednjeslovenska,6026.0,4740.0,6063.0,4324.0,21153.0,NOV,2020,,,,,
,,,,,,NOV,2020,,,,,
Občina izven RS,522.0,65.0,61.0,82.0,730.0,NOV,2020,,,,,
Slovenija,27253.0,22427.0,23086.0,14517.0,87283.0,DEC,2020,,,,,
,,,,,,DEC,2020,,,,,
Vzhodna Slovenija,15652.0,13858.0,12701.0,7480.0,49691.0,DEC,2020,,,,,
Jugovzhodna Slovenija,2509.0,1418.0,1138.0,675.0,5740.0,DEC,2020,,,,,
Koroška,600.0,823.0,711.0,422.0,2556.0,DEC,2020,,,,,
Podravska,4225.0,4313.0,4347.0,2541.0,15426.0,DEC,2020,,,,,
Pomurska,2209.0,1746.0,1355.0,769.0,6079.0,DEC,2020,,,,,
Posavska,1261.0,1120.0,840.0,495.0,3716.0,DEC,2020,,,,,
Primorsko-notranjska,545.0,475.0,499.0,297.0,1816.0,DEC,2020,,,,,
Savinjska,3358.0,3269.0,3162.0,1938.0,11727.0,DEC,2020,,,,,
Zasavska,945.0,694.0,649.0,343.0,2631.0,DEC,2020,,,,,
,,,,,,DEC,2020,,,,,
Zahodna Slovenija,10946.0,8478.0,10315.0,6956.0,36695.0,DEC,2020,,,,,
Gorenjska,1985.0,1543.0,1853.0,1120.0,6501.0,DEC,2020,,,,,
Goriška,1111.0,806.0,891.0,710.0,3518.0,DEC,2020,,,,,
Obalno-kraška,1587.0,1269.0,1427.0,819.0,5102.0,DEC,2020,,,,,
Osrednjeslovenska,6263.0,4860.0,6144.0,4307.0,21574.0,DEC,2020,,,,,
,,,,,,DEC,2020,,,,,
Občina izven RS,655.0,91.0,70.0,81.0,897.0,DEC,2020,,,,,
,,,,,67834.0,JAN,2022,Slovenija,22256.0,17230.0,17346.0,11002.0
,,,,,,JAN,2022,,,,,
,,,,,39337.0,JAN,2022,Vzhodna Slovenija,13017.0,10960.0,9710.0,5650.0
,,,,,4718.0,JAN,2022,Jugovzhodna Slovenija,2211.0,1104.0,899.0,504.0
,,,,,2238.0,JAN,2022,Koroška,561.0,772.0,601.0,304.0
,,,,,12046.0,JAN,2022,Podravska,3478.0,3370.0,3241.0,1957.0
,,,,,4678.0,JAN,2022,Pomurska,1721.0,1343.0,1025.0,589.0
,,,,,3008.0,JAN,2022,Posavska,1085.0,912.0,662.0,349.0
,,,,,1244.0,JAN,2022,Primorsko-notranjska,410.0,335.0,311.0,188.0
,,,,,9303.0,JAN,2022,Savinjska,2810.0,2549.0,2459.0,1485.0
,,,,,2102.0,JAN,2022,Zasavska,741.0,575.0,512.0,274.0
,,,,,,JAN,2022,,,,,
,,,,,27797.0,JAN,2022,Zahodna Slovenija,8654.0,6228.0,7610.0,5305.0
,,,,,4430.0,JAN,2022,Gorenjska,1418.0,1009.0,1205.0,798.0
,,,,,2485.0,JAN,2022,Goriška,788.0,564.0,624.0,509.0
,,,,,3794.0,JAN,2022,Obalno-kraška,1196.0,915.0,1059.0,624.0
,,,,,17088.0,JAN,2022,Osrednjeslovenska,5252.0,3740.0,4722.0,3374.0
,,,,,,JAN,2022,,,,,
,,,,,700.0,JAN,2022,Občina izven RS,585.0,42.0,26.0,47.0
,,,,,64783.0,FEB,2022,Slovenija,21110.0,16397.0,16637.0,10639.0
,,,,,,FEB,2022,,,,,
,,,,,37420.0,FEB,2022,Vzhodna Slovenija,12342.0,10354.0,9268.0,5456.0
