Kohezijska / Statistična regija,1+2              OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"Kohezijska / 
statistična regija","OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
,,,,,2754.0,SEP,2022,Obalno-kraška,836.0,658.0,778.0,482.0
,,,,,13277.0,SEP,2022,Osrednjeslovenska,3831.0,2885.0,3784.0,2777.0
,,,,,,SEP,2022,,,,,
,,,,,658.0,SEP,2022,Občina izven RS,552.0,24.0,22.0,60.0
,,,,,52991.0,OKT,2022,Slovenija,16517.0,13064.0,13983.0,9427.0
,,,,,,OKT,2022,,,,,
,,,,,30953.0,OKT,2022,Vzhodna Slovenija,9852.0,8297.0,7870.0,4934.0
,,,,,4032.0,OKT,2022,Jugovzhodna Slovenija,1953.0,873.0,742.0,464.0
,,,,,1697.0,OKT,2022,Koroška,426.0,521.0,471.0,279.0
,,,,,9053.0,OKT,2022,Podravska,2403.0,2457.0,2559.0,1634.0
,,,,,3388.0,OKT,2022,Pomurska,1184.0,905.0,792.0,507.0
,,,,,2500.0,OKT,2022,Posavska,882.0,717.0,583.0,318.0
,,,,,986.0,OKT,2022,Primorsko-notranjska,285.0,267.0,245.0,189.0
,,,,,7685.0,OKT,2022,Savinjska,2155.0,2123.0,2073.0,1334.0
,,,,,1612.0,OKT,2022,Zasavska,564.0,434.0,405.0,209.0
,,,,,,OKT,2022,,,,,
,,,,,21384.0,OKT,2022,Zahodna Slovenija,6119.0,4741.0,6088.0,4436.0
,,,,,3275.0,OKT,2022,Gorenjska,869.0,760.0,966.0,680.0
,,,,,1919.0,OKT,2022,Goriška,571.0,435.0,488.0,425.0
,,,,,2816.0,OKT,2022,Obalno-kraška,843.0,656.0,818.0,499.0
,,,,,13374.0,OKT,2022,Osrednjeslovenska,3836.0,2890.0,3816.0,2832.0
,,,,,,OKT,2022,,,,,
,,,,,654.0,OKT,2022,Občina izven RS,546.0,26.0,25.0,57.0
,,,,,52541.0,NOV,2022,Slovenija,16615.0,12919.0,13772.0,9235.0
,,,,,,NOV,2022,,,,,
,,,,,30667.0,NOV,2022,Vzhodna Slovenija,9944.0,8227.0,7715.0,4781.0
,,,,,3951.0,NOV,2022,Jugovzhodna Slovenija,1955.0,840.0,701.0,455.0
,,,,,1683.0,NOV,2022,Koroška,437.0,518.0,454.0,274.0
,,,,,8964.0,NOV,2022,Podravska,2423.0,2456.0,2526.0,1559.0
,,,,,3444.0,NOV,2022,Pomurska,1218.0,912.0,798.0,516.0
,,,,,2514.0,NOV,2022,Posavska,905.0,714.0,590.0,305.0
,,,,,981.0,NOV,2022,Primorsko-notranjska,294.0,260.0,248.0,179.0
,,,,,7582.0,NOV,2022,Savinjska,2167.0,2109.0,2005.0,1301.0
,,,,,1548.0,NOV,2022,Zasavska,545.0,418.0,393.0,192.0
,,,,,,NOV,2022,,,,,
,,,,,21194.0,NOV,2022,Zahodna Slovenija,6116.0,4663.0,6028.0,4387.0
,,,,,3262.0,NOV,2022,Gorenjska,893.0,753.0,949.0,667.0
,,,,,1947.0,NOV,2022,Goriška,577.0,431.0,504.0,435.0
,,,,,2886.0,NOV,2022,Obalno-kraška,866.0,665.0,848.0,507.0
,,,,,13099.0,NOV,2022,Osrednjeslovenska,3780.0,2814.0,3727.0,2778.0
,,,,,,NOV,2022,,,,,
,,,,,680.0,NOV,2022,Občina izven RS,555.0,29.0,29.0,67.0
,,,,,53181.0,DEC,2022,Slovenija,17218.0,13111.0,13625.0,9227.0
,,,,,,DEC,2022,,,,,
,,,,,31077.0,DEC,2022,Vzhodna Slovenija,10243.0,8400.0,7665.0,4769.0
,,,,,3912.0,DEC,2022,Jugovzhodna Slovenija,1955.0,822.0,684.0,451.0
,,,,,1736.0,DEC,2022,Koroška,445.0,542.0,463.0,286.0
,,,,,9052.0,DEC,2022,Podravska,2478.0,2511.0,2509.0,1554.0
,,,,,3617.0,DEC,2022,Pomurska,1298.0,993.0,809.0,517.0
,,,,,2509.0,DEC,2022,Posavska,915.0,712.0,578.0,304.0
,,,,,990.0,DEC,2022,Primorsko-notranjska,300.0,267.0,253.0,170.0
,,,,,7727.0,DEC,2022,Savinjska,2305.0,2131.0,1993.0,1298.0
,,,,,1534.0,DEC,2022,Zasavska,547.0,422.0,376.0,189.0
,,,,,,DEC,2022,,,,,
,,,,,21288.0,DEC,2022,Zahodna Slovenija,6292.0,4674.0,5932.0,4390.0
,,,,,3351.0,DEC,2022,Gorenjska,999.0,751.0,924.0,677.0
,,,,,1934.0,DEC,2022,Goriška,583.0,432.0,484.0,435.0
,,,,,2960.0,DEC,2022,Obalno-kraška,895.0,685.0,864.0,516.0
,,,,,13043.0,DEC,2022,Osrednjeslovenska,3815.0,2806.0,3660.0,2762.0
,,,,,,DEC,2022,,,,,
,,,,,816.0,DEC,2022,Občina izven RS,683.0,37.0,28.0,68.0
,,,,,55386.0,JAN,2023,Slovenija,18224.0,13777.0,13975.0,9410.0
,,,,,,JAN,2023,,,,,
,,,,,32574.0,JAN,2023,Vzhodna Slovenija,10836.0,8925.0,7931.0,4882.0
,,,,,4065.0,JAN,2023,Jugovzhodna Slovenija,2026.0,860.0,711.0,468.0
,,,,,1833.0,JAN,2023,Koroška,480.0,594.0,477.0,282.0
,,,,,9496.0,JAN,2023,Podravska,2622.0,2692.0,2594.0,1588.0
,,,,,3956.0,JAN,2023,Pomurska,1397.0,1130.0,875.0,554.0
,,,,,2531.0,JAN,2023,Posavska,929.0,724.0,589.0,289.0
,,,,,1084.0,JAN,2023,Primorsko-notranjska,342.0,286.0,271.0,185.0
,,,,,8051.0,JAN,2023,Savinjska,2458.0,2218.0,2050.0,1325.0
,,,,,1558.0,JAN,2023,Zasavska,582.0,421.0,364.0,191.0
,,,,,,JAN,2023,,,,,
,,,,,21811.0,JAN,2023,Zahodna Slovenija,6529.0,4808.0,6017.0,4457.0
,,,,,3508.0,JAN,2023,Gorenjska,1075.0,785.0,941.0,707.0
,,,,,1971.0,JAN,2023,Goriška,595.0,443.0,508.0,425.0
,,,,,3074.0,JAN,2023,Obalno-kraška,923.0,720.0,892.0,539.0
,,,,,13258.0,JAN,2023,Osrednjeslovenska,3936.0,2860.0,3676.0,2786.0
,,,,,,JAN,2023,,,,,
,,,,,1001.0,JAN,2023,Občina izven RS,859.0,44.0,27.0,71.0
,,,,,53404.0,FEB,2023,Slovenija,17551.0,13282.0,13511.0,9060.0
,,,,,,FEB,2023,,,,,
,,,,,31261.0,FEB,2023,Vzhodna Slovenija,10435.0,8544.0,7618.0,4664.0
,,,,,3940.0,FEB,2023,Jugovzhodna Slovenija,1973.0,851.0,688.0,428.0
,,,,,1730.0,FEB,2023,Koroška,459.0,558.0,456.0,257.0
,,,,,9067.0,FEB,2023,Podravska,2467.0,2557.0,2505.0,1538.0
,,,,,3743.0,FEB,2023,Pomurska,1342.0,1067.0,823.0,511.0
,,,,,2442.0,FEB,2023,Posavska,910.0,694.0,559.0,279.0
,,,,,1047.0,FEB,2023,Primorsko-notranjska,338.0,275.0,251.0,183.0
,,,,,7776.0,FEB,2023,Savinjska,2376.0,2129.0,1988.0,1283.0
,,,,,1516.0,FEB,2023,Zasavska,570.0,413.0,348.0,185.0
,,,,,,FEB,2023,,,,,
,,,,,21176.0,FEB,2023,Zahodna Slovenija,6292.0,4700.0,5867.0,4317.0
,,,,,3340.0,FEB,2023,Gorenjska,973.0,764.0,907.0,696.0
,,,,,1936.0,FEB,2023,Goriška,594.0,436.0,502.0,404.0
,,,,,2990.0,FEB,2023,Obalno-kraška,896.0,702.0,865.0,527.0
,,,,,12910.0,FEB,2023,Osrednjeslovenska,3829.0,2798.0,3593.0,2690.0
,,,,,,FEB,2023,,,,,
,,,,,967.0,FEB,2023,Občina izven RS,824.0,38.0,26.0,79.0
