Urad za delo,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 ali več,Skupaj,month,year,"15-24
let","25-29
let","30-39
let","40-49
let","50-54
let","55 let
ali več"
OS Celje,696.0,1068.0,2007.0,1916.0,1295.0,2496.0,9478.0,JAN,2018,,,,,,
UD Celje,213.0,360.0,770.0,683.0,421.0,854.0,3301.0,JAN,2018,,,,,,
UD Laško,49.0,84.0,156.0,135.0,89.0,190.0,703.0,JAN,2018,,,,,,
UD Slovenske Konjice,112.0,170.0,241.0,249.0,161.0,382.0,1315.0,JAN,2018,,,,,,
UD Šentjur,69.0,98.0,180.0,170.0,118.0,212.0,847.0,JAN,2018,,,,,,
UD Šmarje pri Jelšah,114.0,167.0,310.0,287.0,220.0,384.0,1482.0,JAN,2018,,,,,,
UD Žalec,139.0,189.0,350.0,392.0,286.0,474.0,1830.0,JAN,2018,,,,,,
OS Koper,340.0,565.0,1345.0,1191.0,778.0,1694.0,5913.0,JAN,2018,,,,,,
UD Ilirska Bistrica,24.0,43.0,94.0,87.0,76.0,134.0,458.0,JAN,2018,,,,,,
UD Izola,35.0,49.0,140.0,125.0,86.0,186.0,621.0,JAN,2018,,,,,,
UD Koper,121.0,226.0,497.0,456.0,273.0,610.0,2183.0,JAN,2018,,,,,,
UD Piran,46.0,84.0,235.0,198.0,107.0,246.0,916.0,JAN,2018,,,,,,
UD Postojna,63.0,77.0,193.0,172.0,118.0,255.0,878.0,JAN,2018,,,,,,
UD Sežana,51.0,86.0,186.0,153.0,118.0,263.0,857.0,JAN,2018,,,,,,
OS Kranj,428.0,603.0,1156.0,1003.0,662.0,1903.0,5755.0,JAN,2018,,,,,,
UD Jesenice,63.0,73.0,162.0,132.0,95.0,288.0,813.0,JAN,2018,,,,,,
UD Kranj,168.0,285.0,588.0,486.0,285.0,837.0,2649.0,JAN,2018,,,,,,
UD Radovljica,66.0,107.0,168.0,181.0,108.0,275.0,905.0,JAN,2018,,,,,,
UD Škofja Loka,85.0,101.0,148.0,130.0,107.0,321.0,892.0,JAN,2018,,,,,,
UD Tržič,46.0,37.0,90.0,74.0,67.0,182.0,496.0,JAN,2018,,,,,,
OS Ljubljana,1627.0,3001.0,6030.0,4925.0,2891.0,6373.0,24847.0,JAN,2018,,,,,,
UD Cerknica,44.0,70.0,119.0,115.0,77.0,227.0,652.0,JAN,2018,,,,,,
UD Domžale,122.0,210.0,385.0,357.0,223.0,444.0,1741.0,JAN,2018,,,,,,
UD Grosuplje,150.0,149.0,322.0,266.0,176.0,309.0,1372.0,JAN,2018,,,,,,
UD Kamnik,82.0,105.0,231.0,206.0,138.0,301.0,1063.0,JAN,2018,,,,,,
UD Kočevje,164.0,155.0,306.0,256.0,156.0,271.0,1308.0,JAN,2018,,,,,,
UD Ljubljana,922.0,2095.0,4283.0,3366.0,1891.0,4351.0,16908.0,JAN,2018,,,,,,
UD Logatec,31.0,53.0,74.0,87.0,64.0,114.0,423.0,JAN,2018,,,,,,
UD Ribnica,59.0,56.0,95.0,80.0,49.0,91.0,430.0,JAN,2018,,,,,,
UD Vrhnika,53.0,108.0,215.0,192.0,117.0,265.0,950.0,JAN,2018,,,,,,
OS Maribor,1099.0,1517.0,2694.0,2358.0,1465.0,2856.0,11989.0,JAN,2018,,,,,,
UD Lenart,55.0,64.0,122.0,102.0,80.0,132.0,555.0,JAN,2018,,,,,,
