Kohezijska / statistična regija,Moški,Ženske,Skupaj,month,year,"Kohezijska /
statistična regija",moški,ženske
,,,,MAJ,2022,,,
,,,503.0,MAJ,2022,Občina izven RS,228.0,275.0
,,,53860.0,JUN,2022,Slovenija,26608.0,27252.0
,,,,JUN,2022,,,
,,,31292.0,JUN,2022,Vzhodna Slovenija,15075.0,16217.0
,,,4048.0,JUN,2022,Jugovzhodna Slovenija,2079.0,1969.0
,,,1687.0,JUN,2022,Koroška,780.0,907.0
,,,9443.0,JUN,2022,Podravska,4431.0,5012.0
,,,3367.0,JUN,2022,Pomurska,1608.0,1759.0
,,,2454.0,JUN,2022,Posavska,1246.0,1208.0
,,,950.0,JUN,2022,Primorsko-notranjska,474.0,476.0
,,,7587.0,JUN,2022,Savinjska,3562.0,4025.0
,,,1756.0,JUN,2022,Zasavska,895.0,861.0
,,,,JUN,2022,,,
,,,21997.0,JUN,2022,Zahodna Slovenija,11305.0,10692.0
,,,3242.0,JUN,2022,Gorenjska,1646.0,1596.0
,,,2020.0,JUN,2022,Goriška,1023.0,997.0
,,,2815.0,JUN,2022,Obalno-kraška,1386.0,1429.0
,,,13920.0,JUN,2022,Osrednjeslovenska,7250.0,6670.0
,,,,JUN,2022,,,
,,,571.0,JUN,2022,Občina izven RS,228.0,343.0
,,,54341.0,JUL,2022,Slovenija,26485.0,27856.0
,,,,JUL,2022,,,
,,,31585.0,JUL,2022,Vzhodna Slovenija,15008.0,16577.0
,,,4106.0,JUL,2022,Jugovzhodna Slovenija,2075.0,2031.0
,,,1702.0,JUL,2022,Koroška,779.0,923.0
,,,9453.0,JUL,2022,Podravska,4410.0,5043.0
,,,3376.0,JUL,2022,Pomurska,1598.0,1778.0
,,,2472.0,JUL,2022,Posavska,1244.0,1228.0
,,,962.0,JUL,2022,Primorsko-notranjska,465.0,497.0
,,,7752.0,JUL,2022,Savinjska,3553.0,4199.0
,,,1762.0,JUL,2022,Zasavska,884.0,878.0
,,,,JUL,2022,,,
,,,22166.0,JUL,2022,Zahodna Slovenija,11247.0,10919.0
,,,3352.0,JUL,2022,Gorenjska,1656.0,1696.0
,,,2037.0,JUL,2022,Goriška,1013.0,1024.0
,,,2817.0,JUL,2022,Obalno-kraška,1373.0,1444.0
,,,13960.0,JUL,2022,Osrednjeslovenska,7205.0,6755.0
,,,,JUL,2022,,,
,,,590.0,JUL,2022,Občina izven RS,230.0,360.0
,,,53935.0,AVG,2022,Slovenija,26133.0,27802.0
,,,,AVG,2022,,,
,,,31407.0,AVG,2022,Vzhodna Slovenija,14805.0,16602.0
,,,4124.0,AVG,2022,Jugovzhodna Slovenija,2085.0,2039.0
,,,1678.0,AVG,2022,Koroška,775.0,903.0
,,,9318.0,AVG,2022,Podravska,4304.0,5014.0
,,,3364.0,AVG,2022,Pomurska,1570.0,1794.0
,,,2482.0,AVG,2022,Posavska,1239.0,1243.0
,,,980.0,AVG,2022,Primorsko-notranjska,458.0,522.0
,,,7747.0,AVG,2022,Savinjska,3522.0,4225.0
,,,1714.0,AVG,2022,Zasavska,852.0,862.0
,,,,AVG,2022,,,
,,,21903.0,AVG,2022,Zahodna Slovenija,11094.0,10809.0
,,,3321.0,AVG,2022,Gorenjska,1653.0,1668.0
,,,2022.0,AVG,2022,Goriška,981.0,1041.0
,,,2816.0,AVG,2022,Obalno-kraška,1365.0,1451.0
,,,13744.0,AVG,2022,Osrednjeslovenska,7095.0,6649.0
,,,,AVG,2022,,,
,,,625.0,AVG,2022,Občina izven RS,234.0,391.0
,,,52043.0,SEP,2022,Slovenija,25557.0,26486.0
,,,,SEP,2022,,,
,,,30230.0,SEP,2022,Vzhodna Slovenija,14505.0,15725.0
,,,4032.0,SEP,2022,Jugovzhodna Slovenija,2074.0,1958.0
,,,1632.0,SEP,2022,Koroška,744.0,888.0
,,,8874.0,SEP,2022,Podravska,4171.0,4703.0
,,,3241.0,SEP,2022,Pomurska,1547.0,1694.0
,,,2427.0,SEP,2022,Posavska,1240.0,1187.0
,,,962.0,SEP,2022,Primorsko-notranjska,455.0,507.0
,,,7442.0,SEP,2022,Savinjska,3450.0,3992.0
,,,1620.0,SEP,2022,Zasavska,824.0,796.0
,,,,SEP,2022,,,
,,,21155.0,SEP,2022,Zahodna Slovenija,10812.0,10343.0
,,,3216.0,SEP,2022,Gorenjska,1628.0,1588.0
,,,1908.0,SEP,2022,Goriška,967.0,941.0
,,,2754.0,SEP,2022,Obalno-kraška,1337.0,1417.0
,,,13277.0,SEP,2022,Osrednjeslovenska,6880.0,6397.0
,,,,SEP,2022,,,
,,,658.0,SEP,2022,Občina izven RS,240.0,418.0
,,,52991.0,OKT,2022,Slovenija,26115.0,26876.0
,,,,OKT,2022,,,
,,,30953.0,OKT,2022,Vzhodna Slovenija,14858.0,16095.0
,,,4032.0,OKT,2022,Jugovzhodna Slovenija,2082.0,1950.0
,,,1697.0,OKT,2022,Koroška,777.0,920.0
,,,9053.0,OKT,2022,Podravska,4268.0,4785.0
,,,3388.0,OKT,2022,Pomurska,1603.0,1785.0
,,,2500.0,OKT,2022,Posavska,1260.0,1240.0
,,,986.0,OKT,2022,Primorsko-notranjska,474.0,512.0
,,,7685.0,OKT,2022,Savinjska,3560.0,4125.0
,,,1612.0,OKT,2022,Zasavska,834.0,778.0
,,,,OKT,2022,,,
,,,21384.0,OKT,2022,Zahodna Slovenija,11014.0,10370.0
,,,3275.0,OKT,2022,Gorenjska,1668.0,1607.0
,,,1919.0,OKT,2022,Goriška,975.0,944.0
,,,2816.0,OKT,2022,Obalno-kraška,1396.0,1420.0
,,,13374.0,OKT,2022,Osrednjeslovenska,6975.0,6399.0
,,,,OKT,2022,,,
,,,654.0,OKT,2022,Občina izven RS,243.0,411.0
,,,52541.0,NOV,2022,Slovenija,25914.0,26627.0
,,,,NOV,2022,,,
,,,30667.0,NOV,2022,Vzhodna Slovenija,14746.0,15921.0
,,,3951.0,NOV,2022,Jugovzhodna Slovenija,2044.0,1907.0
,,,1683.0,NOV,2022,Koroška,766.0,917.0
,,,8964.0,NOV,2022,Podravska,4238.0,4726.0
,,,3444.0,NOV,2022,Pomurska,1616.0,1828.0
,,,2514.0,NOV,2022,Posavska,1263.0,1251.0
,,,981.0,NOV,2022,Primorsko-notranjska,483.0,498.0
,,,7582.0,NOV,2022,Savinjska,3524.0,4058.0
,,,1548.0,NOV,2022,Zasavska,812.0,736.0
,,,,NOV,2022,,,
,,,21194.0,NOV,2022,Zahodna Slovenija,10912.0,10282.0
,,,3262.0,NOV,2022,Gorenjska,1663.0,1599.0
,,,1947.0,NOV,2022,Goriška,980.0,967.0
,,,2886.0,NOV,2022,Obalno-kraška,1429.0,1457.0
,,,13099.0,NOV,2022,Osrednjeslovenska,6840.0,6259.0
,,,,NOV,2022,,,
,,,680.0,NOV,2022,Občina izven RS,256.0,424.0
,,,53181.0,DEC,2022,Slovenija,26801.0,26380.0
,,,,DEC,2022,,,
,,,31077.0,DEC,2022,Vzhodna Slovenija,15308.0,15769.0
,,,3912.0,DEC,2022,Jugovzhodna Slovenija,2034.0,1878.0
,,,1736.0,DEC,2022,Koroška,791.0,945.0
,,,9052.0,DEC,2022,Podravska,4350.0,4702.0
,,,3617.0,DEC,2022,Pomurska,1806.0,1811.0
,,,2509.0,DEC,2022,Posavska,1288.0,1221.0
,,,990.0,DEC,2022,Primorsko-notranjska,500.0,490.0
,,,7727.0,DEC,2022,Savinjska,3709.0,4018.0
,,,1534.0,DEC,2022,Zasavska,830.0,704.0
,,,,DEC,2022,,,
,,,21288.0,DEC,2022,Zahodna Slovenija,11093.0,10195.0
,,,3351.0,DEC,2022,Gorenjska,1759.0,1592.0
,,,1934.0,DEC,2022,Goriška,980.0,954.0
,,,2960.0,DEC,2022,Obalno-kraška,1459.0,1501.0
,,,13043.0,DEC,2022,Osrednjeslovenska,6895.0,6148.0
,,,,DEC,2022,,,
,,,816.0,DEC,2022,Občina izven RS,400.0,416.0
,,,55386.0,JAN,2023,Slovenija,28298.0,27088.0
,,,,JAN,2023,,,
,,,32574.0,JAN,2023,Vzhodna Slovenija,16351.0,16223.0
,,,4065.0,JAN,2023,Jugovzhodna Slovenija,2100.0,1965.0
,,,1833.0,JAN,2023,Koroška,864.0,969.0
,,,9496.0,JAN,2023,Podravska,4669.0,4827.0
,,,3956.0,JAN,2023,Pomurska,2041.0,1915.0
,,,2531.0,JAN,2023,Posavska,1342.0,1189.0
,,,1084.0,JAN,2023,Primorsko-notranjska,550.0,534.0
,,,8051.0,JAN,2023,Savinjska,3938.0,4113.0
,,,1558.0,JAN,2023,Zasavska,847.0,711.0
,,,,JAN,2023,,,
,,,21811.0,JAN,2023,Zahodna Slovenija,11402.0,10409.0
,,,3508.0,JAN,2023,Gorenjska,1868.0,1640.0
,,,1971.0,JAN,2023,Goriška,992.0,979.0
,,,3074.0,JAN,2023,Obalno-kraška,1502.0,1572.0
,,,13258.0,JAN,2023,Osrednjeslovenska,7040.0,6218.0
,,,,JAN,2023,,,
,,,1001.0,JAN,2023,Občina izven RS,545.0,456.0
,,,53404.0,FEB,2023,Slovenija,27115.0,26289.0
,,,,FEB,2023,,,
,,,31261.0,FEB,2023,Vzhodna Slovenija,15554.0,15707.0
,,,3940.0,FEB,2023,Jugovzhodna Slovenija,2033.0,1907.0
,,,1730.0,FEB,2023,Koroška,794.0,936.0
,,,9067.0,FEB,2023,Podravska,4439.0,4628.0
,,,3743.0,FEB,2023,Pomurska,1908.0,1835.0
,,,2442.0,FEB,2023,Posavska,1269.0,1173.0
,,,1047.0,FEB,2023,Primorsko-notranjska,537.0,510.0
,,,7776.0,FEB,2023,Savinjska,3746.0,4030.0
,,,1516.0,FEB,2023,Zasavska,828.0,688.0
,,,,FEB,2023,,,
,,,21176.0,FEB,2023,Zahodna Slovenija,11074.0,10102.0
,,,3340.0,FEB,2023,Gorenjska,1764.0,1576.0
,,,1936.0,FEB,2023,Goriška,979.0,957.0
,,,2990.0,FEB,2023,Obalno-kraška,1468.0,1522.0
,,,12910.0,FEB,2023,Osrednjeslovenska,6863.0,6047.0
,,,,FEB,2023,,,
,,,967.0,FEB,2023,Občina izven RS,487.0,480.0
