Kohezijska / statistična regija,Do 2 meseca,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,"12 do 23
 mesecev","24 do 35
 mesecev",36 mesecev ali več,Skupaj,month,year,"Kohezijska /
statistična regija","do 2
mes.","3-5
mes.","6-8
mes.","9-11
mes.","12-23
mes.","24-35
mes.","36 mes.
ali več"
Pomurska,639.0,771.0,567.0,271.0,884.0,459.0,2021.0,5612.0,MAJ,2019,,,,,,,,
Posavska,342.0,364.0,322.0,184.0,505.0,216.0,1112.0,3045.0,MAJ,2019,,,,,,,,
Primorsko-notranjska,244.0,222.0,164.0,104.0,271.0,112.0,402.0,1519.0,MAJ,2019,,,,,,,,
Savinjska,1557.0,1507.0,1108.0,614.0,1904.0,785.0,2664.0,10139.0,MAJ,2019,,,,,,,,
Zasavska,353.0,360.0,245.0,168.0,415.0,186.0,519.0,2246.0,MAJ,2019,,,,,,,,
,,,,,,,,,MAJ,2019,,,,,,,,
Zahodna Slovenija,4726.0,4097.0,3277.0,1920.0,5581.0,2245.0,7587.0,29433.0,MAJ,2019,,,,,,,,
Gorenjska,998.0,828.0,596.0,332.0,906.0,280.0,741.0,4681.0,MAJ,2019,,,,,,,,
Goriška,476.0,404.0,375.0,187.0,537.0,211.0,639.0,2829.0,MAJ,2019,,,,,,,,
Obalno-kraška,621.0,561.0,471.0,254.0,658.0,269.0,888.0,3722.0,MAJ,2019,,,,,,,,
Osrednjeslovenska,2631.0,2304.0,1835.0,1147.0,3480.0,1485.0,5319.0,18201.0,MAJ,2019,,,,,,,,
,,,,,,,,,MAJ,2019,,,,,,,,
Občina izven RS,186.0,103.0,66.0,26.0,55.0,13.0,22.0,471.0,MAJ,2019,,,,,,,,
Slovenija,10472.0,10038.0,6733.0,5477.0,13245.0,5619.0,19163.0,70747.0,JUN,2019,,,,,,,,
,,,,,,,,,JUN,2019,,,,,,,,
Vzhodna Slovenija,5879.0,5801.0,3878.0,3165.0,7650.0,3382.0,11647.0,41402.0,JUN,2019,,,,,,,,
Jugovzhodna Slovenija,629.0,605.0,373.0,319.0,897.0,336.0,1724.0,4883.0,JUN,2019,,,,,,,,
Koroška,391.0,307.0,214.0,162.0,359.0,150.0,594.0,2177.0,JUN,2019,,,,,,,,
Podravska,1787.0,1834.0,1263.0,1036.0,2455.0,1172.0,2631.0,12178.0,JUN,2019,,,,,,,,
Pomurska,627.0,722.0,489.0,340.0,875.0,460.0,2021.0,5534.0,JUN,2019,,,,,,,,
Posavska,357.0,330.0,267.0,214.0,510.0,209.0,1112.0,2999.0,JUN,2019,,,,,,,,
Primorsko-notranjska,249.0,209.0,135.0,123.0,262.0,108.0,400.0,1486.0,JUN,2019,,,,,,,,
Savinjska,1522.0,1451.0,925.0,772.0,1887.0,771.0,2646.0,9974.0,JUN,2019,,,,,,,,
Zasavska,317.0,343.0,212.0,199.0,405.0,176.0,519.0,2171.0,JUN,2019,,,,,,,,
,,,,,,,,,JUN,2019,,,,,,,,
Zahodna Slovenija,4408.0,4141.0,2800.0,2284.0,5544.0,2224.0,7495.0,28896.0,JUN,2019,,,,,,,,
Gorenjska,931.0,815.0,562.0,392.0,906.0,270.0,733.0,4609.0,JUN,2019,,,,,,,,
Goriška,448.0,429.0,287.0,231.0,507.0,208.0,632.0,2742.0,JUN,2019,,,,,,,,
Obalno-kraška,546.0,564.0,350.0,302.0,640.0,267.0,878.0,3547.0,JUN,2019,,,,,,,,
Osrednjeslovenska,2483.0,2333.0,1601.0,1359.0,3491.0,1479.0,5252.0,17998.0,JUN,2019,,,,,,,,
,,,,,,,,,JUN,2019,,,,,,,,
Občina izven RS,185.0,96.0,55.0,28.0,51.0,13.0,21.0,449.0,JUN,2019,,,,,,,,
Slovenija,12553.0,7455.0,8054.0,5759.0,13344.0,5741.0,18944.0,71850.0,JUL,2019,,,,,,,,
,,,,,,,,,JUL,2019,,,,,,,,
Vzhodna Slovenija,7204.0,4090.0,4770.0,3342.0,7737.0,3429.0,11502.0,42074.0,JUL,2019,,,,,,,,
Jugovzhodna Slovenija,801.0,435.0,497.0,327.0,901.0,343.0,1698.0,5002.0,JUL,2019,,,,,,,,
Koroška,437.0,264.0,239.0,180.0,365.0,151.0,589.0,2225.0,JUL,2019,,,,,,,,
Podravska,2207.0,1277.0,1502.0,1109.0,2462.0,1174.0,2590.0,12321.0,JUL,2019,,,,,,,,
Pomurska,823.0,429.0,625.0,397.0,870.0,462.0,2005.0,5611.0,JUL,2019,,,,,,,,
Posavska,453.0,231.0,303.0,225.0,516.0,218.0,1093.0,3039.0,JUL,2019,,,,,,,,
Primorsko-notranjska,287.0,146.0,161.0,126.0,270.0,111.0,390.0,1491.0,JUL,2019,,,,,,,,
Savinjska,1784.0,1075.0,1153.0,789.0,1937.0,789.0,2622.0,10149.0,JUL,2019,,,,,,,,
Zasavska,412.0,233.0,290.0,189.0,416.0,181.0,515.0,2236.0,JUL,2019,,,,,,,,
,,,,,,,,,JUL,2019,,,,,,,,
Zahodna Slovenija,5171.0,3266.0,3232.0,2380.0,5557.0,2298.0,7421.0,29325.0,JUL,2019,,,,,,,,
Gorenjska,1032.0,679.0,647.0,402.0,915.0,269.0,719.0,4663.0,JUL,2019,,,,,,,,
Goriška,564.0,289.0,338.0,266.0,504.0,219.0,631.0,2811.0,JUL,2019,,,,,,,,
Obalno-kraška,677.0,401.0,396.0,321.0,635.0,278.0,867.0,3575.0,JUL,2019,,,,,,,,
Osrednjeslovenska,2898.0,1897.0,1851.0,1391.0,3503.0,1532.0,5204.0,18276.0,JUL,2019,,,,,,,,
,,,,,,,,,JUL,2019,,,,,,,,
Občina izven RS,178.0,99.0,52.0,37.0,50.0,14.0,21.0,451.0,JUL,2019,,,,,,,,
Slovenija,12444.0,7671.0,7479.0,6163.0,13134.0,5789.0,18864.0,71544.0,AVG,2019,,,,,,,,
,,,,,,,,,AVG,2019,,,,,,,,
Vzhodna Slovenija,7214.0,4169.0,4412.0,3587.0,7631.0,3435.0,11481.0,41929.0,AVG,2019,,,,,,,,
Jugovzhodna Slovenija,850.0,444.0,461.0,363.0,880.0,358.0,1684.0,5040.0,AVG,2019,,,,,,,,
Koroška,412.0,296.0,218.0,199.0,360.0,152.0,590.0,2227.0,AVG,2019,,,,,,,,
Podravska,2191.0,1301.0,1363.0,1159.0,2460.0,1170.0,2598.0,12242.0,AVG,2019,,,,,,,,
Pomurska,925.0,424.0,559.0,449.0,853.0,453.0,1995.0,5658.0,AVG,2019,,,,,,,,
Posavska,462.0,242.0,267.0,252.0,515.0,220.0,1092.0,3050.0,AVG,2019,,,,,,,,
Primorsko-notranjska,284.0,151.0,146.0,121.0,281.0,109.0,386.0,1478.0,AVG,2019,,,,,,,,
Savinjska,1699.0,1082.0,1137.0,854.0,1854.0,794.0,2619.0,10039.0,AVG,2019,,,,,,,,
Zasavska,391.0,229.0,261.0,190.0,428.0,179.0,517.0,2195.0,AVG,2019,,,,,,,,
,,,,,,,,,AVG,2019,,,,,,,,
Zahodna Slovenija,5077.0,3395.0,3017.0,2533.0,5450.0,2339.0,7362.0,29173.0,AVG,2019,,,,,,,,
Gorenjska,1030.0,702.0,601.0,461.0,890.0,289.0,710.0,4683.0,AVG,2019,,,,,,,,
Goriška,559.0,325.0,293.0,273.0,493.0,226.0,626.0,2795.0,AVG,2019,,,,,,,,
Obalno-kraška,703.0,399.0,369.0,335.0,638.0,280.0,869.0,3593.0,AVG,2019,,,,,,,,
Osrednjeslovenska,2785.0,1969.0,1754.0,1464.0,3429.0,1544.0,5157.0,18102.0,AVG,2019,,,,,,,,
,,,,,,,,,AVG,2019,,,,,,,,
Občina izven RS,153.0,107.0,50.0,43.0,53.0,15.0,21.0,442.0,AVG,2019,,,,,,,,
Slovenija,12013.0,7477.0,7308.0,5116.0,13493.0,5730.0,18697.0,69834.0,SEP,2019,,,,,,,,
,,,,,,,,,SEP,2019,,,,,,,,
Vzhodna Slovenija,6843.0,4159.0,4190.0,2965.0,7856.0,3403.0,11400.0,40816.0,SEP,2019,,,,,,,,
Jugovzhodna Slovenija,790.0,472.0,486.0,300.0,894.0,358.0,1687.0,4987.0,SEP,2019,,,,,,,,
Koroška,394.0,282.0,213.0,159.0,384.0,146.0,592.0,2170.0,SEP,2019,,,,,,,,
Podravska,2064.0,1254.0,1263.0,950.0,2541.0,1149.0,2568.0,11789.0,SEP,2019,,,,,,,,
Pomurska,883.0,426.0,520.0,377.0,880.0,450.0,1968.0,5504.0,SEP,2019,,,,,,,,
Posavska,424.0,274.0,255.0,211.0,536.0,220.0,1091.0,3011.0,SEP,2019,,,,,,,,
Primorsko-notranjska,284.0,151.0,146.0,99.0,293.0,103.0,375.0,1451.0,SEP,2019,,,,,,,,
Savinjska,1628.0,1077.0,1057.0,706.0,1891.0,798.0,2605.0,9762.0,SEP,2019,,,,,,,,
Zasavska,376.0,223.0,250.0,163.0,437.0,179.0,514.0,2142.0,SEP,2019,,,,,,,,
,,,,,,,,,SEP,2019,,,,,,,,
Zahodna Slovenija,4993.0,3220.0,3057.0,2117.0,5584.0,2307.0,7278.0,28556.0,SEP,2019,,,,,,,,
Gorenjska,1019.0,661.0,589.0,409.0,923.0,281.0,689.0,4571.0,SEP,2019,,,,,,,,
Goriška,526.0,319.0,305.0,206.0,523.0,209.0,609.0,2697.0,SEP,2019,,,,,,,,
Obalno-kraška,674.0,394.0,398.0,265.0,661.0,272.0,866.0,3530.0,SEP,2019,,,,,,,,
Osrednjeslovenska,2774.0,1846.0,1765.0,1237.0,3477.0,1545.0,5114.0,17758.0,SEP,2019,,,,,,,,
,,,,,,,,,SEP,2019,,,,,,,,
Občina izven RS,177.0,98.0,61.0,34.0,53.0,20.0,19.0,462.0,SEP,2019,,,,,,,,
Slovenija,16012.0,7556.0,5147.0,6116.0,13199.0,5868.0,18518.0,72416.0,OKT,2019,,,,,,,,
,,,,,,,,,OKT,2019,,,,,,,,
Vzhodna Slovenija,9182.0,4346.0,2792.0,3647.0,7654.0,3479.0,11319.0,42419.0,OKT,2019,,,,,,,,
Jugovzhodna Slovenija,954.0,483.0,329.0,399.0,875.0,358.0,1675.0,5073.0,OKT,2019,,,,,,,,
Koroška,624.0,258.0,161.0,180.0,378.0,160.0,585.0,2346.0,OKT,2019,,,,,,,,
Podravska,2875.0,1313.0,850.0,1104.0,2464.0,1178.0,2574.0,12358.0,OKT,2019,,,,,,,,
Pomurska,1162.0,531.0,296.0,498.0,870.0,459.0,1931.0,5747.0,OKT,2019,,,,,,,,
Posavska,533.0,281.0,169.0,240.0,509.0,228.0,1099.0,3059.0,OKT,2019,,,,,,,,
Primorsko-notranjska,390.0,151.0,96.0,123.0,288.0,104.0,364.0,1516.0,OKT,2019,,,,,,,,
Savinjska,2183.0,1083.0,728.0,890.0,1843.0,814.0,2580.0,10121.0,OKT,2019,,,,,,,,
Zasavska,461.0,246.0,163.0,213.0,427.0,178.0,511.0,2199.0,OKT,2019,,,,,,,,
,,,,,,,,,OKT,2019,,,,,,,,
Zahodna Slovenija,6583.0,3129.0,2289.0,2436.0,5489.0,2371.0,7179.0,29476.0,OKT,2019,,,,,,,,
Gorenjska,1470.0,589.0,463.0,486.0,899.0,302.0,659.0,4868.0,OKT,2019,,,,,,,,
Goriška,692.0,318.0,184.0,246.0,529.0,201.0,614.0,2784.0,OKT,2019,,,,,,,,
Obalno-kraška,865.0,430.0,283.0,302.0,663.0,279.0,821.0,3643.0,OKT,2019,,,,,,,,
Osrednjeslovenska,3556.0,1792.0,1359.0,1402.0,3398.0,1589.0,5085.0,18181.0,OKT,2019,,,,,,,,
,,,,,,,,,OKT,2019,,,,,,,,
Občina izven RS,247.0,81.0,66.0,33.0,56.0,18.0,20.0,521.0,OKT,2019,,,,,,,,
Slovenija,17142.0,7206.0,5198.0,5637.0,12970.0,5960.0,18282.0,72395.0,NOV,2019,,,,,,,,
,,,,,,,,,NOV,2019,,,,,,,,
Vzhodna Slovenija,9878.0,4162.0,2837.0,3369.0,7547.0,3525.0,11228.0,42546.0,NOV,2019,,,,,,,,
Jugovzhodna Slovenija,961.0,513.0,308.0,374.0,867.0,364.0,1641.0,5028.0,NOV,2019,,,,,,,,
Koroška,669.0,223.0,186.0,166.0,380.0,161.0,581.0,2366.0,NOV,2019,,,,,,,,
Podravska,3092.0,1259.0,887.0,1015.0,2388.0,1195.0,2566.0,12402.0,NOV,2019,,,,,,,,
Pomurska,1301.0,521.0,302.0,441.0,875.0,468.0,1903.0,5811.0,NOV,2019,,,,,,,,
Posavska,629.0,263.0,163.0,212.0,516.0,227.0,1091.0,3101.0,NOV,2019,,,,,,,,
Primorsko-notranjska,427.0,145.0,98.0,104.0,274.0,99.0,366.0,1513.0,NOV,2019,,,,,,,,
Savinjska,2318.0,1001.0,738.0,855.0,1821.0,834.0,2569.0,10136.0,NOV,2019,,,,,,,,
Zasavska,481.0,237.0,155.0,202.0,426.0,177.0,511.0,2189.0,NOV,2019,,,,,,,,
,,,,,,,,,NOV,2019,,,,,,,,
Zahodna Slovenija,7000.0,2970.0,2303.0,2236.0,5365.0,2420.0,7033.0,29327.0,NOV,2019,,,,,,,,
Gorenjska,1551.0,578.0,465.0,430.0,900.0,301.0,593.0,4818.0,NOV,2019,,,,,,,,
Goriška,742.0,299.0,201.0,210.0,511.0,217.0,610.0,2790.0,NOV,2019,,,,,,,,
Obalno-kraška,1025.0,432.0,270.0,290.0,663.0,286.0,807.0,3773.0,NOV,2019,,,,,,,,
Osrednjeslovenska,3682.0,1661.0,1367.0,1306.0,3291.0,1616.0,5023.0,17946.0,NOV,2019,,,,,,,,
,,,,,,,,,NOV,2019,,,,,,,,
Občina izven RS,264.0,74.0,58.0,32.0,58.0,15.0,21.0,522.0,NOV,2019,,,,,,,,
Slovenija,18416.0,9122.0,5250.0,5689.0,12915.0,5890.0,18010.0,75292.0,DEC,2019,,,,,,,,
,,,,,,,,,DEC,2019,,,,,,,,
Vzhodna Slovenija,10678.0,5355.0,2954.0,3329.0,7553.0,3472.0,11102.0,44443.0,DEC,2019,,,,,,,,
Jugovzhodna Slovenija,990.0,605.0,342.0,397.0,847.0,364.0,1599.0,5144.0,DEC,2019,,,,,,,,
Koroška,603.0,338.0,197.0,157.0,386.0,162.0,583.0,2426.0,DEC,2019,,,,,,,,
Podravska,3339.0,1572.0,892.0,986.0,2414.0,1156.0,2560.0,12919.0,DEC,2019,,,,,,,,
Pomurska,1665.0,649.0,311.0,426.0,867.0,464.0,1867.0,6249.0,DEC,2019,,,,,,,,
Posavska,713.0,320.0,199.0,205.0,525.0,220.0,1083.0,3265.0,DEC,2019,,,,,,,,
Primorsko-notranjska,394.0,223.0,102.0,108.0,262.0,100.0,363.0,1552.0,DEC,2019,,,,,,,,
Savinjska,2515.0,1335.0,748.0,847.0,1825.0,824.0,2539.0,10633.0,DEC,2019,,,,,,,,
Zasavska,459.0,313.0,163.0,203.0,427.0,182.0,508.0,2255.0,DEC,2019,,,,,,,,
,,,,,,,,,DEC,2019,,,,,,,,
Zahodna Slovenija,7273.0,3655.0,2243.0,2323.0,5305.0,2404.0,6888.0,30091.0,DEC,2019,,,,,,,,
Gorenjska,1814.0,741.0,431.0,438.0,901.0,298.0,543.0,5166.0,DEC,2019,,,,,,,,
Goriška,736.0,376.0,203.0,226.0,490.0,218.0,600.0,2849.0,DEC,2019,,,,,,,,
Obalno-kraška,1084.0,491.0,299.0,316.0,637.0,287.0,805.0,3919.0,DEC,2019,,,,,,,,
Osrednjeslovenska,3639.0,2047.0,1310.0,1343.0,3277.0,1601.0,4940.0,18157.0,DEC,2019,,,,,,,,
,,,,,,,,,DEC,2019,,,,,,,,
Občina izven RS,465.0,112.0,53.0,37.0,57.0,14.0,20.0,758.0,DEC,2019,,,,,,,,
Slovenija,21599.0,10892.0,5535.0,3971.0,13614.0,6007.0,18223.0,79841.0,JAN,2020,,,,,,,,
,,,,,,,,,JAN,2020,,,,,,,,
Vzhodna Slovenija,12803.0,6346.0,3225.0,2214.0,7995.0,3583.0,11298.0,47464.0,JAN,2020,,,,,,,,
Jugovzhodna Slovenija,1236.0,623.0,368.0,275.0,879.0,392.0,1620.0,5393.0,JAN,2020,,,,,,,,
Koroška,744.0,433.0,188.0,123.0,414.0,146.0,598.0,2646.0,JAN,2020,,,,,,,,
Podravska,3945.0,1955.0,993.0,641.0,2497.0,1210.0,2619.0,13860.0,JAN,2020,,,,,,,,
Pomurska,1994.0,803.0,397.0,233.0,970.0,485.0,1890.0,6772.0,JAN,2020,,,,,,,,
Posavska,867.0,366.0,204.0,137.0,566.0,222.0,1092.0,3454.0,JAN,2020,,,,,,,,
Primorsko-notranjska,442.0,275.0,104.0,77.0,278.0,87.0,379.0,1642.0,JAN,2020,,,,,,,,
Savinjska,2992.0,1560.0,777.0,590.0,1928.0,853.0,2587.0,11287.0,JAN,2020,,,,,,,,
Zasavska,583.0,331.0,194.0,138.0,463.0,188.0,513.0,2410.0,JAN,2020,,,,,,,,
,,,,,,,,,JAN,2020,,,,,,,,
Zahodna Slovenija,8180.0,4418.0,2261.0,1715.0,5557.0,2408.0,6905.0,31444.0,JAN,2020,,,,,,,,
Gorenjska,1991.0,916.0,400.0,336.0,963.0,303.0,547.0,5456.0,JAN,2020,,,,,,,,
Goriška,852.0,442.0,218.0,137.0,538.0,222.0,606.0,3015.0,JAN,2020,,,,,,,,
Obalno-kraška,1378.0,612.0,312.0,233.0,696.0,289.0,811.0,4331.0,JAN,2020,,,,,,,,
Osrednjeslovenska,3959.0,2448.0,1331.0,1009.0,3360.0,1594.0,4941.0,18642.0,JAN,2020,,,,,,,,
,,,,,,,,,JAN,2020,,,,,,,,
Občina izven RS,616.0,128.0,49.0,42.0,62.0,16.0,20.0,933.0,JAN,2020,,,,,,,,
Slovenija,19034.0,11720.0,5343.0,4058.0,13344.0,5941.0,18044.0,77484.0,FEB,2020,,,,,,,,
,,,,,,,,,FEB,2020,,,,,,,,
Vzhodna Slovenija,11177.0,6872.0,3127.0,2260.0,7836.0,3543.0,11184.0,45999.0,FEB,2020,,,,,,,,
Jugovzhodna Slovenija,1107.0,648.0,384.0,260.0,877.0,375.0,1614.0,5265.0,FEB,2020,,,,,,,,
Koroška,645.0,479.0,165.0,145.0,417.0,140.0,591.0,2582.0,FEB,2020,,,,,,,,
Podravska,3442.0,2124.0,935.0,687.0,2426.0,1184.0,2614.0,13412.0,FEB,2020,,,,,,,,
Pomurska,1612.0,899.0,399.0,239.0,952.0,483.0,1838.0,6422.0,FEB,2020,,,,,,,,
Posavska,695.0,443.0,198.0,127.0,546.0,233.0,1080.0,3322.0,FEB,2020,,,,,,,,
Primorsko-notranjska,408.0,283.0,104.0,76.0,271.0,93.0,374.0,1609.0,FEB,2020,,,,,,,,
Savinjska,2771.0,1653.0,752.0,593.0,1888.0,852.0,2557.0,11066.0,FEB,2020,,,,,,,,
Zasavska,497.0,343.0,190.0,133.0,459.0,183.0,516.0,2321.0,FEB,2020,,,,,,,,
,,,,,,,,,FEB,2020,,,,,,,,
Zahodna Slovenija,7311.0,4701.0,2169.0,1754.0,5444.0,2382.0,6839.0,30600.0,FEB,2020,,,,,,,,
Gorenjska,1754.0,957.0,413.0,327.0,944.0,311.0,535.0,5241.0,FEB,2020,,,,,,,,
Goriška,751.0,462.0,214.0,143.0,511.0,214.0,601.0,2896.0,FEB,2020,,,,,,,,
Obalno-kraška,1150.0,733.0,317.0,214.0,702.0,279.0,807.0,4202.0,FEB,2020,,,,,,,,
Osrednjeslovenska,3656.0,2549.0,1225.0,1070.0,3287.0,1578.0,4896.0,18261.0,FEB,2020,,,,,,,,
,,,,,,,,,FEB,2020,,,,,,,,
Občina izven RS,546.0,147.0,47.0,44.0,64.0,16.0,21.0,885.0,FEB,2020,,,,,,,,
Slovenija,18937.0,11468.0,6537.0,4134.0,13071.0,5855.0,17853.0,77855.0,MAR,2020,,,,,,,,
,,,,,,,,,MAR,2020,,,,,,,,
Vzhodna Slovenija,10887.0,6574.0,3876.0,2363.0,7626.0,3437.0,11071.0,45834.0,MAR,2020,,,,,,,,
Jugovzhodna Slovenija,1034.0,633.0,425.0,291.0,851.0,367.0,1602.0,5203.0,MAR,2020,,,,,,,,
Koroška,791.0,392.0,237.0,160.0,391.0,149.0,579.0,2699.0,MAR,2020,,,,,,,,
Podravska,3523.0,2096.0,1122.0,704.0,2399.0,1142.0,2586.0,13572.0,MAR,2020,,,,,,,,
Pomurska,1348.0,876.0,499.0,245.0,898.0,462.0,1813.0,6141.0,MAR,2020,,,,,,,,
Posavska,661.0,435.0,233.0,147.0,524.0,233.0,1082.0,3315.0,MAR,2020,,,,,,,,
Primorsko-notranjska,421.0,243.0,147.0,82.0,259.0,91.0,368.0,1611.0,MAR,2020,,,,,,,,
Savinjska,2585.0,1601.0,970.0,604.0,1858.0,816.0,2528.0,10962.0,MAR,2020,,,,,,,,
Zasavska,524.0,298.0,243.0,130.0,446.0,177.0,513.0,2331.0,MAR,2020,,,,,,,,
,,,,,,,,,MAR,2020,,,,,,,,
Zahodna Slovenija,7592.0,4693.0,2599.0,1733.0,5382.0,2402.0,6764.0,31165.0,MAR,2020,,,,,,,,
Gorenjska,1763.0,1061.0,503.0,309.0,932.0,302.0,532.0,5402.0,MAR,2020,,,,,,,,
Goriška,806.0,467.0,254.0,154.0,495.0,221.0,583.0,2980.0,MAR,2020,,,,,,,,
Obalno-kraška,1166.0,756.0,350.0,238.0,698.0,277.0,798.0,4283.0,MAR,2020,,,,,,,,
Osrednjeslovenska,3857.0,2409.0,1492.0,1032.0,3257.0,1602.0,4851.0,18500.0,MAR,2020,,,,,,,,
,,,,,,,,,MAR,2020,,,,,,,,
Občina izven RS,458.0,201.0,62.0,38.0,63.0,16.0,18.0,856.0,MAR,2020,,,,,,,,
Slovenija,24767.0,13800.0,8416.0,4574.0,13141.0,6036.0,17914.0,88648.0,APR,2020,,,,,,,,
,,,,,,,,,APR,2020,,,,,,,,
Vzhodna Slovenija,13642.0,7946.0,4917.0,2665.0,7642.0,3537.0,11102.0,51451.0,APR,2020,,,,,,,,
Jugovzhodna Slovenija,1261.0,794.0,469.0,316.0,878.0,372.0,1616.0,5706.0,APR,2020,,,,,,,,
Koroška,986.0,472.0,328.0,148.0,403.0,150.0,574.0,3061.0,APR,2020,,,,,,,,
Podravska,4702.0,2492.0,1529.0,808.0,2387.0,1196.0,2603.0,15717.0,APR,2020,,,,,,,,
Pomurska,1567.0,998.0,633.0,334.0,888.0,467.0,1805.0,6692.0,APR,2020,,,,,,,,
Posavska,751.0,568.0,284.0,161.0,503.0,241.0,1081.0,3589.0,APR,2020,,,,,,,,
Primorsko-notranjska,529.0,297.0,195.0,84.0,253.0,95.0,368.0,1821.0,APR,2020,,,,,,,,
Savinjska,3279.0,1939.0,1209.0,651.0,1877.0,839.0,2531.0,12325.0,APR,2020,,,,,,,,
Zasavska,567.0,386.0,270.0,163.0,453.0,177.0,524.0,2540.0,APR,2020,,,,,,,,
,,,,,,,,,APR,2020,,,,,,,,
Zahodna Slovenija,10552.0,5552.0,3415.0,1870.0,5424.0,2485.0,6792.0,36090.0,APR,2020,,,,,,,,
Gorenjska,2505.0,1240.0,695.0,330.0,959.0,317.0,532.0,6578.0,APR,2020,,,,,,,,
Goriška,1065.0,579.0,334.0,174.0,500.0,208.0,590.0,3450.0,APR,2020,,,,,,,,
Obalno-kraška,1669.0,1001.0,473.0,263.0,701.0,278.0,798.0,5183.0,APR,2020,,,,,,,,
Osrednjeslovenska,5313.0,2732.0,1913.0,1103.0,3264.0,1682.0,4872.0,20879.0,APR,2020,,,,,,,,
,,,,,,,,,APR,2020,,,,,,,,
Občina izven RS,573.0,302.0,84.0,39.0,75.0,14.0,20.0,1107.0,APR,2020,,,,,,,,
Slovenija,25178.0,13412.0,9571.0,4628.0,13297.0,6310.0,18019.0,90415.0,MAJ,2020,,,,,,,,
,,,,,,,,,MAJ,2020,,,,,,,,
Vzhodna Slovenija,13493.0,7656.0,5540.0,2699.0,7682.0,3699.0,11158.0,51927.0,MAJ,2020,,,,,,,,
Jugovzhodna Slovenija,1303.0,804.0,506.0,337.0,867.0,415.0,1621.0,5853.0,MAJ,2020,,,,,,,,
Koroška,948.0,451.0,382.0,131.0,411.0,156.0,562.0,3041.0,MAJ,2020,,,,,,,,
Podravska,4591.0,2384.0,1739.0,807.0,2412.0,1235.0,2644.0,15812.0,MAJ,2020,,,,,,,,
Pomurska,1411.0,909.0,701.0,349.0,885.0,470.0,1807.0,6532.0,MAJ,2020,,,,,,,,
Posavska,777.0,505.0,363.0,164.0,498.0,260.0,1080.0,3647.0,MAJ,2020,,,,,,,,
Primorsko-notranjska,559.0,313.0,217.0,88.0,258.0,99.0,373.0,1907.0,MAJ,2020,,,,,,,,
Savinjska,3325.0,1909.0,1347.0,651.0,1904.0,870.0,2545.0,12551.0,MAJ,2020,,,,,,,,
Zasavska,579.0,381.0,285.0,172.0,447.0,194.0,526.0,2584.0,MAJ,2020,,,,,,,,
,,,,,,,,,MAJ,2020,,,,,,,,
Zahodna Slovenija,11072.0,5490.0,3933.0,1891.0,5533.0,2597.0,6841.0,37357.0,MAJ,2020,,,,,,,,
Gorenjska,2684.0,1215.0,802.0,374.0,978.0,336.0,538.0,6927.0,MAJ,2020,,,,,,,,
Goriška,1114.0,591.0,367.0,185.0,513.0,214.0,597.0,3581.0,MAJ,2020,,,,,,,,
Obalno-kraška,1788.0,917.0,617.0,273.0,702.0,295.0,808.0,5400.0,MAJ,2020,,,,,,,,
Osrednjeslovenska,5486.0,2767.0,2147.0,1059.0,3340.0,1752.0,4898.0,21449.0,MAJ,2020,,,,,,,,
,,,,,,,,,MAJ,2020,,,,,,,,
Občina izven RS,613.0,266.0,98.0,38.0,82.0,14.0,20.0,1131.0,MAJ,2020,,,,,,,,
Slovenija,20253.0,16385.0,9151.0,5745.0,13486.0,6355.0,18002.0,89377.0,JUN,2020,,,,,,,,
,,,,,,,,,JUN,2020,,,,,,,,
Vzhodna Slovenija,10828.0,9207.0,5205.0,3389.0,7771.0,3714.0,11128.0,51242.0,JUN,2020,,,,,,,,
Jugovzhodna Slovenija,1305.0,911.0,509.0,373.0,888.0,414.0,1615.0,6015.0,JUN,2020,,,,,,,,
Koroška,789.0,605.0,298.0,198.0,411.0,164.0,553.0,3018.0,JUN,2020,,,,,,,,
Podravska,3241.0,3033.0,1702.0,982.0,2406.0,1234.0,2632.0,15230.0,JUN,2020,,,,,,,,
Pomurska,1011.0,985.0,627.0,433.0,888.0,464.0,1803.0,6211.0,JUN,2020,,,,,,,,
Posavska,733.0,563.0,364.0,206.0,506.0,273.0,1079.0,3724.0,JUN,2020,,,,,,,,
Primorsko-notranjska,445.0,395.0,196.0,125.0,266.0,95.0,378.0,1900.0,JUN,2020,,,,,,,,
Savinjska,2764.0,2288.0,1258.0,853.0,1950.0,870.0,2536.0,12519.0,JUN,2020,,,,,,,,
Zasavska,540.0,427.0,251.0,219.0,456.0,200.0,532.0,2625.0,JUN,2020,,,,,,,,
,,,,,,,,,JUN,2020,,,,,,,,
Zahodna Slovenija,8954.0,6932.0,3834.0,2309.0,5631.0,2630.0,6854.0,37144.0,JUN,2020,,,,,,,,
Gorenjska,2125.0,1548.0,841.0,449.0,1004.0,340.0,534.0,6841.0,JUN,2020,,,,,,,,
Goriška,973.0,701.0,375.0,217.0,531.0,211.0,606.0,3614.0,JUN,2020,,,,,,,,
Obalno-kraška,1344.0,1049.0,598.0,320.0,730.0,303.0,799.0,5143.0,JUN,2020,,,,,,,,
Osrednjeslovenska,4512.0,3634.0,2020.0,1323.0,3366.0,1776.0,4915.0,21546.0,JUN,2020,,,,,,,,
,,,,,,,,,JUN,2020,,,,,,,,
