Kohezijska / statistična regija,Do 2 meseca,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,"12 do 23
 mesecev","24 do 35
 mesecev",36 mesecev ali več,Skupaj,month,year,"Kohezijska /
statistična regija","do 2
mes.","3-5
mes.","6-8
mes.","9-11
mes.","12-23
mes.","24-35
mes.","36 mes.
ali več"
Goriška,522.0,431.0,312.0,249.0,581.0,217.0,698.0,3010.0,JUN,2018,,,,,,,,
Obalno-kraška,661.0,524.0,416.0,284.0,650.0,272.0,922.0,3729.0,JUN,2018,,,,,,,,
Osrednjeslovenska,2734.0,2318.0,1972.0,1335.0,3250.0,1566.0,5808.0,18983.0,JUN,2018,,,,,,,,
,,,,,,,,,JUN,2018,,,,,,,,
Občina izven RS,124.0,74.0,45.0,37.0,58.0,15.0,22.0,375.0,JUN,2018,,,,,,,,
Slovenija,13674.0,7938.0,8382.0,6167.0,13234.0,5969.0,20687.0,76051.0,JUL,2018,,,,,,,,
,,,,,,,,,JUL,2018,,,,,,,,
Vzhodna Slovenija,7964.0,4453.0,4887.0,3605.0,7726.0,3567.0,12459.0,44661.0,JUL,2018,,,,,,,,
Jugovzhodna Slovenija,880.0,445.0,572.0,396.0,840.0,399.0,1970.0,5502.0,JUL,2018,,,,,,,,
Koroška,464.0,266.0,224.0,187.0,319.0,191.0,591.0,2242.0,JUL,2018,,,,,,,,
Podravska,2499.0,1414.0,1559.0,1153.0,2567.0,1107.0,2728.0,13027.0,JUL,2018,,,,,,,,
Pomurska,815.0,487.0,636.0,426.0,925.0,480.0,2155.0,5924.0,JUL,2018,,,,,,,,
Posavska,549.0,270.0,261.0,239.0,486.0,259.0,1139.0,3203.0,JUL,2018,,,,,,,,
Primorsko-notranjska,294.0,198.0,198.0,129.0,292.0,113.0,440.0,1664.0,JUL,2018,,,,,,,,
Savinjska,1966.0,1140.0,1167.0,894.0,1886.0,824.0,2834.0,10711.0,JUL,2018,,,,,,,,
Zasavska,497.0,233.0,270.0,181.0,411.0,194.0,602.0,2388.0,JUL,2018,,,,,,,,
,,,,,,,,,JUL,2018,,,,,,,,
Zahodna Slovenija,5587.0,3418.0,3448.0,2524.0,5452.0,2386.0,8206.0,31021.0,JUL,2018,,,,,,,,
Gorenjska,1127.0,665.0,644.0,430.0,863.0,329.0,876.0,4934.0,JUL,2018,,,,,,,,
Goriška,636.0,338.0,359.0,249.0,595.0,216.0,696.0,3089.0,JUL,2018,,,,,,,,
Obalno-kraška,744.0,454.0,429.0,307.0,671.0,261.0,925.0,3791.0,JUL,2018,,,,,,,,
Osrednjeslovenska,3080.0,1961.0,2016.0,1538.0,3323.0,1580.0,5709.0,19207.0,JUL,2018,,,,,,,,
,,,,,,,,,JUL,2018,,,,,,,,
Občina izven RS,123.0,67.0,47.0,38.0,56.0,16.0,22.0,369.0,JUL,2018,,,,,,,,
