Urad za delo,1+2 - OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
OS Celje,2906.0,2745.0,2378.0,1449.0,9478.0,JAN,2018,,,,
UD Celje,934.0,907.0,864.0,596.0,3301.0,JAN,2018,,,,
UD Laško,196.0,210.0,208.0,89.0,703.0,JAN,2018,,,,
UD Slovenske Konjice,433.0,423.0,280.0,179.0,1315.0,JAN,2018,,,,
UD Šentjur,237.0,265.0,223.0,122.0,847.0,JAN,2018,,,,
UD Šmarje pri Jelšah,515.0,463.0,329.0,175.0,1482.0,JAN,2018,,,,
UD Žalec,591.0,477.0,474.0,288.0,1830.0,JAN,2018,,,,
OS Koper,1885.0,1599.0,1515.0,914.0,5913.0,JAN,2018,,,,
UD Ilirska Bistrica,146.0,141.0,103.0,68.0,458.0,JAN,2018,,,,
UD Izola,220.0,176.0,145.0,80.0,621.0,JAN,2018,,,,
UD Koper,684.0,548.0,605.0,346.0,2183.0,JAN,2018,,,,
UD Piran,272.0,239.0,248.0,157.0,916.0,JAN,2018,,,,
UD Postojna,298.0,248.0,213.0,119.0,878.0,JAN,2018,,,,
UD Sežana,265.0,247.0,201.0,144.0,857.0,JAN,2018,,,,
OS Kranj,1891.0,1426.0,1476.0,962.0,5755.0,JAN,2018,,,,
UD Jesenice,261.0,270.0,188.0,94.0,813.0,JAN,2018,,,,
UD Kranj,959.0,532.0,675.0,483.0,2649.0,JAN,2018,,,,
UD Radovljica,202.0,250.0,277.0,176.0,905.0,JAN,2018,,,,
UD Škofja Loka,262.0,233.0,237.0,160.0,892.0,JAN,2018,,,,
UD Tržič,207.0,141.0,99.0,49.0,496.0,JAN,2018,,,,
OS Ljubljana,7094.0,5891.0,6668.0,5194.0,24847.0,JAN,2018,,,,
UD Cerknica,152.0,216.0,182.0,102.0,652.0,JAN,2018,,,,
UD Domžale,494.0,436.0,465.0,346.0,1741.0,JAN,2018,,,,
UD Grosuplje,494.0,358.0,313.0,207.0,1372.0,JAN,2018,,,,
UD Kamnik,320.0,272.0,299.0,172.0,1063.0,JAN,2018,,,,
UD Kočevje,604.0,421.0,204.0,79.0,1308.0,JAN,2018,,,,
UD Ljubljana,4497.0,3663.0,4758.0,3990.0,16908.0,JAN,2018,,,,
UD Logatec,134.0,115.0,104.0,70.0,423.0,JAN,2018,,,,
UD Ribnica,141.0,133.0,99.0,57.0,430.0,JAN,2018,,,,
UD Vrhnika,258.0,277.0,244.0,171.0,950.0,JAN,2018,,,,
OS Maribor,3371.0,3279.0,3234.0,2105.0,11989.0,JAN,2018,,,,
UD Lenart,154.0,199.0,128.0,74.0,555.0,JAN,2018,,,,
UD Maribor,2419.0,2249.0,2367.0,1594.0,8629.0,JAN,2018,,,,
UD Pesnica,259.0,261.0,201.0,102.0,823.0,JAN,2018,,,,
UD Ruše,143.0,216.0,178.0,105.0,642.0,JAN,2018,,,,
UD Slovenska Bistrica,396.0,354.0,360.0,230.0,1340.0,JAN,2018,,,,
OS Murska Sobota,2908.0,2249.0,1484.0,884.0,7525.0,JAN,2018,,,,
UD Gornja Radgona,376.0,390.0,275.0,131.0,1172.0,JAN,2018,,,,
UD Lendava,681.0,493.0,302.0,155.0,1631.0,JAN,2018,,,,
UD Ljutomer,282.0,321.0,214.0,127.0,944.0,JAN,2018,,,,
UD Murska Sobota,1569.0,1045.0,693.0,471.0,3778.0,JAN,2018,,,,
OS Nova Gorica,1130.0,822.0,864.0,659.0,3475.0,JAN,2018,,,,
UD Ajdovščina,259.0,222.0,224.0,160.0,865.0,JAN,2018,,,,
UD Idrija,88.0,78.0,83.0,60.0,309.0,JAN,2018,,,,
UD Nova Gorica,645.0,389.0,444.0,369.0,1847.0,JAN,2018,,,,
UD Tolmin,138.0,133.0,113.0,70.0,454.0,JAN,2018,,,,
OS Novo mesto,1937.0,957.0,771.0,524.0,4189.0,JAN,2018,,,,
UD Črnomelj,522.0,256.0,177.0,82.0,1037.0,JAN,2018,,,,
UD Metlika,221.0,121.0,79.0,43.0,464.0,JAN,2018,,,,
UD Novo mesto,910.0,434.0,389.0,319.0,2052.0,JAN,2018,,,,
UD Trebnje,284.0,146.0,126.0,80.0,636.0,JAN,2018,,,,
OS Ptuj,818.0,1066.0,927.0,430.0,3241.0,JAN,2018,,,,
UD Ormož,204.0,321.0,211.0,79.0,815.0,JAN,2018,,,,
UD Ptuj,614.0,745.0,716.0,351.0,2426.0,JAN,2018,,,,
OS Sevnica,1303.0,1072.0,711.0,413.0,3499.0,JAN,2018,,,,
UD Brežice,336.0,382.0,287.0,157.0,1162.0,JAN,2018,,,,
UD Krško,752.0,441.0,300.0,161.0,1654.0,JAN,2018,,,,
UD Sevnica,215.0,249.0,124.0,95.0,683.0,JAN,2018,,,,
OS Trbovlje,901.0,765.0,649.0,375.0,2690.0,JAN,2018,,,,
UD Hrastnik,175.0,144.0,86.0,57.0,462.0,JAN,2018,,,,
UD Litija,226.0,167.0,123.0,86.0,602.0,JAN,2018,,,,
UD Trbovlje,301.0,290.0,263.0,138.0,992.0,JAN,2018,,,,
UD Zagorje,199.0,164.0,177.0,94.0,634.0,JAN,2018,,,,
OS Velenje,1522.0,1562.0,1405.0,829.0,5318.0,JAN,2018,,,,
UD Dravograd,86.0,110.0,91.0,50.0,337.0,JAN,2018,,,,
UD Mozirje,144.0,176.0,211.0,105.0,636.0,JAN,2018,,,,
UD Radlje ob Dravi,168.0,245.0,159.0,95.0,667.0,JAN,2018,,,,
UD Ravne na Koroškem,231.0,295.0,224.0,135.0,885.0,JAN,2018,,,,
UD Slovenj Gradec,182.0,204.0,179.0,123.0,688.0,JAN,2018,,,,
UD Velenje,711.0,532.0,541.0,321.0,2105.0,JAN,2018,,,,
,,,,,,JAN,2018,,,,
,,,,,87919.0,JAN,2018,,,,
OS Celje,2814.0,2687.0,2304.0,1393.0,9198.0,FEB,2018,,,,
UD Celje,880.0,889.0,841.0,570.0,3180.0,FEB,2018,,,,
UD Laško,193.0,204.0,205.0,86.0,688.0,FEB,2018,,,,
UD Slovenske Konjice,425.0,413.0,263.0,178.0,1279.0,FEB,2018,,,,
UD Šentjur,236.0,266.0,217.0,113.0,832.0,FEB,2018,,,,
UD Šmarje pri Jelšah,505.0,451.0,318.0,166.0,1440.0,FEB,2018,,,,
UD Žalec,575.0,464.0,460.0,280.0,1779.0,FEB,2018,,,,
OS Koper,1791.0,1550.0,1471.0,879.0,5691.0,FEB,2018,,,,
UD Ilirska Bistrica,142.0,143.0,99.0,66.0,450.0,FEB,2018,,,,
UD Izola,212.0,168.0,141.0,73.0,594.0,FEB,2018,,,,
UD Koper,666.0,539.0,591.0,332.0,2128.0,FEB,2018,,,,
UD Piran,260.0,233.0,236.0,155.0,884.0,FEB,2018,,,,
UD Postojna,279.0,229.0,204.0,115.0,827.0,FEB,2018,,,,
UD Sežana,232.0,238.0,200.0,138.0,808.0,FEB,2018,,,,
OS Kranj,1854.0,1385.0,1436.0,938.0,5613.0,FEB,2018,,,,
UD Jesenice,252.0,261.0,181.0,93.0,787.0,FEB,2018,,,,
UD Kranj,942.0,516.0,673.0,481.0,2612.0,FEB,2018,,,,
UD Radovljica,213.0,243.0,273.0,164.0,893.0,FEB,2018,,,,
UD Škofja Loka,249.0,227.0,213.0,152.0,841.0,FEB,2018,,,,
UD Tržič,198.0,138.0,96.0,48.0,480.0,FEB,2018,,,,
OS Ljubljana,6971.0,5744.0,6545.0,5112.0,24372.0,FEB,2018,,,,
UD Cerknica,138.0,214.0,179.0,94.0,625.0,FEB,2018,,,,
UD Domžale,479.0,425.0,462.0,332.0,1698.0,FEB,2018,,,,
UD Grosuplje,485.0,369.0,303.0,209.0,1366.0,FEB,2018,,,,
UD Kamnik,327.0,269.0,302.0,164.0,1062.0,FEB,2018,,,,
UD Kočevje,594.0,407.0,200.0,75.0,1276.0,FEB,2018,,,,
UD Ljubljana,4416.0,3553.0,4659.0,3945.0,16573.0,FEB,2018,,,,
UD Logatec,133.0,113.0,99.0,65.0,410.0,FEB,2018,,,,
UD Ribnica,140.0,127.0,96.0,58.0,421.0,FEB,2018,,,,
UD Vrhnika,259.0,267.0,245.0,170.0,941.0,FEB,2018,,,,
OS Maribor,3303.0,3206.0,3148.0,2053.0,11710.0,FEB,2018,,,,
UD Lenart,148.0,192.0,125.0,73.0,538.0,FEB,2018,,,,
UD Maribor,2389.0,2220.0,2315.0,1554.0,8478.0,FEB,2018,,,,
UD Pesnica,244.0,240.0,184.0,103.0,771.0,FEB,2018,,,,
UD Ruše,141.0,210.0,183.0,101.0,635.0,FEB,2018,,,,
UD Slovenska Bistrica,381.0,344.0,341.0,222.0,1288.0,FEB,2018,,,,
OS Murska Sobota,2837.0,2159.0,1457.0,838.0,7291.0,FEB,2018,,,,
UD Gornja Radgona,365.0,371.0,262.0,127.0,1125.0,FEB,2018,,,,
UD Lendava,665.0,491.0,295.0,148.0,1599.0,FEB,2018,,,,
UD Ljutomer,281.0,301.0,219.0,123.0,924.0,FEB,2018,,,,
UD Murska Sobota,1526.0,996.0,681.0,440.0,3643.0,FEB,2018,,,,
OS Nova Gorica,1069.0,828.0,809.0,626.0,3332.0,FEB,2018,,,,
UD Ajdovščina,248.0,230.0,200.0,145.0,823.0,FEB,2018,,,,
UD Idrija,76.0,76.0,75.0,53.0,280.0,FEB,2018,,,,
UD Nova Gorica,617.0,388.0,423.0,356.0,1784.0,FEB,2018,,,,
UD Tolmin,128.0,134.0,111.0,72.0,445.0,FEB,2018,,,,
OS Novo mesto,1920.0,927.0,745.0,481.0,4073.0,FEB,2018,,,,
UD Črnomelj,507.0,243.0,167.0,75.0,992.0,FEB,2018,,,,
UD Metlika,223.0,119.0,70.0,35.0,447.0,FEB,2018,,,,
UD Novo mesto,913.0,415.0,378.0,297.0,2003.0,FEB,2018,,,,
UD Trebnje,277.0,150.0,130.0,74.0,631.0,FEB,2018,,,,
OS Ptuj,817.0,1017.0,884.0,432.0,3150.0,FEB,2018,,,,
UD Ormož,205.0,302.0,210.0,77.0,794.0,FEB,2018,,,,
UD Ptuj,612.0,715.0,674.0,355.0,2356.0,FEB,2018,,,,
OS Sevnica,1266.0,1042.0,698.0,408.0,3414.0,FEB,2018,,,,
UD Brežice,336.0,382.0,286.0,155.0,1159.0,FEB,2018,,,,
UD Krško,725.0,422.0,286.0,162.0,1595.0,FEB,2018,,,,
UD Sevnica,205.0,238.0,126.0,91.0,660.0,FEB,2018,,,,
OS Trbovlje,874.0,758.0,606.0,360.0,2598.0,FEB,2018,,,,
UD Hrastnik,161.0,145.0,79.0,56.0,441.0,FEB,2018,,,,
UD Litija,223.0,160.0,117.0,76.0,576.0,FEB,2018,,,,
UD Trbovlje,295.0,286.0,253.0,139.0,973.0,FEB,2018,,,,
UD Zagorje,195.0,167.0,157.0,89.0,608.0,FEB,2018,,,,
OS Velenje,1494.0,1562.0,1371.0,814.0,5241.0,FEB,2018,,,,
UD Dravograd,80.0,107.0,85.0,48.0,320.0,FEB,2018,,,,
UD Mozirje,142.0,185.0,202.0,101.0,630.0,FEB,2018,,,,
UD Radlje ob Dravi,162.0,240.0,148.0,92.0,642.0,FEB,2018,,,,
UD Ravne na Koroškem,222.0,287.0,209.0,131.0,849.0,FEB,2018,,,,
UD Slovenj Gradec,177.0,199.0,177.0,114.0,667.0,FEB,2018,,,,
UD Velenje,711.0,544.0,550.0,328.0,2133.0,FEB,2018,,,,
,,,,,,FEB,2018,,,,
,,,,,85683.0,FEB,2018,,,,
OS Celje,2541.0,2574.0,2252.0,1357.0,8724.0,MAR,2018,,,,
UD Celje,758.0,850.0,828.0,565.0,3001.0,MAR,2018,,,,
UD Laško,190.0,195.0,187.0,78.0,650.0,MAR,2018,,,,
UD Slovenske Konjice,370.0,392.0,256.0,167.0,1185.0,MAR,2018,,,,
UD Šentjur,214.0,261.0,215.0,112.0,802.0,MAR,2018,,,,
UD Šmarje pri Jelšah,476.0,424.0,318.0,165.0,1383.0,MAR,2018,,,,
UD Žalec,533.0,452.0,448.0,270.0,1703.0,MAR,2018,,,,
OS Koper,1707.0,1470.0,1404.0,852.0,5433.0,MAR,2018,,,,
UD Ilirska Bistrica,134.0,143.0,93.0,67.0,437.0,MAR,2018,,,,
UD Izola,196.0,156.0,133.0,74.0,559.0,MAR,2018,,,,
UD Koper,652.0,529.0,578.0,331.0,2090.0,MAR,2018,,,,
UD Piran,224.0,205.0,208.0,146.0,783.0,MAR,2018,,,,
UD Postojna,280.0,213.0,200.0,110.0,803.0,MAR,2018,,,,
UD Sežana,221.0,224.0,192.0,124.0,761.0,MAR,2018,,,,
OS Kranj,1608.0,1277.0,1373.0,931.0,5189.0,MAR,2018,,,,
UD Jesenice,240.0,240.0,179.0,89.0,748.0,MAR,2018,,,,
UD Kranj,778.0,490.0,650.0,475.0,2393.0,MAR,2018,,,,
UD Radovljica,182.0,216.0,252.0,164.0,814.0,MAR,2018,,,,
UD Škofja Loka,230.0,202.0,201.0,160.0,793.0,MAR,2018,,,,
UD Tržič,178.0,129.0,91.0,43.0,441.0,MAR,2018,,,,
OS Ljubljana,6698.0,5422.0,6360.0,4969.0,23449.0,MAR,2018,,,,
UD Cerknica,127.0,179.0,166.0,85.0,557.0,MAR,2018,,,,
UD Domžale,444.0,404.0,453.0,324.0,1625.0,MAR,2018,,,,
UD Grosuplje,452.0,349.0,279.0,198.0,1278.0,MAR,2018,,,,
UD Kamnik,302.0,245.0,286.0,156.0,989.0,MAR,2018,,,,
UD Kočevje,598.0,397.0,201.0,70.0,1266.0,MAR,2018,,,,
UD Ljubljana,4268.0,3380.0,4546.0,3860.0,16054.0,MAR,2018,,,,
UD Logatec,127.0,107.0,98.0,63.0,395.0,MAR,2018,,,,
UD Ribnica,133.0,124.0,96.0,53.0,406.0,MAR,2018,,,,
UD Vrhnika,247.0,237.0,235.0,160.0,879.0,MAR,2018,,,,
OS Maribor,3063.0,2992.0,3056.0,1997.0,11108.0,MAR,2018,,,,
UD Lenart,119.0,154.0,107.0,70.0,450.0,MAR,2018,,,,
UD Maribor,2255.0,2124.0,2258.0,1509.0,8146.0,MAR,2018,,,,
UD Pesnica,226.0,198.0,171.0,102.0,697.0,MAR,2018,,,,
UD Ruše,140.0,195.0,183.0,95.0,613.0,MAR,2018,,,,
UD Slovenska Bistrica,323.0,321.0,337.0,221.0,1202.0,MAR,2018,,,,
OS Murska Sobota,2564.0,1943.0,1352.0,790.0,6649.0,MAR,2018,,,,
UD Gornja Radgona,332.0,345.0,237.0,121.0,1035.0,MAR,2018,,,,
UD Lendava,607.0,449.0,287.0,142.0,1485.0,MAR,2018,,,,
UD Ljutomer,264.0,269.0,199.0,115.0,847.0,MAR,2018,,,,
UD Murska Sobota,1361.0,880.0,629.0,412.0,3282.0,MAR,2018,,,,
OS Nova Gorica,1037.0,814.0,773.0,594.0,3218.0,MAR,2018,,,,
UD Ajdovščina,240.0,220.0,189.0,131.0,780.0,MAR,2018,,,,
UD Idrija,72.0,81.0,68.0,47.0,268.0,MAR,2018,,,,
UD Nova Gorica,602.0,384.0,417.0,350.0,1753.0,MAR,2018,,,,
UD Tolmin,123.0,129.0,99.0,66.0,417.0,MAR,2018,,,,
OS Novo mesto,1868.0,868.0,709.0,451.0,3896.0,MAR,2018,,,,
UD Črnomelj,491.0,246.0,167.0,71.0,975.0,MAR,2018,,,,
UD Metlika,210.0,104.0,65.0,30.0,409.0,MAR,2018,,,,
UD Novo mesto,904.0,378.0,363.0,288.0,1933.0,MAR,2018,,,,
UD Trebnje,263.0,140.0,114.0,62.0,579.0,MAR,2018,,,,
OS Ptuj,740.0,939.0,871.0,420.0,2970.0,MAR,2018,,,,
UD Ormož,175.0,278.0,202.0,76.0,731.0,MAR,2018,,,,
UD Ptuj,565.0,661.0,669.0,344.0,2239.0,MAR,2018,,,,
OS Sevnica,1155.0,958.0,656.0,369.0,3138.0,MAR,2018,,,,
UD Brežice,314.0,363.0,274.0,144.0,1095.0,MAR,2018,,,,
UD Krško,660.0,372.0,262.0,137.0,1431.0,MAR,2018,,,,
UD Sevnica,181.0,223.0,120.0,88.0,612.0,MAR,2018,,,,
OS Trbovlje,830.0,723.0,586.0,340.0,2479.0,MAR,2018,,,,
UD Hrastnik,162.0,137.0,79.0,57.0,435.0,MAR,2018,,,,
UD Litija,213.0,151.0,112.0,66.0,542.0,MAR,2018,,,,
UD Trbovlje,278.0,277.0,243.0,128.0,926.0,MAR,2018,,,,
UD Zagorje,177.0,158.0,152.0,89.0,576.0,MAR,2018,,,,
OS Velenje,1388.0,1459.0,1350.0,770.0,4967.0,MAR,2018,,,,
UD Dravograd,79.0,89.0,81.0,43.0,292.0,MAR,2018,,,,
UD Mozirje,135.0,181.0,203.0,98.0,617.0,MAR,2018,,,,
UD Radlje ob Dravi,154.0,210.0,133.0,76.0,573.0,MAR,2018,,,,
UD Ravne na Koroškem,214.0,272.0,216.0,122.0,824.0,MAR,2018,,,,
UD Slovenj Gradec,162.0,186.0,178.0,113.0,639.0,MAR,2018,,,,
UD Velenje,644.0,521.0,539.0,318.0,2022.0,MAR,2018,,,,
,,,,,,MAR,2018,,,,
,,,,,81220.0,MAR,2018,,,,
OS Celje,2411.0,2502.0,2236.0,1322.0,8471.0,APR,2018,,,,
UD Celje,728.0,818.0,819.0,556.0,2921.0,APR,2018,,,,
UD Laško,186.0,192.0,182.0,82.0,642.0,APR,2018,,,,
UD Slovenske Konjice,351.0,381.0,270.0,163.0,1165.0,APR,2018,,,,
UD Šentjur,201.0,255.0,224.0,115.0,795.0,APR,2018,,,,
UD Šmarje pri Jelšah,444.0,411.0,307.0,151.0,1313.0,APR,2018,,,,
UD Žalec,501.0,445.0,434.0,255.0,1635.0,APR,2018,,,,
OS Koper,1639.0,1408.0,1345.0,835.0,5227.0,APR,2018,,,,
UD Ilirska Bistrica,131.0,142.0,93.0,66.0,432.0,APR,2018,,,,
UD Izola,189.0,150.0,130.0,68.0,537.0,APR,2018,,,,
UD Koper,620.0,497.0,549.0,318.0,1984.0,APR,2018,,,,
UD Piran,204.0,187.0,190.0,139.0,720.0,APR,2018,,,,
UD Postojna,281.0,215.0,186.0,115.0,797.0,APR,2018,,,,
UD Sežana,214.0,217.0,197.0,129.0,757.0,APR,2018,,,,
OS Kranj,1510.0,1251.0,1368.0,924.0,5053.0,APR,2018,,,,
UD Jesenice,238.0,241.0,187.0,91.0,757.0,APR,2018,,,,
UD Kranj,711.0,476.0,642.0,465.0,2294.0,APR,2018,,,,
UD Radovljica,171.0,204.0,234.0,160.0,769.0,APR,2018,,,,
UD Škofja Loka,216.0,200.0,209.0,160.0,785.0,APR,2018,,,,
UD Tržič,174.0,130.0,96.0,48.0,448.0,APR,2018,,,,
OS Ljubljana,6555.0,5255.0,6285.0,4839.0,22934.0,APR,2018,,,,
UD Cerknica,114.0,156.0,156.0,88.0,514.0,APR,2018,,,,
UD Domžale,448.0,402.0,459.0,308.0,1617.0,APR,2018,,,,
UD Grosuplje,439.0,339.0,282.0,195.0,1255.0,APR,2018,,,,
UD Kamnik,285.0,239.0,284.0,156.0,964.0,APR,2018,,,,
UD Kočevje,588.0,392.0,203.0,61.0,1244.0,APR,2018,,,,
UD Ljubljana,4189.0,3288.0,4483.0,3772.0,15732.0,APR,2018,,,,
UD Logatec,116.0,98.0,97.0,64.0,375.0,APR,2018,,,,
UD Ribnica,134.0,119.0,86.0,45.0,384.0,APR,2018,,,,
UD Vrhnika,242.0,222.0,235.0,150.0,849.0,APR,2018,,,,
OS Maribor,2891.0,2869.0,2984.0,1930.0,10674.0,APR,2018,,,,
UD Lenart,110.0,135.0,99.0,70.0,414.0,APR,2018,,,,
UD Maribor,2126.0,2047.0,2219.0,1455.0,7847.0,APR,2018,,,,
UD Pesnica,216.0,189.0,174.0,100.0,679.0,APR,2018,,,,
UD Ruše,131.0,186.0,174.0,85.0,576.0,APR,2018,,,,
UD Slovenska Bistrica,308.0,312.0,318.0,220.0,1158.0,APR,2018,,,,
OS Murska Sobota,2434.0,1811.0,1270.0,758.0,6273.0,APR,2018,,,,
UD Gornja Radgona,308.0,322.0,228.0,121.0,979.0,APR,2018,,,,
UD Lendava,594.0,425.0,271.0,138.0,1428.0,APR,2018,,,,
UD Ljutomer,246.0,244.0,171.0,106.0,767.0,APR,2018,,,,
UD Murska Sobota,1286.0,820.0,600.0,393.0,3099.0,APR,2018,,,,
OS Nova Gorica,1007.0,792.0,741.0,564.0,3104.0,APR,2018,,,,
UD Ajdovščina,232.0,212.0,184.0,126.0,754.0,APR,2018,,,,
UD Idrija,71.0,74.0,69.0,52.0,266.0,APR,2018,,,,
UD Nova Gorica,587.0,381.0,398.0,328.0,1694.0,APR,2018,,,,
UD Tolmin,117.0,125.0,90.0,58.0,390.0,APR,2018,,,,
OS Novo mesto,1825.0,831.0,670.0,435.0,3761.0,APR,2018,,,,
UD Črnomelj,477.0,239.0,165.0,68.0,949.0,APR,2018,,,,
UD Metlika,203.0,97.0,62.0,31.0,393.0,APR,2018,,,,
UD Novo mesto,892.0,362.0,345.0,277.0,1876.0,APR,2018,,,,
UD Trebnje,253.0,133.0,98.0,59.0,543.0,APR,2018,,,,
OS Ptuj,709.0,859.0,819.0,412.0,2799.0,APR,2018,,,,
UD Ormož,178.0,260.0,187.0,79.0,704.0,APR,2018,,,,
UD Ptuj,531.0,599.0,632.0,333.0,2095.0,APR,2018,,,,
OS Sevnica,1124.0,927.0,658.0,371.0,3080.0,APR,2018,,,,
UD Brežice,302.0,350.0,268.0,147.0,1067.0,APR,2018,,,,
UD Krško,642.0,363.0,266.0,138.0,1409.0,APR,2018,,,,
UD Sevnica,180.0,214.0,124.0,86.0,604.0,APR,2018,,,,
OS Trbovlje,800.0,685.0,575.0,317.0,2377.0,APR,2018,,,,
UD Hrastnik,158.0,130.0,83.0,51.0,422.0,APR,2018,,,,
UD Litija,209.0,145.0,104.0,58.0,516.0,APR,2018,,,,
UD Trbovlje,264.0,263.0,238.0,123.0,888.0,APR,2018,,,,
UD Zagorje,169.0,147.0,150.0,85.0,551.0,APR,2018,,,,
OS Velenje,1286.0,1419.0,1329.0,768.0,4802.0,APR,2018,,,,
UD Dravograd,77.0,90.0,79.0,42.0,288.0,APR,2018,,,,
UD Mozirje,123.0,180.0,198.0,99.0,600.0,APR,2018,,,,
UD Radlje ob Dravi,144.0,198.0,135.0,79.0,556.0,APR,2018,,,,
UD Ravne na Koroškem,195.0,263.0,217.0,120.0,795.0,APR,2018,,,,
UD Slovenj Gradec,152.0,191.0,174.0,120.0,637.0,APR,2018,,,,
UD Velenje,595.0,497.0,526.0,308.0,1926.0,APR,2018,,,,
,,,,,,APR,2018,,,,
,,,,,78555.0,APR,2018,,,,
OS Celje,2364.0,2461.0,2184.0,1313.0,8322.0,MAJ,2018,,,,
UD Celje,717.0,792.0,804.0,554.0,2867.0,MAJ,2018,,,,
UD Laško,182.0,198.0,173.0,81.0,634.0,MAJ,2018,,,,
UD Slovenske Konjice,348.0,387.0,269.0,157.0,1161.0,MAJ,2018,,,,
UD Šentjur,204.0,261.0,216.0,115.0,796.0,MAJ,2018,,,,
UD Šmarje pri Jelšah,433.0,394.0,289.0,149.0,1265.0,MAJ,2018,,,,
UD Žalec,480.0,429.0,433.0,257.0,1599.0,MAJ,2018,,,,
OS Koper,1575.0,1359.0,1301.0,799.0,5034.0,MAJ,2018,,,,
UD Ilirska Bistrica,121.0,139.0,90.0,68.0,418.0,MAJ,2018,,,,
UD Izola,180.0,138.0,129.0,64.0,511.0,MAJ,2018,,,,
UD Koper,611.0,496.0,533.0,305.0,1945.0,MAJ,2018,,,,
UD Piran,192.0,177.0,183.0,135.0,687.0,MAJ,2018,,,,
UD Postojna,264.0,201.0,177.0,105.0,747.0,MAJ,2018,,,,
UD Sežana,207.0,208.0,189.0,122.0,726.0,MAJ,2018,,,,
OS Kranj,1486.0,1200.0,1319.0,906.0,4911.0,MAJ,2018,,,,
UD Jesenice,247.0,227.0,177.0,92.0,743.0,MAJ,2018,,,,
UD Kranj,699.0,457.0,618.0,455.0,2229.0,MAJ,2018,,,,
UD Radovljica,164.0,200.0,232.0,159.0,755.0,MAJ,2018,,,,
UD Škofja Loka,212.0,188.0,198.0,156.0,754.0,MAJ,2018,,,,
UD Tržič,164.0,128.0,94.0,44.0,430.0,MAJ,2018,,,,
OS Ljubljana,6459.0,5128.0,6140.0,4769.0,22496.0,MAJ,2018,,,,
UD Cerknica,106.0,151.0,150.0,83.0,490.0,MAJ,2018,,,,
UD Domžale,432.0,379.0,462.0,305.0,1578.0,MAJ,2018,,,,
UD Grosuplje,435.0,333.0,270.0,183.0,1221.0,MAJ,2018,,,,
UD Kamnik,283.0,239.0,268.0,144.0,934.0,MAJ,2018,,,,
UD Kočevje,572.0,379.0,191.0,58.0,1200.0,MAJ,2018,,,,
UD Ljubljana,4149.0,3217.0,4389.0,3735.0,15490.0,MAJ,2018,,,,
UD Logatec,115.0,98.0,98.0,66.0,377.0,MAJ,2018,,,,
UD Ribnica,135.0,113.0,80.0,49.0,377.0,MAJ,2018,,,,
UD Vrhnika,232.0,219.0,232.0,146.0,829.0,MAJ,2018,,,,
OS Maribor,2841.0,2794.0,2953.0,1905.0,10493.0,MAJ,2018,,,,
UD Lenart,112.0,123.0,99.0,71.0,405.0,MAJ,2018,,,,
UD Maribor,2099.0,2000.0,2209.0,1449.0,7757.0,MAJ,2018,,,,
UD Pesnica,209.0,192.0,165.0,95.0,661.0,MAJ,2018,,,,
UD Ruše,130.0,181.0,179.0,85.0,575.0,MAJ,2018,,,,
UD Slovenska Bistrica,291.0,298.0,301.0,205.0,1095.0,MAJ,2018,,,,
OS Murska Sobota,2382.0,1725.0,1191.0,733.0,6031.0,MAJ,2018,,,,
UD Gornja Radgona,291.0,307.0,209.0,121.0,928.0,MAJ,2018,,,,
UD Lendava,579.0,407.0,272.0,137.0,1395.0,MAJ,2018,,,,
UD Ljutomer,234.0,224.0,160.0,100.0,718.0,MAJ,2018,,,,
UD Murska Sobota,1278.0,787.0,550.0,375.0,2990.0,MAJ,2018,,,,
OS Nova Gorica,990.0,767.0,687.0,552.0,2996.0,MAJ,2018,,,,
UD Ajdovščina,229.0,204.0,169.0,126.0,728.0,MAJ,2018,,,,
UD Idrija,75.0,71.0,65.0,46.0,257.0,MAJ,2018,,,,
UD Nova Gorica,581.0,369.0,372.0,322.0,1644.0,MAJ,2018,,,,
UD Tolmin,105.0,123.0,81.0,58.0,367.0,MAJ,2018,,,,
OS Novo mesto,1812.0,835.0,644.0,415.0,3706.0,MAJ,2018,,,,
UD Črnomelj,474.0,247.0,155.0,61.0,937.0,MAJ,2018,,,,
UD Metlika,201.0,99.0,61.0,31.0,392.0,MAJ,2018,,,,
UD Novo mesto,883.0,363.0,338.0,264.0,1848.0,MAJ,2018,,,,
UD Trebnje,254.0,126.0,90.0,59.0,529.0,MAJ,2018,,,,
OS Ptuj,671.0,814.0,789.0,397.0,2671.0,MAJ,2018,,,,
UD Ormož,160.0,236.0,170.0,73.0,639.0,MAJ,2018,,,,
UD Ptuj,511.0,578.0,619.0,324.0,2032.0,MAJ,2018,,,,
OS Sevnica,1124.0,912.0,638.0,361.0,3035.0,MAJ,2018,,,,
UD Brežice,301.0,336.0,259.0,151.0,1047.0,MAJ,2018,,,,
UD Krško,639.0,368.0,258.0,132.0,1397.0,MAJ,2018,,,,
UD Sevnica,184.0,208.0,121.0,78.0,591.0,MAJ,2018,,,,
OS Trbovlje,799.0,667.0,566.0,326.0,2358.0,MAJ,2018,,,,
