Urad za delo,1+2 - OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
UD Novo mesto,787.0,333.0,325.0,235.0,1680.0,SEP,2019,,,,
UD Trebnje,211.0,111.0,88.0,45.0,455.0,SEP,2019,,,,
OS Ptuj,611.0,710.0,714.0,362.0,2397.0,SEP,2019,,,,
UD Ormož,133.0,185.0,125.0,60.0,503.0,SEP,2019,,,,
UD Ptuj,478.0,525.0,589.0,302.0,1894.0,SEP,2019,,,,
OS Sevnica,1066.0,856.0,595.0,324.0,2841.0,SEP,2019,,,,
UD Brežice,286.0,309.0,234.0,112.0,941.0,SEP,2019,,,,
UD Krško,633.0,340.0,237.0,126.0,1336.0,SEP,2019,,,,
UD Sevnica,147.0,207.0,124.0,86.0,564.0,SEP,2019,,,,
OS Trbovlje,753.0,613.0,493.0,298.0,2157.0,SEP,2019,,,,
UD Hrastnik,160.0,121.0,83.0,47.0,411.0,SEP,2019,,,,
UD Litija,177.0,132.0,91.0,66.0,466.0,SEP,2019,,,,
UD Trbovlje,260.0,230.0,189.0,116.0,795.0,SEP,2019,,,,
UD Zagorje,156.0,130.0,130.0,69.0,485.0,SEP,2019,,,,
OS Velenje,1106.0,1300.0,1109.0,693.0,4208.0,SEP,2019,,,,
UD Dravograd,72.0,87.0,63.0,32.0,254.0,SEP,2019,,,,
UD Mozirje,111.0,156.0,139.0,99.0,505.0,SEP,2019,,,,
UD Radlje ob Dravi,124.0,173.0,134.0,79.0,510.0,SEP,2019,,,,
UD Ravne na Koroškem,155.0,245.0,197.0,110.0,707.0,SEP,2019,,,,
UD Slovenj Gradec,167.0,205.0,137.0,103.0,612.0,SEP,2019,,,,
UD Velenje,477.0,434.0,439.0,270.0,1620.0,SEP,2019,,,,
,,,,,,SEP,2019,,,,
,,,,,69834.0,SEP,2019,,,,
OS Celje,2322.0,2351.0,2065.0,1269.0,8007.0,OKT,2019,,,,
UD Celje,669.0,698.0,691.0,526.0,2584.0,OKT,2019,,,,
UD Laško,166.0,171.0,155.0,71.0,563.0,OKT,2019,,,,
UD Slovenske Konjice,388.0,369.0,298.0,151.0,1206.0,OKT,2019,,,,
UD Šentjur,202.0,261.0,205.0,136.0,804.0,OKT,2019,,,,
UD Šmarje pri Jelšah,454.0,436.0,323.0,151.0,1364.0,OKT,2019,,,,
UD Žalec,443.0,416.0,393.0,234.0,1486.0,OKT,2019,,,,
OS Koper,1520.0,1206.0,1224.0,737.0,4687.0,OKT,2019,,,,
UD Ilirska Bistrica,131.0,111.0,89.0,59.0,390.0,OKT,2019,,,,
UD Izola,164.0,130.0,104.0,62.0,460.0,OKT,2019,,,,
UD Koper,600.0,467.0,512.0,310.0,1889.0,OKT,2019,,,,
UD Piran,180.0,165.0,189.0,109.0,643.0,OKT,2019,,,,
