Občina,15 do 24 let,25 do 29 let,30 do 39 let,40 do 49 let,50 do 54 let,55 let ali več,Skupaj,month,year
Žiri,9.0,9.0,22.0,19.0,5.0,31.0,95.0,JUN,2021
Žirovnica,10.0,11.0,19.0,13.0,10.0,22.0,85.0,JUN,2021
Žužemberk,7.0,5.0,14.0,20.0,18.0,50.0,114.0,JUN,2021
Občina izven RS,58.0,87.0,150.0,115.0,43.0,78.0,531.0,JUN,2021
Ajdovščina,25.0,42.0,104.0,100.0,52.0,181.0,504.0,JUL,2021
Ankaran,4.0,13.0,32.0,17.0,7.0,19.0,92.0,JUL,2021
Apače,7.0,9.0,25.0,27.0,14.0,40.0,122.0,JUL,2021
Beltinci,29.0,32.0,40.0,46.0,35.0,86.0,268.0,JUL,2021
Benedikt,6.0,5.0,17.0,6.0,3.0,10.0,47.0,JUL,2021
Bistrica ob Sotli,3.0,4.0,15.0,14.0,8.0,14.0,58.0,JUL,2021
Bled,13.0,18.0,38.0,43.0,20.0,54.0,186.0,JUL,2021
Bloke,4.0,6.0,5.0,7.0,2.0,12.0,36.0,JUL,2021
Bohinj,6.0,11.0,14.0,19.0,7.0,30.0,87.0,JUL,2021
Borovnica,9.0,14.0,36.0,31.0,9.0,41.0,140.0,JUL,2021
Bovec,6.0,3.0,9.0,3.0,5.0,20.0,46.0,JUL,2021
Braslovče,7.0,14.0,34.0,20.0,11.0,49.0,135.0,JUL,2021
Brda,8.0,9.0,33.0,21.0,7.0,34.0,112.0,JUL,2021
Brezovica,30.0,34.0,75.0,78.0,44.0,91.0,352.0,JUL,2021
Brežice,82.0,98.0,174.0,205.0,108.0,356.0,1023.0,JUL,2021
Cankova,16.0,6.0,14.0,14.0,15.0,20.0,85.0,JUL,2021
Celje,139.0,216.0,488.0,483.0,208.0,531.0,2065.0,JUL,2021
Cerklje na Gorenjskem,10.0,17.0,31.0,23.0,17.0,42.0,140.0,JUL,2021
