Urad za delo,Do 2 mesecev,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,12 do 23 mesecev,24 do 35 mesecev,36 mesecev ali več,Skupaj,month,year
OS Celje,2297.0,1208.0,591.0,479.0,1612.0,749.0,2542.0,9478.0,JAN,2018
UD Celje,939.0,427.0,214.0,146.0,583.0,232.0,760.0,3301.0,JAN,2018
UD Laško,126.0,94.0,43.0,50.0,124.0,79.0,187.0,703.0,JAN,2018
UD Slovenske Konjice,294.0,154.0,60.0,71.0,260.0,122.0,354.0,1315.0,JAN,2018
UD Šentjur,199.0,107.0,48.0,57.0,111.0,59.0,266.0,847.0,JAN,2018
UD Šmarje pri Jelšah,345.0,190.0,97.0,49.0,241.0,103.0,457.0,1482.0,JAN,2018
UD Žalec,394.0,236.0,129.0,106.0,293.0,154.0,518.0,1830.0,JAN,2018
OS Koper,1688.0,855.0,409.0,301.0,962.0,393.0,1305.0,5913.0,JAN,2018
UD Ilirska Bistrica,111.0,53.0,31.0,22.0,60.0,30.0,151.0,458.0,JAN,2018
UD Izola,200.0,93.0,32.0,32.0,90.0,38.0,136.0,621.0,JAN,2018
UD Koper,570.0,347.0,176.0,117.0,359.0,137.0,477.0,2183.0,JAN,2018
UD Piran,326.0,132.0,58.0,47.0,128.0,58.0,167.0,916.0,JAN,2018
UD Postojna,234.0,137.0,51.0,31.0,151.0,61.0,213.0,878.0,JAN,2018
UD Sežana,247.0,93.0,61.0,52.0,174.0,69.0,161.0,857.0,JAN,2018
OS Kranj,1870.0,858.0,448.0,334.0,911.0,374.0,960.0,5755.0,JAN,2018
UD Jesenice,264.0,113.0,68.0,41.0,127.0,45.0,155.0,813.0,JAN,2018
UD Kranj,853.0,390.0,212.0,155.0,412.0,180.0,447.0,2649.0,JAN,2018
UD Radovljica,323.0,138.0,80.0,63.0,126.0,65.0,110.0,905.0,JAN,2018
UD Škofja Loka,280.0,148.0,57.0,51.0,173.0,49.0,134.0,892.0,JAN,2018
UD Tržič,150.0,69.0,31.0,24.0,73.0,35.0,114.0,496.0,JAN,2018
OS Ljubljana,5263.0,3243.0,1757.0,1217.0,4130.0,2007.0,7230.0,24847.0,JAN,2018
UD Cerknica,195.0,71.0,55.0,32.0,124.0,54.0,121.0,652.0,JAN,2018
UD Domžale,427.0,267.0,140.0,80.0,323.0,118.0,386.0,1741.0,JAN,2018
UD Grosuplje,328.0,176.0,78.0,59.0,215.0,89.0,427.0,1372.0,JAN,2018
UD Kamnik,282.0,157.0,96.0,60.0,146.0,74.0,248.0,1063.0,JAN,2018
UD Kočevje,222.0,121.0,69.0,47.0,155.0,94.0,600.0,1308.0,JAN,2018
UD Ljubljana,3371.0,2206.0,1210.0,872.0,2862.0,1451.0,4936.0,16908.0,JAN,2018
UD Logatec,89.0,71.0,28.0,20.0,81.0,34.0,100.0,423.0,JAN,2018
UD Ribnica,104.0,49.0,26.0,12.0,63.0,40.0,136.0,430.0,JAN,2018
UD Vrhnika,245.0,125.0,55.0,35.0,161.0,53.0,276.0,950.0,JAN,2018
OS Maribor,3209.0,1645.0,842.0,687.0,2094.0,1029.0,2483.0,11989.0,JAN,2018
UD Lenart,253.0,76.0,38.0,32.0,75.0,36.0,45.0,555.0,JAN,2018
UD Maribor,2070.0,1172.0,608.0,495.0,1494.0,769.0,2021.0,8629.0,JAN,2018
UD Pesnica,283.0,99.0,49.0,54.0,170.0,52.0,116.0,823.0,JAN,2018
UD Ruše,181.0,89.0,46.0,33.0,131.0,73.0,89.0,642.0,JAN,2018
UD Slovenska Bistrica,422.0,209.0,101.0,73.0,224.0,99.0,212.0,1340.0,JAN,2018
OS Murska Sobota,2051.0,788.0,414.0,310.0,1069.0,549.0,2344.0,7525.0,JAN,2018
UD Gornja Radgona,349.0,115.0,57.0,38.0,203.0,94.0,316.0,1172.0,JAN,2018
UD Lendava,358.0,137.0,73.0,84.0,238.0,123.0,618.0,1631.0,JAN,2018
UD Ljutomer,294.0,121.0,63.0,43.0,143.0,59.0,221.0,944.0,JAN,2018
UD Murska Sobota,1050.0,415.0,221.0,145.0,485.0,273.0,1189.0,3778.0,JAN,2018
OS Nova Gorica,867.0,530.0,292.0,205.0,634.0,223.0,724.0,3475.0,JAN,2018
UD Ajdovščina,185.0,123.0,59.0,50.0,156.0,62.0,230.0,865.0,JAN,2018
UD Idrija,89.0,36.0,45.0,19.0,58.0,15.0,47.0,309.0,JAN,2018
UD Nova Gorica,457.0,299.0,163.0,110.0,345.0,119.0,354.0,1847.0,JAN,2018
UD Tolmin,136.0,72.0,25.0,26.0,75.0,27.0,93.0,454.0,JAN,2018
OS Novo mesto,879.0,497.0,299.0,179.0,609.0,341.0,1385.0,4189.0,JAN,2018
UD Črnomelj,166.0,91.0,60.0,35.0,130.0,83.0,472.0,1037.0,JAN,2018
UD Metlika,95.0,52.0,31.0,20.0,56.0,43.0,167.0,464.0,JAN,2018
UD Novo mesto,477.0,273.0,163.0,102.0,332.0,166.0,539.0,2052.0,JAN,2018
UD Trebnje,141.0,81.0,45.0,22.0,91.0,49.0,207.0,636.0,JAN,2018
OS Ptuj,991.0,549.0,281.0,180.0,578.0,238.0,424.0,3241.0,JAN,2018
UD Ormož,239.0,143.0,100.0,37.0,145.0,42.0,109.0,815.0,JAN,2018
UD Ptuj,752.0,406.0,181.0,143.0,433.0,196.0,315.0,2426.0,JAN,2018
OS Sevnica,788.0,401.0,211.0,140.0,541.0,268.0,1150.0,3499.0,JAN,2018
UD Brežice,233.0,141.0,69.0,40.0,194.0,85.0,400.0,1162.0,JAN,2018
UD Krško,392.0,178.0,88.0,66.0,233.0,135.0,562.0,1654.0,JAN,2018
UD Sevnica,163.0,82.0,54.0,34.0,114.0,48.0,188.0,683.0,JAN,2018
OS Trbovlje,573.0,368.0,202.0,150.0,455.0,255.0,687.0,2690.0,JAN,2018
UD Hrastnik,90.0,59.0,29.0,29.0,68.0,38.0,149.0,462.0,JAN,2018
UD Litija,123.0,91.0,50.0,42.0,83.0,50.0,163.0,602.0,JAN,2018
UD Trbovlje,218.0,122.0,69.0,49.0,199.0,103.0,232.0,992.0,JAN,2018
UD Zagorje,142.0,96.0,54.0,30.0,105.0,64.0,143.0,634.0,JAN,2018
OS Velenje,1498.0,800.0,327.0,287.0,916.0,384.0,1106.0,5318.0,JAN,2018
UD Dravograd,108.0,48.0,15.0,14.0,60.0,27.0,65.0,337.0,JAN,2018
UD Mozirje,150.0,113.0,49.0,25.0,126.0,38.0,135.0,636.0,JAN,2018
UD Radlje ob Dravi,206.0,102.0,35.0,29.0,91.0,49.0,155.0,667.0,JAN,2018
UD Ravne na Koroškem,268.0,128.0,53.0,27.0,130.0,72.0,207.0,885.0,JAN,2018
UD Slovenj Gradec,167.0,115.0,43.0,36.0,119.0,43.0,165.0,688.0,JAN,2018
UD Velenje,599.0,294.0,132.0,156.0,390.0,155.0,379.0,2105.0,JAN,2018
,,,,,,,,,JAN,2018
,,,,,,,,87919.0,JAN,2018
OS Celje,2064.0,1268.0,598.0,471.0,1565.0,737.0,2495.0,9198.0,FEB,2018
UD Celje,826.0,478.0,209.0,151.0,555.0,226.0,735.0,3180.0,FEB,2018
UD Laško,112.0,103.0,50.0,44.0,123.0,72.0,184.0,688.0,FEB,2018
UD Slovenske Konjice,259.0,156.0,64.0,73.0,255.0,125.0,347.0,1279.0,FEB,2018
UD Šentjur,192.0,100.0,50.0,54.0,111.0,61.0,264.0,832.0,FEB,2018
UD Šmarje pri Jelšah,321.0,199.0,98.0,52.0,220.0,102.0,448.0,1440.0,FEB,2018
UD Žalec,354.0,232.0,127.0,97.0,301.0,151.0,517.0,1779.0,FEB,2018
OS Koper,1369.0,1008.0,442.0,293.0,918.0,381.0,1280.0,5691.0,FEB,2018
UD Ilirska Bistrica,107.0,53.0,31.0,20.0,60.0,33.0,146.0,450.0,FEB,2018
UD Izola,154.0,117.0,32.0,31.0,85.0,40.0,135.0,594.0,FEB,2018
UD Koper,484.0,398.0,192.0,114.0,343.0,130.0,467.0,2128.0,FEB,2018
UD Piran,233.0,191.0,62.0,45.0,134.0,53.0,166.0,884.0,FEB,2018
UD Postojna,185.0,143.0,65.0,32.0,137.0,58.0,207.0,827.0,FEB,2018
UD Sežana,206.0,106.0,60.0,51.0,159.0,67.0,159.0,808.0,FEB,2018
OS Kranj,1696.0,944.0,438.0,326.0,899.0,378.0,932.0,5613.0,FEB,2018
UD Jesenice,236.0,122.0,62.0,47.0,125.0,43.0,152.0,787.0,FEB,2018
UD Kranj,806.0,421.0,195.0,159.0,416.0,180.0,435.0,2612.0,FEB,2018
UD Radovljica,294.0,175.0,69.0,59.0,130.0,60.0,106.0,893.0,FEB,2018
UD Škofja Loka,228.0,150.0,74.0,42.0,166.0,51.0,130.0,841.0,FEB,2018
UD Tržič,132.0,76.0,38.0,19.0,62.0,44.0,109.0,480.0,FEB,2018
OS Ljubljana,4700.0,3478.0,1816.0,1214.0,4081.0,1959.0,7124.0,24372.0,FEB,2018
UD Cerknica,168.0,96.0,49.0,30.0,120.0,50.0,112.0,625.0,FEB,2018
UD Domžale,379.0,286.0,131.0,95.0,308.0,117.0,382.0,1698.0,FEB,2018
UD Grosuplje,298.0,204.0,80.0,53.0,218.0,93.0,420.0,1366.0,FEB,2018
UD Kamnik,289.0,157.0,86.0,64.0,146.0,74.0,246.0,1062.0,FEB,2018
UD Kočevje,186.0,133.0,76.0,45.0,151.0,88.0,597.0,1276.0,FEB,2018
UD Ljubljana,2979.0,2330.0,1285.0,863.0,2836.0,1414.0,4866.0,16573.0,FEB,2018
UD Logatec,84.0,80.0,22.0,17.0,77.0,32.0,98.0,410.0,FEB,2018
UD Ribnica,93.0,54.0,27.0,9.0,67.0,37.0,134.0,421.0,FEB,2018
UD Vrhnika,224.0,138.0,60.0,38.0,158.0,54.0,269.0,941.0,FEB,2018
OS Maribor,2875.0,1798.0,820.0,663.0,2109.0,990.0,2455.0,11710.0,FEB,2018
UD Lenart,223.0,98.0,35.0,26.0,80.0,34.0,42.0,538.0,FEB,2018
UD Maribor,1900.0,1247.0,604.0,489.0,1497.0,748.0,1993.0,8478.0,FEB,2018
UD Pesnica,218.0,126.0,45.0,45.0,172.0,48.0,117.0,771.0,FEB,2018
UD Ruše,172.0,96.0,38.0,38.0,131.0,69.0,91.0,635.0,FEB,2018
UD Slovenska Bistrica,362.0,231.0,98.0,65.0,229.0,91.0,212.0,1288.0,FEB,2018
OS Murska Sobota,1726.0,977.0,394.0,329.0,1041.0,521.0,2303.0,7291.0,FEB,2018
UD Gornja Radgona,285.0,158.0,46.0,46.0,195.0,88.0,307.0,1125.0,FEB,2018
UD Lendava,299.0,182.0,76.0,77.0,237.0,119.0,609.0,1599.0,FEB,2018
UD Ljutomer,246.0,154.0,56.0,54.0,136.0,56.0,222.0,924.0,FEB,2018
UD Murska Sobota,896.0,483.0,216.0,152.0,473.0,258.0,1165.0,3643.0,FEB,2018
OS Nova Gorica,737.0,527.0,323.0,186.0,627.0,223.0,709.0,3332.0,FEB,2018
UD Ajdovščina,164.0,110.0,69.0,40.0,152.0,61.0,227.0,823.0,FEB,2018
UD Idrija,62.0,38.0,46.0,13.0,62.0,13.0,46.0,280.0,FEB,2018
UD Nova Gorica,403.0,293.0,176.0,109.0,337.0,123.0,343.0,1784.0,FEB,2018
UD Tolmin,108.0,86.0,32.0,24.0,76.0,26.0,93.0,445.0,FEB,2018
OS Novo mesto,791.0,538.0,311.0,194.0,585.0,313.0,1341.0,4073.0,FEB,2018
UD Črnomelj,136.0,109.0,60.0,43.0,123.0,70.0,451.0,992.0,FEB,2018
UD Metlika,79.0,56.0,35.0,22.0,55.0,41.0,159.0,447.0,FEB,2018
UD Novo mesto,440.0,288.0,168.0,108.0,317.0,154.0,528.0,2003.0,FEB,2018
UD Trebnje,136.0,85.0,48.0,21.0,90.0,48.0,203.0,631.0,FEB,2018
OS Ptuj,862.0,621.0,242.0,209.0,580.0,218.0,418.0,3150.0,FEB,2018
UD Ormož,197.0,169.0,67.0,65.0,152.0,36.0,108.0,794.0,FEB,2018
UD Ptuj,665.0,452.0,175.0,144.0,428.0,182.0,310.0,2356.0,FEB,2018
OS Sevnica,682.0,425.0,240.0,147.0,512.0,264.0,1144.0,3414.0,FEB,2018
UD Brežice,220.0,152.0,76.0,45.0,182.0,84.0,400.0,1159.0,FEB,2018
UD Krško,323.0,177.0,106.0,70.0,224.0,132.0,563.0,1595.0,FEB,2018
UD Sevnica,139.0,96.0,58.0,32.0,106.0,48.0,181.0,660.0,FEB,2018
OS Trbovlje,532.0,387.0,195.0,128.0,459.0,240.0,657.0,2598.0,FEB,2018
UD Hrastnik,81.0,65.0,24.0,23.0,69.0,36.0,143.0,441.0,FEB,2018
UD Litija,114.0,87.0,59.0,34.0,87.0,46.0,149.0,576.0,FEB,2018
UD Trbovlje,211.0,128.0,66.0,38.0,201.0,102.0,227.0,973.0,FEB,2018
UD Zagorje,126.0,107.0,46.0,33.0,102.0,56.0,138.0,608.0,FEB,2018
OS Velenje,1353.0,873.0,362.0,261.0,919.0,379.0,1094.0,5241.0,FEB,2018
UD Dravograd,89.0,49.0,14.0,18.0,58.0,28.0,64.0,320.0,FEB,2018
UD Mozirje,136.0,121.0,58.0,21.0,121.0,40.0,133.0,630.0,FEB,2018
UD Radlje ob Dravi,172.0,105.0,43.0,28.0,84.0,55.0,155.0,642.0,FEB,2018
UD Ravne na Koroškem,210.0,165.0,48.0,36.0,119.0,70.0,201.0,849.0,FEB,2018
UD Slovenj Gradec,150.0,113.0,53.0,37.0,112.0,41.0,161.0,667.0,FEB,2018
UD Velenje,596.0,320.0,146.0,121.0,425.0,145.0,380.0,2133.0,FEB,2018
,,,,,,,,,FEB,2018
,,,,,,,,85683.0,FEB,2018
OS Celje,1721.0,1170.0,678.0,413.0,1551.0,715.0,2476.0,8724.0,MAR,2018
UD Celje,693.0,444.0,254.0,138.0,534.0,212.0,726.0,3001.0,MAR,2018
UD Laško,102.0,84.0,55.0,34.0,119.0,76.0,180.0,650.0,MAR,2018
UD Slovenske Konjice,178.0,147.0,83.0,50.0,260.0,118.0,349.0,1185.0,MAR,2018
UD Šentjur,157.0,101.0,53.0,45.0,124.0,55.0,267.0,802.0,MAR,2018
UD Šmarje pri Jelšah,292.0,184.0,101.0,50.0,212.0,99.0,445.0,1383.0,MAR,2018
UD Žalec,299.0,210.0,132.0,96.0,302.0,155.0,509.0,1703.0,MAR,2018
OS Koper,1189.0,932.0,486.0,278.0,902.0,374.0,1272.0,5433.0,MAR,2018
UD Ilirska Bistrica,93.0,56.0,30.0,24.0,61.0,27.0,146.0,437.0,MAR,2018
UD Izola,134.0,96.0,47.0,23.0,84.0,42.0,133.0,559.0,MAR,2018
UD Koper,459.0,368.0,213.0,114.0,339.0,134.0,463.0,2090.0,MAR,2018
UD Piran,150.0,178.0,69.0,39.0,131.0,47.0,169.0,783.0,MAR,2018
UD Postojna,181.0,128.0,71.0,35.0,129.0,56.0,203.0,803.0,MAR,2018
UD Sežana,172.0,106.0,56.0,43.0,158.0,68.0,158.0,761.0,MAR,2018
OS Kranj,1319.0,932.0,464.0,312.0,911.0,347.0,904.0,5189.0,MAR,2018
UD Jesenice,206.0,110.0,64.0,50.0,130.0,39.0,149.0,748.0,MAR,2018
UD Kranj,607.0,415.0,215.0,155.0,416.0,164.0,421.0,2393.0,MAR,2018
UD Radovljica,230.0,172.0,72.0,47.0,138.0,51.0,104.0,814.0,MAR,2018
UD Škofja Loka,185.0,154.0,78.0,39.0,161.0,52.0,124.0,793.0,MAR,2018
UD Tržič,91.0,81.0,35.0,21.0,66.0,41.0,106.0,441.0,MAR,2018
OS Ljubljana,4093.0,3255.0,1936.0,1201.0,3988.0,1922.0,7054.0,23449.0,MAR,2018
UD Cerknica,115.0,110.0,39.0,29.0,117.0,43.0,104.0,557.0,MAR,2018
UD Domžale,342.0,261.0,150.0,92.0,299.0,109.0,372.0,1625.0,MAR,2018
UD Grosuplje,231.0,182.0,96.0,52.0,216.0,90.0,411.0,1278.0,MAR,2018
UD Kamnik,244.0,143.0,79.0,69.0,138.0,72.0,244.0,989.0,MAR,2018
UD Kočevje,174.0,142.0,68.0,58.0,139.0,85.0,600.0,1266.0,MAR,2018
UD Ljubljana,2656.0,2161.0,1369.0,844.0,2798.0,1396.0,4830.0,16054.0,MAR,2018
UD Logatec,84.0,54.0,41.0,11.0,76.0,34.0,95.0,395.0,MAR,2018
UD Ribnica,61.0,66.0,29.0,13.0,65.0,37.0,135.0,406.0,MAR,2018
UD Vrhnika,186.0,136.0,65.0,33.0,140.0,56.0,263.0,879.0,MAR,2018
OS Maribor,2423.0,1654.0,883.0,621.0,2115.0,981.0,2431.0,11108.0,MAR,2018
UD Lenart,147.0,90.0,38.0,21.0,80.0,35.0,39.0,450.0,MAR,2018
UD Maribor,1671.0,1155.0,651.0,452.0,1508.0,733.0,1976.0,8146.0,MAR,2018
UD Pesnica,143.0,130.0,40.0,47.0,168.0,49.0,120.0,697.0,MAR,2018
UD Ruše,159.0,80.0,44.0,38.0,131.0,72.0,89.0,613.0,MAR,2018
UD Slovenska Bistrica,303.0,199.0,110.0,63.0,228.0,92.0,207.0,1202.0,MAR,2018
OS Murska Sobota,1196.0,922.0,426.0,304.0,1021.0,510.0,2270.0,6649.0,MAR,2018
UD Gornja Radgona,198.0,158.0,54.0,47.0,187.0,86.0,305.0,1035.0,MAR,2018
UD Lendava,221.0,167.0,82.0,60.0,235.0,119.0,601.0,1485.0,MAR,2018
UD Ljutomer,178.0,146.0,62.0,53.0,138.0,51.0,219.0,847.0,MAR,2018
UD Murska Sobota,599.0,451.0,228.0,144.0,461.0,254.0,1145.0,3282.0,MAR,2018
OS Nova Gorica,684.0,448.0,344.0,197.0,622.0,216.0,707.0,3218.0,MAR,2018
UD Ajdovščina,141.0,96.0,72.0,44.0,148.0,49.0,230.0,780.0,MAR,2018
UD Idrija,57.0,34.0,30.0,27.0,56.0,19.0,45.0,268.0,MAR,2018
UD Nova Gorica,398.0,249.0,205.0,103.0,340.0,120.0,338.0,1753.0,MAR,2018
UD Tolmin,88.0,69.0,37.0,23.0,78.0,28.0,94.0,417.0,MAR,2018
OS Novo mesto,689.0,461.0,316.0,215.0,584.0,304.0,1327.0,3896.0,MAR,2018
UD Črnomelj,139.0,94.0,70.0,39.0,123.0,65.0,445.0,975.0,MAR,2018
UD Metlika,63.0,43.0,26.0,22.0,58.0,43.0,154.0,409.0,MAR,2018
UD Novo mesto,377.0,257.0,168.0,131.0,320.0,155.0,525.0,1933.0,MAR,2018
UD Trebnje,110.0,67.0,52.0,23.0,83.0,41.0,203.0,579.0,MAR,2018
OS Ptuj,744.0,554.0,272.0,204.0,565.0,215.0,416.0,2970.0,MAR,2018
UD Ormož,154.0,156.0,62.0,70.0,142.0,41.0,106.0,731.0,MAR,2018
UD Ptuj,590.0,398.0,210.0,134.0,423.0,174.0,310.0,2239.0,MAR,2018
OS Sevnica,499.0,391.0,233.0,143.0,473.0,270.0,1129.0,3138.0,MAR,2018
UD Brežice,191.0,132.0,79.0,40.0,164.0,95.0,394.0,1095.0,MAR,2018
UD Krško,201.0,165.0,107.0,68.0,203.0,131.0,556.0,1431.0,MAR,2018
UD Sevnica,107.0,94.0,47.0,35.0,106.0,44.0,179.0,612.0,MAR,2018
OS Trbovlje,472.0,368.0,191.0,134.0,444.0,219.0,651.0,2479.0,MAR,2018
UD Hrastnik,86.0,61.0,24.0,20.0,69.0,30.0,145.0,435.0,MAR,2018
UD Litija,103.0,70.0,61.0,33.0,90.0,42.0,143.0,542.0,MAR,2018
UD Trbovlje,178.0,135.0,64.0,42.0,184.0,96.0,227.0,926.0,MAR,2018
UD Zagorje,105.0,102.0,42.0,39.0,101.0,51.0,136.0,576.0,MAR,2018
OS Velenje,1131.0,799.0,438.0,236.0,915.0,377.0,1071.0,4967.0,MAR,2018
UD Dravograd,75.0,42.0,20.0,8.0,57.0,27.0,63.0,292.0,MAR,2018
UD Mozirje,127.0,116.0,67.0,23.0,117.0,43.0,124.0,617.0,MAR,2018
UD Radlje ob Dravi,125.0,88.0,41.0,25.0,87.0,54.0,153.0,573.0,MAR,2018
UD Ravne na Koroškem,184.0,151.0,66.0,35.0,116.0,73.0,199.0,824.0,MAR,2018
UD Slovenj Gradec,134.0,97.0,65.0,36.0,111.0,40.0,156.0,639.0,MAR,2018
UD Velenje,486.0,305.0,179.0,109.0,427.0,140.0,376.0,2022.0,MAR,2018
,,,,,,,,,MAR,2018
,,,,,,,,81220.0,MAR,2018
OS Celje,1291.0,1190.0,843.0,460.0,1525.0,703.0,2459.0,8471.0,APR,2018
UD Celje,501.0,508.0,296.0,162.0,521.0,215.0,718.0,2921.0,APR,2018
UD Laško,86.0,76.0,69.0,35.0,121.0,74.0,181.0,642.0,APR,2018
UD Slovenske Konjice,152.0,119.0,121.0,53.0,253.0,115.0,352.0,1165.0,APR,2018
UD Šentjur,112.0,117.0,74.0,44.0,130.0,53.0,265.0,795.0,APR,2018
UD Šmarje pri Jelšah,204.0,184.0,118.0,69.0,199.0,97.0,442.0,1313.0,APR,2018
UD Žalec,236.0,186.0,165.0,97.0,301.0,149.0,501.0,1635.0,APR,2018
OS Koper,940.0,896.0,556.0,321.0,900.0,361.0,1253.0,5227.0,APR,2018
UD Ilirska Bistrica,73.0,68.0,37.0,20.0,62.0,27.0,145.0,432.0,APR,2018
UD Izola,108.0,87.0,60.0,26.0,86.0,38.0,132.0,537.0,APR,2018
UD Koper,337.0,347.0,235.0,135.0,343.0,132.0,455.0,1984.0,APR,2018
UD Piran,117.0,136.0,85.0,48.0,129.0,43.0,162.0,720.0,APR,2018
UD Postojna,159.0,126.0,82.0,39.0,129.0,58.0,204.0,797.0,APR,2018
UD Sežana,146.0,132.0,57.0,53.0,151.0,63.0,155.0,757.0,APR,2018
OS Kranj,1086.0,928.0,586.0,340.0,891.0,342.0,880.0,5053.0,APR,2018
UD Jesenice,204.0,102.0,81.0,53.0,133.0,38.0,146.0,757.0,APR,2018
UD Kranj,446.0,429.0,272.0,167.0,409.0,167.0,404.0,2294.0,APR,2018
UD Radovljica,180.0,161.0,87.0,53.0,133.0,51.0,104.0,769.0,APR,2018
UD Škofja Loka,166.0,151.0,100.0,42.0,155.0,49.0,122.0,785.0,APR,2018
UD Tržič,90.0,85.0,46.0,25.0,61.0,37.0,104.0,448.0,APR,2018
OS Ljubljana,3277.0,3177.0,2348.0,1384.0,3912.0,1839.0,6997.0,22934.0,APR,2018
UD Cerknica,86.0,104.0,46.0,33.0,105.0,38.0,102.0,514.0,APR,2018
UD Domžale,299.0,251.0,187.0,114.0,286.0,112.0,368.0,1617.0,APR,2018
UD Grosuplje,185.0,175.0,132.0,64.0,204.0,85.0,410.0,1255.0,APR,2018
UD Kamnik,181.0,160.0,94.0,75.0,144.0,64.0,246.0,964.0,APR,2018
UD Kočevje,121.0,154.0,94.0,57.0,146.0,79.0,593.0,1244.0,APR,2018
UD Ljubljana,2153.0,2094.0,1624.0,965.0,2764.0,1335.0,4797.0,15732.0,APR,2018
UD Logatec,64.0,50.0,46.0,22.0,70.0,34.0,89.0,375.0,APR,2018
UD Ribnica,46.0,54.0,37.0,19.0,56.0,38.0,134.0,384.0,APR,2018
UD Vrhnika,142.0,135.0,88.0,35.0,137.0,54.0,258.0,849.0,APR,2018
OS Maribor,1736.0,1680.0,1165.0,671.0,2069.0,965.0,2388.0,10674.0,APR,2018
UD Lenart,95.0,95.0,50.0,25.0,80.0,33.0,36.0,414.0,APR,2018
UD Maribor,1205.0,1167.0,843.0,493.0,1484.0,715.0,1940.0,7847.0,APR,2018
UD Pesnica,106.0,128.0,64.0,44.0,165.0,52.0,120.0,679.0,APR,2018
UD Ruše,101.0,89.0,66.0,39.0,118.0,74.0,89.0,576.0,APR,2018
UD Slovenska Bistrica,229.0,201.0,142.0,70.0,222.0,91.0,203.0,1158.0,APR,2018
OS Murska Sobota,775.0,907.0,557.0,326.0,975.0,502.0,2231.0,6273.0,APR,2018
UD Gornja Radgona,126.0,154.0,84.0,47.0,176.0,94.0,298.0,979.0,APR,2018
UD Lendava,149.0,176.0,99.0,63.0,228.0,119.0,594.0,1428.0,APR,2018
UD Ljutomer,114.0,123.0,85.0,50.0,131.0,50.0,214.0,767.0,APR,2018
UD Murska Sobota,386.0,454.0,289.0,166.0,440.0,239.0,1125.0,3099.0,APR,2018
OS Nova Gorica,530.0,496.0,344.0,215.0,609.0,207.0,703.0,3104.0,APR,2018
UD Ajdovščina,116.0,98.0,77.0,42.0,146.0,48.0,227.0,754.0,APR,2018
UD Idrija,48.0,46.0,21.0,31.0,56.0,18.0,46.0,266.0,APR,2018
UD Nova Gorica,295.0,295.0,202.0,122.0,329.0,114.0,337.0,1694.0,APR,2018
UD Tolmin,71.0,57.0,44.0,20.0,78.0,27.0,93.0,390.0,APR,2018
OS Novo mesto,471.0,527.0,349.0,248.0,575.0,288.0,1303.0,3761.0,APR,2018
UD Črnomelj,89.0,122.0,66.0,49.0,122.0,61.0,440.0,949.0,APR,2018
UD Metlika,36.0,50.0,36.0,22.0,57.0,37.0,155.0,393.0,APR,2018
UD Novo mesto,268.0,279.0,199.0,142.0,313.0,153.0,522.0,1876.0,APR,2018
UD Trebnje,78.0,76.0,48.0,35.0,83.0,37.0,186.0,543.0,APR,2018
OS Ptuj,537.0,508.0,369.0,220.0,538.0,226.0,401.0,2799.0,APR,2018
UD Ormož,122.0,127.0,99.0,77.0,131.0,45.0,103.0,704.0,APR,2018
UD Ptuj,415.0,381.0,270.0,143.0,407.0,181.0,298.0,2095.0,APR,2018
OS Sevnica,404.0,366.0,292.0,155.0,476.0,262.0,1125.0,3080.0,APR,2018
UD Brežice,154.0,118.0,104.0,47.0,160.0,94.0,390.0,1067.0,APR,2018
UD Krško,167.0,149.0,132.0,68.0,207.0,130.0,556.0,1409.0,APR,2018
UD Sevnica,83.0,99.0,56.0,40.0,109.0,38.0,179.0,604.0,APR,2018
OS Trbovlje,356.0,359.0,243.0,146.0,428.0,206.0,639.0,2377.0,APR,2018
UD Hrastnik,64.0,61.0,42.0,23.0,65.0,29.0,138.0,422.0,APR,2018
UD Litija,76.0,73.0,61.0,37.0,87.0,42.0,140.0,516.0,APR,2018
UD Trbovlje,131.0,140.0,79.0,49.0,174.0,93.0,222.0,888.0,APR,2018
UD Zagorje,85.0,85.0,61.0,37.0,102.0,42.0,139.0,551.0,APR,2018
OS Velenje,873.0,785.0,553.0,259.0,893.0,377.0,1062.0,4802.0,APR,2018
UD Dravograd,57.0,43.0,33.0,10.0,53.0,28.0,64.0,288.0,APR,2018
UD Mozirje,109.0,102.0,79.0,43.0,104.0,45.0,118.0,600.0,APR,2018
UD Radlje ob Dravi,99.0,80.0,64.0,24.0,87.0,52.0,150.0,556.0,APR,2018
UD Ravne na Koroškem,152.0,140.0,80.0,41.0,112.0,70.0,200.0,795.0,APR,2018
UD Slovenj Gradec,122.0,90.0,82.0,33.0,111.0,44.0,155.0,637.0,APR,2018
UD Velenje,334.0,330.0,215.0,108.0,426.0,138.0,375.0,1926.0,APR,2018
,,,,,,,,,APR,2018
,,,,,,,,78555.0,APR,2018
OS Celje,1307.0,1049.0,894.0,465.0,1481.0,679.0,2447.0,8322.0,MAJ,2018
UD Celje,495.0,444.0,345.0,159.0,512.0,215.0,697.0,2867.0,MAJ,2018
UD Laško,86.0,72.0,66.0,43.0,114.0,70.0,183.0,634.0,MAJ,2018
UD Slovenske Konjice,168.0,105.0,117.0,58.0,244.0,111.0,358.0,1161.0,MAJ,2018
UD Šentjur,126.0,104.0,81.0,41.0,125.0,52.0,267.0,796.0,MAJ,2018
UD Šmarje pri Jelšah,186.0,158.0,124.0,72.0,187.0,98.0,440.0,1265.0,MAJ,2018
