Urad za delo,Do 2 mesecev,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,12 do 23 mesecev,24 do 35 mesecev,36 mesecev ali več,Skupaj,month,year
UD Lendava,172.0,133.0,50.0,31.0,121.0,67.0,371.0,945.0,MAR,2022
UD Ljutomer,103.0,71.0,43.0,24.0,75.0,38.0,86.0,440.0,MAR,2022
UD Murska Sobota,466.0,337.0,123.0,75.0,261.0,158.0,558.0,1978.0,MAR,2022
OS Nova Gorica,483.0,296.0,188.0,99.0,400.0,239.0,543.0,2248.0,MAR,2022
UD Ajdovščina,101.0,64.0,49.0,18.0,93.0,44.0,149.0,518.0,MAR,2022
UD Idrija,55.0,34.0,20.0,9.0,34.0,13.0,29.0,194.0,MAR,2022
UD Nova Gorica,255.0,151.0,102.0,63.0,229.0,151.0,299.0,1250.0,MAR,2022
UD Tolmin,72.0,47.0,17.0,9.0,44.0,31.0,66.0,286.0,MAR,2022
OS Novo mesto,598.0,318.0,243.0,134.0,476.0,293.0,981.0,3043.0,MAR,2022
UD Črnomelj,94.0,62.0,44.0,29.0,119.0,64.0,299.0,711.0,MAR,2022
UD Metlika,45.0,31.0,30.0,6.0,42.0,35.0,143.0,332.0,MAR,2022
UD Novo mesto,377.0,192.0,144.0,80.0,249.0,159.0,415.0,1616.0,MAR,2022
UD Trebnje,82.0,33.0,25.0,19.0,66.0,35.0,124.0,384.0,MAR,2022
OS Ptuj,465.0,319.0,264.0,144.0,462.0,261.0,386.0,2301.0,MAR,2022
UD Ormož,100.0,68.0,99.0,45.0,66.0,39.0,79.0,496.0,MAR,2022
UD Ptuj,365.0,251.0,165.0,99.0,396.0,222.0,307.0,1805.0,MAR,2022
OS Sevnica,425.0,270.0,197.0,100.0,436.0,251.0,1026.0,2705.0,MAR,2022
UD Brežice,168.0,91.0,77.0,25.0,147.0,74.0,325.0,907.0,MAR,2022
UD Krško,169.0,121.0,77.0,45.0,168.0,126.0,564.0,1270.0,MAR,2022
UD Sevnica,88.0,58.0,43.0,30.0,121.0,51.0,137.0,528.0,MAR,2022
OS Trbovlje,341.0,230.0,163.0,95.0,380.0,228.0,558.0,1995.0,MAR,2022
UD Hrastnik,46.0,37.0,30.0,21.0,64.0,40.0,132.0,370.0,MAR,2022
UD Litija,109.0,67.0,36.0,23.0,106.0,46.0,79.0,466.0,MAR,2022
UD Trbovlje,117.0,73.0,43.0,34.0,137.0,94.0,251.0,749.0,MAR,2022
UD Zagorje,69.0,53.0,54.0,17.0,73.0,48.0,96.0,410.0,MAR,2022
OS Velenje,806.0,552.0,325.0,198.0,688.0,321.0,741.0,3631.0,MAR,2022
UD Dravograd,53.0,35.0,23.0,6.0,29.0,16.0,38.0,200.0,MAR,2022
UD Mozirje,86.0,64.0,38.0,20.0,68.0,34.0,66.0,376.0,MAR,2022
UD Radlje ob Dravi,76.0,63.0,23.0,18.0,73.0,51.0,137.0,441.0,MAR,2022
UD Ravne na Koroškem,136.0,103.0,51.0,32.0,82.0,43.0,134.0,581.0,MAR,2022
UD Slovenj Gradec,150.0,100.0,69.0,33.0,78.0,52.0,121.0,603.0,MAR,2022
UD Velenje,305.0,187.0,121.0,89.0,358.0,125.0,245.0,1430.0,MAR,2022
OS Celje,957.0,939.0,601.0,311.0,1076.0,638.0,1871.0,6393.0,APR,2022
UD Celje,372.0,366.0,219.0,109.0,352.0,189.0,414.0,2021.0,APR,2022
UD Laško,62.0,55.0,31.0,36.0,73.0,45.0,137.0,439.0,APR,2022
UD Slovenske Konjice,102.0,95.0,72.0,45.0,172.0,86.0,336.0,908.0,APR,2022
UD Šentjur,94.0,67.0,61.0,24.0,103.0,73.0,224.0,646.0,APR,2022
UD Šmarje pri Jelšah,140.0,167.0,100.0,56.0,191.0,118.0,427.0,1199.0,APR,2022
UD Žalec,187.0,189.0,118.0,41.0,185.0,127.0,333.0,1180.0,APR,2022
OS Koper,678.0,642.0,404.0,197.0,692.0,466.0,871.0,3950.0,APR,2022
UD Ilirska Bistrica,37.0,36.0,18.0,13.0,26.0,26.0,84.0,240.0,APR,2022
UD Izola,78.0,74.0,53.0,18.0,72.0,33.0,63.0,391.0,APR,2022
UD Koper,289.0,258.0,171.0,92.0,328.0,236.0,377.0,1751.0,APR,2022
UD Piran,101.0,114.0,69.0,26.0,101.0,65.0,97.0,573.0,APR,2022
UD Postojna,82.0,81.0,48.0,21.0,70.0,47.0,129.0,478.0,APR,2022
UD Sežana,91.0,79.0,45.0,27.0,95.0,59.0,121.0,517.0,APR,2022
OS Kranj,710.0,683.0,402.0,201.0,682.0,419.0,424.0,3521.0,APR,2022
UD Jesenice,119.0,104.0,54.0,20.0,90.0,63.0,52.0,502.0,APR,2022
UD Kranj,316.0,310.0,185.0,95.0,310.0,200.0,240.0,1656.0,APR,2022
UD Radovljica,109.0,119.0,66.0,33.0,127.0,84.0,63.0,601.0,APR,2022
UD Škofja Loka,111.0,102.0,69.0,37.0,115.0,46.0,50.0,530.0,APR,2022
UD Tržič,55.0,48.0,28.0,16.0,40.0,26.0,19.0,232.0,APR,2022
OS Ljubljana,2332.0,2003.0,1416.0,834.0,3123.0,2259.0,5091.0,17058.0,APR,2022
UD Cerknica,56.0,43.0,34.0,11.0,52.0,20.0,45.0,261.0,APR,2022
UD Domžale,202.0,191.0,132.0,78.0,261.0,207.0,372.0,1443.0,APR,2022
UD Grosuplje,156.0,127.0,77.0,56.0,139.0,92.0,205.0,852.0,APR,2022
UD Kamnik,123.0,94.0,74.0,38.0,130.0,90.0,203.0,752.0,APR,2022
UD Kočevje,88.0,78.0,64.0,36.0,104.0,89.0,289.0,748.0,APR,2022
UD Ljubljana,1489.0,1314.0,930.0,555.0,2238.0,1615.0,3727.0,11868.0,APR,2022
UD Logatec,63.0,48.0,18.0,20.0,37.0,29.0,60.0,275.0,APR,2022
UD Ribnica,44.0,29.0,18.0,9.0,48.0,34.0,63.0,245.0,APR,2022
UD Vrhnika,111.0,79.0,69.0,31.0,114.0,83.0,127.0,614.0,APR,2022
OS Maribor,1246.0,1159.0,759.0,398.0,1345.0,957.0,2146.0,8010.0,APR,2022
UD Lenart,64.0,79.0,35.0,13.0,49.0,16.0,11.0,267.0,APR,2022
UD Maribor,853.0,775.0,542.0,277.0,949.0,757.0,1861.0,6014.0,APR,2022
UD Pesnica,99.0,89.0,68.0,37.0,84.0,52.0,90.0,519.0,APR,2022
UD Ruše,74.0,50.0,29.0,18.0,74.0,46.0,78.0,369.0,APR,2022
UD Slovenska Bistrica,156.0,166.0,85.0,53.0,189.0,86.0,106.0,841.0,APR,2022
OS Murska Sobota,571.0,666.0,319.0,160.0,493.0,293.0,1143.0,3645.0,APR,2022
UD Gornja Radgona,79.0,89.0,38.0,29.0,66.0,38.0,155.0,494.0,APR,2022
UD Lendava,115.0,136.0,74.0,28.0,115.0,66.0,363.0,897.0,APR,2022
UD Ljutomer,82.0,83.0,36.0,24.0,75.0,32.0,81.0,413.0,APR,2022
UD Murska Sobota,295.0,358.0,171.0,79.0,237.0,157.0,544.0,1841.0,APR,2022
OS Nova Gorica,393.0,326.0,198.0,109.0,363.0,234.0,526.0,2149.0,APR,2022
UD Ajdovščina,82.0,64.0,52.0,24.0,86.0,47.0,145.0,500.0,APR,2022
UD Idrija,48.0,38.0,19.0,11.0,34.0,10.0,29.0,189.0,APR,2022
UD Nova Gorica,212.0,176.0,104.0,63.0,204.0,150.0,288.0,1197.0,APR,2022
UD Tolmin,51.0,48.0,23.0,11.0,39.0,27.0,64.0,263.0,APR,2022
OS Novo mesto,505.0,436.0,259.0,149.0,456.0,279.0,987.0,3071.0,APR,2022
UD Črnomelj,88.0,76.0,50.0,29.0,117.0,62.0,300.0,722.0,APR,2022
UD Metlika,40.0,38.0,33.0,11.0,35.0,34.0,143.0,334.0,APR,2022
UD Novo mesto,301.0,275.0,153.0,90.0,246.0,150.0,420.0,1635.0,APR,2022
UD Trebnje,76.0,47.0,23.0,19.0,58.0,33.0,124.0,380.0,APR,2022
OS Ptuj,384.0,342.0,238.0,192.0,425.0,263.0,380.0,2224.0,APR,2022
UD Ormož,91.0,80.0,47.0,95.0,59.0,38.0,78.0,488.0,APR,2022
UD Ptuj,293.0,262.0,191.0,97.0,366.0,225.0,302.0,1736.0,APR,2022
OS Sevnica,358.0,274.0,233.0,104.0,410.0,239.0,987.0,2605.0,APR,2022
UD Brežice,122.0,101.0,84.0,31.0,144.0,74.0,325.0,881.0,APR,2022
UD Krško,157.0,112.0,101.0,42.0,163.0,117.0,547.0,1239.0,APR,2022
UD Sevnica,79.0,61.0,48.0,31.0,103.0,48.0,115.0,485.0,APR,2022
OS Trbovlje,287.0,234.0,181.0,95.0,349.0,231.0,548.0,1925.0,APR,2022
UD Hrastnik,40.0,35.0,33.0,20.0,61.0,43.0,131.0,363.0,APR,2022
