Občina,Do 2 mesecev,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,12 do 23 mesecev,24 do 35 mesecev,36 mesecev ali več,Skupaj,month,year
Lukovica,27.0,14.0,6.0,9.0,34.0,23.0,39.0,152.0,DEC,2021
Majšperk,26.0,9.0,6.0,6.0,37.0,10.0,12.0,106.0,DEC,2021
Makole,12.0,7.0,7.0,6.0,14.0,3.0,14.0,63.0,DEC,2021
Maribor,892.0,523.0,242.0,276.0,1081.0,562.0,1540.0,5116.0,DEC,2021
Markovci,22.0,11.0,7.0,6.0,29.0,9.0,14.0,98.0,DEC,2021
Medvode,68.0,51.0,34.0,41.0,95.0,49.0,125.0,463.0,DEC,2021
Mengeš,38.0,25.0,13.0,16.0,50.0,25.0,58.0,225.0,DEC,2021
Metlika,49.0,41.0,12.0,17.0,68.0,30.0,160.0,377.0,DEC,2021
Mežica,31.0,12.0,2.0,6.0,8.0,11.0,16.0,86.0,DEC,2021
Miklavž na Dravskem polju,46.0,22.0,14.0,11.0,44.0,31.0,56.0,224.0,DEC,2021
Miren - Kostanjevica,22.0,13.0,3.0,7.0,24.0,8.0,18.0,95.0,DEC,2021
Mirna,13.0,2.0,0.0,5.0,6.0,2.0,11.0,39.0,DEC,2021
Mirna Peč,8.0,6.0,5.0,3.0,14.0,4.0,16.0,56.0,DEC,2021
Mislinja,37.0,20.0,13.0,10.0,21.0,9.0,16.0,126.0,DEC,2021
Mokronog - Trebelno,10.0,11.0,3.0,5.0,14.0,5.0,12.0,60.0,DEC,2021
Moravče,18.0,15.0,7.0,6.0,29.0,8.0,19.0,102.0,DEC,2021
Moravske Toplice,55.0,18.0,6.0,17.0,35.0,13.0,44.0,188.0,DEC,2021
Mozirje,33.0,12.0,3.0,8.0,31.0,9.0,23.0,119.0,DEC,2021
Murska Sobota,196.0,84.0,40.0,44.0,127.0,74.0,214.0,779.0,DEC,2021
Muta,29.0,17.0,3.0,7.0,12.0,11.0,24.0,103.0,DEC,2021
Naklo,47.0,11.0,7.0,11.0,27.0,11.0,16.0,130.0,DEC,2021
Nazarje,18.0,13.0,8.0,6.0,8.0,2.0,12.0,67.0,DEC,2021
Nova Gorica,130.0,89.0,46.0,59.0,180.0,91.0,183.0,778.0,DEC,2021
Novo mesto,198.0,140.0,61.0,66.0,210.0,108.0,287.0,1070.0,DEC,2021
Odranci,15.0,2.0,2.0,1.0,6.0,2.0,15.0,43.0,DEC,2021
Oplotnica,16.0,10.0,4.0,9.0,23.0,8.0,16.0,86.0,DEC,2021
Ormož,121.0,129.0,44.0,24.0,71.0,38.0,60.0,487.0,DEC,2021
Osilnica,1.0,2.0,0.0,0.0,3.0,0.0,3.0,9.0,DEC,2021
Pesnica,69.0,32.0,10.0,13.0,52.0,13.0,43.0,232.0,DEC,2021
Piran,185.0,96.0,34.0,59.0,164.0,69.0,121.0,728.0,DEC,2021
Pivka,23.0,17.0,5.0,11.0,32.0,11.0,42.0,141.0,DEC,2021
Podčetrtek,23.0,9.0,6.0,12.0,23.0,11.0,35.0,119.0,DEC,2021
Podlehnik,10.0,10.0,3.0,3.0,14.0,9.0,15.0,64.0,DEC,2021
Podvelka,20.0,3.0,1.0,2.0,19.0,5.0,27.0,77.0,DEC,2021
Poljčane,28.0,11.0,9.0,8.0,31.0,9.0,19.0,115.0,DEC,2021
Polzela,41.0,23.0,7.0,12.0,50.0,16.0,43.0,192.0,DEC,2021
Postojna,87.0,50.0,22.0,34.0,85.0,32.0,117.0,427.0,DEC,2021
Prebold,35.0,16.0,8.0,12.0,30.0,18.0,47.0,166.0,DEC,2021
