Občina,Do 2 mesecev,3 do 5 mesecev,6 do 8 mesecev,9 do 11 mesecev,12 do 23 mesecev,24 do 35 mesecev,36 mesecev ali več,Skupaj,month,year
AJDOVŠČINA,158.0,104.0,47.0,34.0,114.0,48.0,194.0,699.0,JAN,2018
ANKARAN,36.0,18.0,9.0,9.0,13.0,6.0,30.0,121.0,JAN,2018
APAČE,66.0,23.0,9.0,10.0,46.0,12.0,53.0,219.0,JAN,2018
BELTINCI,195.0,72.0,36.0,28.0,75.0,36.0,147.0,589.0,JAN,2018
BENEDIKT,39.0,14.0,5.0,4.0,16.0,3.0,6.0,87.0,JAN,2018
BISTRICA OB SOTLI,12.0,5.0,4.0,6.0,4.0,4.0,14.0,49.0,JAN,2018
BLED,78.0,41.0,18.0,16.0,29.0,16.0,27.0,225.0,JAN,2018
BLOKE,19.0,5.0,3.0,1.0,18.0,6.0,13.0,65.0,JAN,2018
BOHINJ,56.0,27.0,12.0,10.0,13.0,5.0,14.0,137.0,JAN,2018
BOROVNICA,46.0,24.0,11.0,2.0,43.0,13.0,54.0,193.0,JAN,2018
BOVEC,43.0,15.0,3.0,10.0,13.0,6.0,11.0,101.0,JAN,2018
BRASLOVČE,53.0,34.0,18.0,19.0,26.0,10.0,43.0,203.0,JAN,2018
BRDA,46.0,18.0,14.0,5.0,27.0,8.0,15.0,133.0,JAN,2018
BREZOVICA,86.0,54.0,26.0,18.0,83.0,32.0,99.0,398.0,JAN,2018
BREŽICE,231.0,142.0,70.0,37.0,198.0,88.0,392.0,1158.0,JAN,2018
CANKOVA,41.0,15.0,5.0,5.0,18.0,13.0,43.0,140.0,JAN,2018
CELJE,785.0,344.0,176.0,127.0,492.0,213.0,677.0,2814.0,JAN,2018
CERKLJE NA GORENJSKEM,66.0,31.0,16.0,9.0,36.0,10.0,21.0,189.0,JAN,2018
CERKNICA,124.0,60.0,29.0,22.0,83.0,43.0,83.0,444.0,JAN,2018
CERKNO,21.0,11.0,8.0,6.0,16.0,5.0,13.0,80.0,JAN,2018
CERKVENJAK,26.0,7.0,5.0,4.0,10.0,5.0,3.0,60.0,JAN,2018
CIRKULANE,28.0,13.0,5.0,4.0,18.0,11.0,16.0,95.0,JAN,2018
ČRENŠOVCI,76.0,22.0,14.0,19.0,36.0,24.0,126.0,317.0,JAN,2018
ČRNA NA KOROŠKEM,32.0,14.0,7.0,4.0,10.0,8.0,28.0,103.0,JAN,2018
ČRNOMELJ,145.0,80.0,55.0,26.0,108.0,68.0,395.0,877.0,JAN,2018
DESTRNIK,30.0,11.0,7.0,4.0,15.0,6.0,9.0,82.0,JAN,2018
DIVAČA,40.0,23.0,11.0,8.0,37.0,12.0,31.0,162.0,JAN,2018
DOBJE,8.0,4.0,2.0,2.0,5.0,3.0,12.0,36.0,JAN,2018
DOBREPOLJE,25.0,15.0,11.0,6.0,21.0,7.0,37.0,122.0,JAN,2018
DOBRNA,18.0,15.0,2.0,3.0,8.0,4.0,11.0,61.0,JAN,2018
DOBROVA-POLHOV GRADEC,44.0,31.0,11.0,13.0,41.0,14.0,39.0,193.0,JAN,2018
DOBROVNIK,26.0,9.0,5.0,5.0,28.0,5.0,40.0,118.0,JAN,2018
DOL PRI LJUBLJANI,52.0,20.0,23.0,6.0,42.0,15.0,50.0,208.0,JAN,2018
DOLENJSKE TOPLICE,17.0,9.0,6.0,2.0,16.0,2.0,27.0,79.0,JAN,2018
DOMŽALE,273.0,157.0,92.0,52.0,219.0,81.0,282.0,1156.0,JAN,2018
DORNAVA,29.0,9.0,2.0,5.0,12.0,7.0,11.0,75.0,JAN,2018
DRAVOGRAD,112.0,51.0,12.0,12.0,61.0,30.0,68.0,346.0,JAN,2018
DUPLEK,79.0,47.0,19.0,13.0,67.0,25.0,67.0,317.0,JAN,2018
GORENJA VAS-POLJANE,36.0,28.0,7.0,10.0,22.0,10.0,23.0,136.0,JAN,2018
GORIŠNICA,40.0,25.0,8.0,10.0,26.0,9.0,25.0,143.0,JAN,2018
GORJE,34.0,6.0,9.0,8.0,11.0,10.0,8.0,86.0,JAN,2018
GORNJA RADGONA,159.0,60.0,21.0,18.0,86.0,47.0,123.0,514.0,JAN,2018
GORNJI GRAD,20.0,20.0,8.0,4.0,8.0,5.0,15.0,80.0,JAN,2018
GORNJI PETROVCI,57.0,16.0,9.0,3.0,16.0,9.0,23.0,133.0,JAN,2018
GRAD,54.0,4.0,7.0,5.0,9.0,11.0,31.0,121.0,JAN,2018
GROSUPLJE,160.0,97.0,45.0,34.0,128.0,64.0,252.0,780.0,JAN,2018
HAJDINA,44.0,22.0,10.0,4.0,25.0,13.0,14.0,132.0,JAN,2018
HOČE-SLIVNICA,122.0,94.0,55.0,27.0,89.0,39.0,113.0,539.0,JAN,2018
HODOŠ,3.0,0.0,2.0,1.0,2.0,1.0,5.0,14.0,JAN,2018
HORJUL,23.0,7.0,2.0,2.0,16.0,1.0,17.0,68.0,JAN,2018
HRASTNIK,104.0,63.0,31.0,31.0,73.0,39.0,153.0,494.0,JAN,2018
HRPELJE-KOZINA,43.0,22.0,11.0,11.0,26.0,10.0,34.0,157.0,JAN,2018
IDRIJA,73.0,31.0,39.0,16.0,44.0,13.0,37.0,253.0,JAN,2018
IG,39.0,31.0,12.0,14.0,41.0,15.0,51.0,203.0,JAN,2018
ILIRSKA BISTRICA,118.0,59.0,30.0,21.0,63.0,28.0,148.0,467.0,JAN,2018
IVANČNA GORICA,105.0,74.0,40.0,18.0,69.0,32.0,140.0,478.0,JAN,2018
IZOLA,212.0,108.0,34.0,36.0,99.0,44.0,128.0,661.0,JAN,2018
JESENICE,192.0,100.0,54.0,30.0,103.0,34.0,130.0,643.0,JAN,2018
JEZERSKO,3.0,4.0,1.0,2.0,4.0,0.0,1.0,15.0,JAN,2018
JURŠINCI,30.0,16.0,7.0,1.0,14.0,4.0,7.0,79.0,JAN,2018
KAMNIK,230.0,130.0,87.0,50.0,129.0,59.0,246.0,931.0,JAN,2018
KANAL,43.0,40.0,13.0,12.0,40.0,8.0,36.0,192.0,JAN,2018
KIDRIČEVO,64.0,36.0,17.0,13.0,43.0,18.0,31.0,222.0,JAN,2018
KOBARID,32.0,19.0,8.0,8.0,19.0,3.0,17.0,106.0,JAN,2018
KOBILJE,9.0,6.0,2.0,1.0,6.0,3.0,8.0,35.0,JAN,2018
KOČEVJE,208.0,118.0,69.0,47.0,147.0,92.0,603.0,1284.0,JAN,2018
KOMEN,20.0,10.0,6.0,8.0,23.0,16.0,24.0,107.0,JAN,2018
KOMENDA,50.0,28.0,17.0,12.0,19.0,13.0,24.0,163.0,JAN,2018
KOPER,496.0,304.0,155.0,115.0,323.0,123.0,451.0,1967.0,JAN,2018
KOSTANJEVICA NA KRKI,14.0,11.0,5.0,6.0,18.0,4.0,31.0,89.0,JAN,2018
KOSTEL,10.0,6.0,1.0,1.0,6.0,2.0,9.0,35.0,JAN,2018
KOZJE,24.0,16.0,3.0,8.0,21.0,9.0,53.0,134.0,JAN,2018
KRANJ,626.0,265.0,148.0,112.0,297.0,143.0,360.0,1951.0,JAN,2018
KRANJSKA GORA,24.0,17.0,11.0,13.0,28.0,9.0,24.0,126.0,JAN,2018
KRIŽEVCI,44.0,16.0,7.0,9.0,21.0,7.0,34.0,138.0,JAN,2018
KRŠKO,374.0,167.0,87.0,58.0,213.0,130.0,526.0,1555.0,JAN,2018
KUNGOTA,68.0,26.0,19.0,8.0,41.0,25.0,37.0,224.0,JAN,2018
KUZMA,37.0,8.0,4.0,2.0,5.0,1.0,25.0,82.0,JAN,2018
LAŠKO,118.0,82.0,31.0,38.0,106.0,67.0,157.0,599.0,JAN,2018
LENART,91.0,40.0,10.0,13.0,34.0,22.0,22.0,232.0,JAN,2018
LENDAVA,164.0,83.0,38.0,43.0,143.0,65.0,338.0,874.0,JAN,2018
LITIJA,105.0,80.0,37.0,36.0,72.0,44.0,138.0,512.0,JAN,2018
LJUBLJANA,2606.0,1610.0,925.0,648.0,2172.0,1132.0,4045.0,13138.0,JAN,2018
LJUBNO,22.0,17.0,9.0,2.0,21.0,8.0,13.0,92.0,JAN,2018
LJUTOMER,197.0,87.0,46.0,27.0,96.0,51.0,162.0,666.0,JAN,2018
LOG - DRAGOMER,26.0,26.0,8.0,5.0,22.0,5.0,36.0,128.0,JAN,2018
LOGATEC,101.0,72.0,29.0,20.0,78.0,35.0,111.0,446.0,JAN,2018
LOŠKA DOLINA,52.0,9.0,24.0,9.0,28.0,9.0,36.0,167.0,JAN,2018
LOŠKI POTOK,21.0,5.0,5.0,1.0,14.0,9.0,20.0,75.0,JAN,2018
LOVRENC NA POHORJU,38.0,15.0,14.0,15.0,22.0,18.0,20.0,142.0,JAN,2018
LUČE,22.0,17.0,10.0,0.0,10.0,5.0,13.0,77.0,JAN,2018
LUKOVICA,29.0,32.0,7.0,5.0,25.0,16.0,40.0,154.0,JAN,2018
MAJŠPERK,42.0,21.0,12.0,6.0,23.0,15.0,12.0,131.0,JAN,2018
MAKOLE,28.0,10.0,4.0,4.0,13.0,8.0,12.0,79.0,JAN,2018
MARIBOR,1555.0,836.0,439.0,395.0,1144.0,587.0,1643.0,6599.0,JAN,2018
MARKOVCI,30.0,37.0,11.0,8.0,22.0,9.0,19.0,136.0,JAN,2018
MEDVODE,127.0,68.0,41.0,38.0,110.0,45.0,134.0,563.0,JAN,2018
MENGEŠ,70.0,35.0,16.0,13.0,49.0,18.0,51.0,252.0,JAN,2018
METLIKA,99.0,53.0,33.0,21.0,62.0,44.0,168.0,480.0,JAN,2018
MEŽICA,31.0,19.0,5.0,2.0,16.0,8.0,26.0,107.0,JAN,2018
MIKLAVŽ NA DRAVSKEM POLJU,76.0,36.0,20.0,18.0,56.0,28.0,55.0,289.0,JAN,2018
MIREN-KOSTANJEVICA,21.0,23.0,12.0,5.0,15.0,9.0,30.0,115.0,JAN,2018
MIRNA,11.0,13.0,6.0,2.0,12.0,3.0,26.0,73.0,JAN,2018
MIRNA PEČ,16.0,4.0,9.0,5.0,12.0,8.0,13.0,67.0,JAN,2018
MISLINJA,24.0,22.0,10.0,6.0,14.0,7.0,21.0,104.0,JAN,2018
MOKRONOG-TREBELNO,12.0,20.0,9.0,4.0,12.0,4.0,19.0,80.0,JAN,2018
MORAVČE,16.0,13.0,14.0,9.0,21.0,12.0,31.0,116.0,JAN,2018
MORAVSKE TOPLICE,109.0,29.0,22.0,17.0,42.0,30.0,102.0,351.0,JAN,2018
MOZIRJE,28.0,18.0,9.0,6.0,42.0,6.0,39.0,148.0,JAN,2018
MURSKA SOBOTA,281.0,144.0,74.0,39.0,196.0,93.0,442.0,1269.0,JAN,2018
MUTA,44.0,21.0,9.0,5.0,15.0,13.0,29.0,136.0,JAN,2018
NAKLO,51.0,21.0,7.0,5.0,13.0,5.0,29.0,131.0,JAN,2018
NAZARJE,20.0,19.0,9.0,7.0,23.0,8.0,23.0,109.0,JAN,2018
NOVA GORICA,263.0,157.0,95.0,67.0,204.0,70.0,223.0,1079.0,JAN,2018
NOVO MESTO,331.0,172.0,90.0,66.0,211.0,107.0,344.0,1321.0,JAN,2018
ODRANCI,44.0,6.0,4.0,5.0,6.0,5.0,26.0,96.0,JAN,2018
OPLOTNICA,39.0,20.0,10.0,11.0,27.0,9.0,14.0,130.0,JAN,2018
ORMOŽ,207.0,117.0,84.0,26.0,124.0,28.0,92.0,678.0,JAN,2018
OSILNICA,7.0,1.0,2.0,2.0,6.0,0.0,5.0,23.0,JAN,2018
PESNICA,108.0,45.0,16.0,27.0,60.0,20.0,53.0,329.0,JAN,2018
PIRAN,288.0,125.0,55.0,45.0,131.0,52.0,181.0,877.0,JAN,2018
PIVKA,52.0,43.0,10.0,8.0,46.0,20.0,55.0,234.0,JAN,2018
PODČETRTEK,35.0,17.0,5.0,3.0,29.0,9.0,40.0,138.0,JAN,2018
PODLEHNIK,29.0,11.0,5.0,7.0,9.0,5.0,10.0,76.0,JAN,2018
PODVELKA,28.0,15.0,3.0,2.0,18.0,7.0,25.0,98.0,JAN,2018
POLJČANE,49.0,27.0,4.0,5.0,23.0,15.0,38.0,161.0,JAN,2018
POLZELA,47.0,38.0,20.0,16.0,47.0,22.0,51.0,241.0,JAN,2018
POSTOJNA,194.0,98.0,45.0,26.0,111.0,43.0,164.0,681.0,JAN,2018
PREBOLD,28.0,26.0,4.0,15.0,43.0,17.0,76.0,209.0,JAN,2018
PREDDVOR,25.0,14.0,10.0,11.0,16.0,6.0,12.0,94.0,JAN,2018
PREVALJE,83.0,36.0,14.0,11.0,41.0,21.0,55.0,261.0,JAN,2018
PTUJ,259.0,172.0,84.0,56.0,186.0,87.0,125.0,969.0,JAN,2018
PUCONCI,93.0,47.0,18.0,21.0,57.0,33.0,132.0,401.0,JAN,2018
RAČE-FRAM,65.0,50.0,27.0,19.0,52.0,35.0,72.0,320.0,JAN,2018
RADEČE,33.0,24.0,15.0,13.0,32.0,14.0,41.0,172.0,JAN,2018
RADENCI,70.0,30.0,13.0,5.0,41.0,27.0,83.0,269.0,JAN,2018
RADLJE OB DRAVI,93.0,34.0,14.0,7.0,41.0,22.0,63.0,274.0,JAN,2018
RADOVLJICA,154.0,62.0,41.0,32.0,82.0,38.0,68.0,477.0,JAN,2018
RAVNE NA KOROŠKEM,114.0,61.0,28.0,14.0,68.0,36.0,101.0,422.0,JAN,2018
RAZKRIŽJE,21.0,11.0,4.0,3.0,15.0,0.0,13.0,67.0,JAN,2018
REČICA OB SAVINJI,29.0,15.0,1.0,3.0,18.0,5.0,23.0,94.0,JAN,2018
RENČE-VOGRSKO,33.0,20.0,12.0,8.0,20.0,5.0,18.0,116.0,JAN,2018
RIBNICA,65.0,51.0,19.0,13.0,57.0,32.0,104.0,341.0,JAN,2018
RIBNICA NA POHORJU,18.0,9.0,2.0,4.0,6.0,6.0,17.0,62.0,JAN,2018
ROGAŠKA SLATINA,128.0,74.0,42.0,18.0,90.0,40.0,169.0,561.0,JAN,2018
ROGAŠOVCI,49.0,25.0,15.0,13.0,24.0,13.0,102.0,241.0,JAN,2018
ROGATEC,47.0,22.0,7.0,7.0,28.0,8.0,53.0,172.0,JAN,2018
RUŠE,104.0,54.0,22.0,12.0,65.0,42.0,54.0,353.0,JAN,2018
SELNICA OB DRAVI,52.0,22.0,11.0,13.0,42.0,14.0,28.0,182.0,JAN,2018
SEMIČ,37.0,23.0,10.0,10.0,28.0,15.0,81.0,204.0,JAN,2018
SEVNICA,146.0,75.0,52.0,34.0,115.0,45.0,193.0,660.0,JAN,2018
SEŽANA,154.0,50.0,39.0,29.0,97.0,48.0,83.0,500.0,JAN,2018
SLOVENJ GRADEC,141.0,103.0,43.0,32.0,113.0,37.0,156.0,625.0,JAN,2018
SLOVENSKA BISTRICA,300.0,169.0,87.0,52.0,177.0,80.0,167.0,1032.0,JAN,2018
SLOVENSKE KONJICE,204.0,87.0,36.0,45.0,148.0,76.0,243.0,839.0,JAN,2018
SODRAŽICA,17.0,4.0,4.0,2.0,5.0,10.0,15.0,57.0,JAN,2018
SOLČAVA,9.0,5.0,1.0,1.0,2.0,1.0,3.0,22.0,JAN,2018
SREDIŠČE OB DRAVI,24.0,19.0,10.0,8.0,14.0,8.0,10.0,93.0,JAN,2018
STARŠE,38.0,33.0,15.0,8.0,28.0,15.0,31.0,168.0,JAN,2018
STRAŽA,24.0,13.0,13.0,5.0,10.0,10.0,19.0,94.0,JAN,2018
SVETA ANA,49.0,6.0,8.0,4.0,12.0,6.0,7.0,92.0,JAN,2018
SVETA TROJICA V SLOVENSKIH GORICAH,23.0,11.0,9.0,3.0,8.0,4.0,10.0,68.0,JAN,2018
SVETI ANDRAŽ V SLOV. GORICAH,10.0,5.0,2.0,1.0,7.0,2.0,2.0,29.0,JAN,2018
SVETI JURIJ OB ŠČAVNICI,51.0,18.0,11.0,6.0,29.0,11.0,53.0,179.0,JAN,2018
SVETI JURIJ V SLOVENSKIH GORICAH,28.0,6.0,4.0,0.0,7.0,1.0,3.0,49.0,JAN,2018
SVETI TOMAŽ,28.0,13.0,10.0,4.0,17.0,9.0,13.0,94.0,JAN,2018
ŠALOVCI,26.0,10.0,5.0,6.0,6.0,2.0,26.0,81.0,JAN,2018
ŠEMPETER-VRTOJBA,47.0,35.0,16.0,11.0,29.0,15.0,38.0,191.0,JAN,2018
ŠENČUR,61.0,37.0,17.0,10.0,41.0,12.0,33.0,211.0,JAN,2018
ŠENTILJ,124.0,41.0,25.0,21.0,80.0,21.0,46.0,358.0,JAN,2018
ŠENTJERNEJ,48.0,33.0,17.0,11.0,36.0,21.0,69.0,235.0,JAN,2018
ŠENTJUR,175.0,109.0,45.0,48.0,114.0,51.0,245.0,787.0,JAN,2018
ŠENTRUPERT,16.0,11.0,6.0,3.0,18.0,5.0,18.0,77.0,JAN,2018
ŠKOCJAN,27.0,20.0,15.0,7.0,26.0,13.0,44.0,152.0,JAN,2018
ŠKOFJA LOKA,187.0,102.0,38.0,29.0,115.0,36.0,100.0,607.0,JAN,2018
ŠKOFLJICA,69.0,48.0,30.0,24.0,65.0,22.0,78.0,336.0,JAN,2018
ŠMARJE PRI JELŠAH,109.0,60.0,39.0,11.0,73.0,38.0,145.0,475.0,JAN,2018
ŠMARJEŠKE TOPLICE,24.0,16.0,5.0,5.0,17.0,7.0,11.0,85.0,JAN,2018
ŠMARTNO OB PAKI,35.0,14.0,6.0,9.0,23.0,12.0,20.0,119.0,JAN,2018
ŠMARTNO PRI LITIJI,31.0,21.0,14.0,10.0,21.0,11.0,43.0,151.0,JAN,2018
ŠOŠTANJ,101.0,51.0,25.0,28.0,63.0,30.0,59.0,357.0,JAN,2018
ŠTORE,49.0,18.0,15.0,6.0,33.0,8.0,41.0,170.0,JAN,2018
TABOR,13.0,13.0,5.0,3.0,6.0,1.0,21.0,62.0,JAN,2018
TIŠINA,72.0,41.0,18.0,4.0,33.0,27.0,78.0,273.0,JAN,2018
TOLMIN,70.0,48.0,19.0,16.0,52.0,22.0,71.0,298.0,JAN,2018
TRBOVLJE,221.0,114.0,66.0,55.0,198.0,102.0,241.0,997.0,JAN,2018
TREBNJE,104.0,52.0,33.0,16.0,61.0,39.0,147.0,452.0,JAN,2018
TRNOVSKA VAS,16.0,6.0,3.0,2.0,6.0,2.0,3.0,38.0,JAN,2018
TRZIN,24.0,29.0,11.0,6.0,20.0,8.0,18.0,116.0,JAN,2018
TRŽIČ,160.0,76.0,39.0,26.0,79.0,39.0,115.0,534.0,JAN,2018
TURNIŠČE,61.0,26.0,15.0,10.0,24.0,18.0,82.0,236.0,JAN,2018
VELENJE,474.0,216.0,103.0,118.0,301.0,113.0,300.0,1625.0,JAN,2018
VELIKA POLANA,19.0,8.0,5.0,4.0,11.0,5.0,31.0,83.0,JAN,2018
VELIKE LAŠČE,32.0,13.0,9.0,3.0,11.0,11.0,31.0,110.0,JAN,2018
VERŽEJ,21.0,8.0,5.0,1.0,10.0,4.0,6.0,55.0,JAN,2018
VIDEM,59.0,26.0,14.0,14.0,33.0,9.0,37.0,192.0,JAN,2018
VIPAVA,40.0,26.0,12.0,16.0,46.0,17.0,39.0,196.0,JAN,2018
VITANJE,21.0,12.0,3.0,2.0,20.0,10.0,18.0,86.0,JAN,2018
VODICE,27.0,27.0,9.0,4.0,19.0,10.0,40.0,136.0,JAN,2018
VOJNIK,98.0,57.0,28.0,17.0,53.0,21.0,58.0,332.0,JAN,2018
VRANSKO,23.0,17.0,8.0,5.0,12.0,16.0,21.0,102.0,JAN,2018
VRHNIKA,162.0,91.0,41.0,30.0,101.0,39.0,202.0,666.0,JAN,2018
VUZENICA,33.0,23.0,9.0,10.0,13.0,5.0,24.0,117.0,JAN,2018
ZAGORJE OB SAVI,145.0,102.0,56.0,31.0,118.0,70.0,140.0,662.0,JAN,2018
ZAVRČ,21.0,12.0,3.0,5.0,7.0,7.0,14.0,69.0,JAN,2018
ZREČE,53.0,47.0,14.0,19.0,71.0,25.0,78.0,307.0,JAN,2018
ŽALEC,261.0,129.0,84.0,59.0,181.0,95.0,301.0,1110.0,JAN,2018
ŽELEZNIKI,29.0,16.0,10.0,7.0,22.0,5.0,15.0,104.0,JAN,2018
ŽETALE,12.0,13.0,3.0,3.0,9.0,2.0,5.0,47.0,JAN,2018
ŽIRI,34.0,13.0,4.0,7.0,22.0,3.0,11.0,94.0,JAN,2018
ŽIROVNICA,38.0,14.0,8.0,8.0,12.0,10.0,14.0,104.0,JAN,2018
ŽUŽEMBERK,26.0,14.0,6.0,3.0,14.0,15.0,30.0,108.0,JAN,2018
Občina izven RS,321.0,95.0,34.0,36.0,48.0,12.0,21.0,567.0,JAN,2018
,,,,,,,,,JAN,2018
,,,,,,,,87919.0,JAN,2018
AJDOVŠČINA,137.0,91.0,57.0,29.0,104.0,50.0,190.0,658.0,FEB,2018
ANKARAN,27.0,20.0,9.0,8.0,17.0,5.0,30.0,116.0,FEB,2018
APAČE,50.0,34.0,8.0,12.0,47.0,14.0,51.0,216.0,FEB,2018
BELTINCI,152.0,94.0,33.0,32.0,72.0,35.0,142.0,560.0,FEB,2018
BENEDIKT,32.0,13.0,5.0,2.0,16.0,4.0,5.0,77.0,FEB,2018
BISTRICA OB SOTLI,12.0,4.0,4.0,3.0,8.0,3.0,14.0,48.0,FEB,2018
BLED,69.0,50.0,18.0,18.0,31.0,14.0,26.0,226.0,FEB,2018
BLOKE,15.0,11.0,4.0,2.0,16.0,7.0,13.0,68.0,FEB,2018
BOHINJ,48.0,29.0,14.0,8.0,13.0,6.0,12.0,130.0,FEB,2018
BOROVNICA,37.0,28.0,9.0,4.0,39.0,12.0,50.0,179.0,FEB,2018
BOVEC,38.0,17.0,4.0,6.0,18.0,4.0,12.0,99.0,FEB,2018
BRASLOVČE,49.0,38.0,12.0,15.0,31.0,10.0,42.0,197.0,FEB,2018
BRDA,37.0,22.0,10.0,9.0,25.0,9.0,16.0,128.0,FEB,2018
BREZOVICA,74.0,56.0,33.0,16.0,76.0,35.0,96.0,386.0,FEB,2018
BREŽICE,221.0,154.0,79.0,42.0,185.0,87.0,393.0,1161.0,FEB,2018
CANKOVA,33.0,19.0,6.0,3.0,17.0,11.0,42.0,131.0,FEB,2018
CELJE,707.0,387.0,170.0,132.0,471.0,205.0,651.0,2723.0,FEB,2018
CERKLJE NA GORENJSKEM,61.0,37.0,16.0,10.0,35.0,8.0,22.0,189.0,FEB,2018
CERKNICA,109.0,72.0,29.0,17.0,82.0,38.0,75.0,422.0,FEB,2018
CERKNO,15.0,15.0,5.0,5.0,15.0,4.0,13.0,72.0,FEB,2018
CERKVENJAK,23.0,10.0,4.0,4.0,12.0,3.0,3.0,59.0,FEB,2018
CIRKULANE,27.0,12.0,4.0,5.0,15.0,13.0,16.0,92.0,FEB,2018
ČRENŠOVCI,75.0,25.0,17.0,18.0,34.0,22.0,122.0,313.0,FEB,2018
ČRNA NA KOROŠKEM,22.0,22.0,7.0,2.0,9.0,8.0,28.0,98.0,FEB,2018
ČRNOMELJ,114.0,97.0,54.0,35.0,101.0,57.0,378.0,836.0,FEB,2018
DESTRNIK,22.0,11.0,7.0,6.0,14.0,6.0,10.0,76.0,FEB,2018
DIVAČA,33.0,23.0,16.0,8.0,32.0,11.0,30.0,153.0,FEB,2018
DOBJE,9.0,2.0,3.0,0.0,5.0,3.0,12.0,34.0,FEB,2018
DOBREPOLJE,23.0,18.0,12.0,5.0,22.0,10.0,34.0,124.0,FEB,2018
DOBRNA,18.0,13.0,4.0,2.0,6.0,4.0,10.0,57.0,FEB,2018
DOBROVA-POLHOV GRADEC,41.0,29.0,15.0,11.0,42.0,13.0,40.0,191.0,FEB,2018
DOBROVNIK,17.0,16.0,4.0,4.0,26.0,6.0,40.0,113.0,FEB,2018
DOL PRI LJUBLJANI,41.0,28.0,27.0,6.0,39.0,13.0,49.0,203.0,FEB,2018
DOLENJSKE TOPLICE,14.0,13.0,6.0,1.0,15.0,1.0,26.0,76.0,FEB,2018
DOMŽALE,246.0,170.0,82.0,66.0,209.0,77.0,280.0,1130.0,FEB,2018
DORNAVA,26.0,10.0,1.0,5.0,11.0,7.0,11.0,71.0,FEB,2018
DRAVOGRAD,94.0,52.0,14.0,12.0,61.0,31.0,68.0,332.0,FEB,2018
DUPLEK,73.0,53.0,22.0,12.0,68.0,22.0,67.0,317.0,FEB,2018
GORENJA VAS-POLJANE,23.0,24.0,13.0,8.0,25.0,9.0,23.0,125.0,FEB,2018
GORIŠNICA,34.0,27.0,12.0,8.0,25.0,9.0,24.0,139.0,FEB,2018
GORJE,26.0,17.0,6.0,7.0,12.0,9.0,8.0,85.0,FEB,2018
GORNJA RADGONA,125.0,62.0,25.0,18.0,82.0,43.0,117.0,472.0,FEB,2018
GORNJI GRAD,20.0,16.0,10.0,2.0,9.0,5.0,15.0,77.0,FEB,2018
GORNJI PETROVCI,44.0,24.0,9.0,3.0,16.0,9.0,23.0,128.0,FEB,2018
GRAD,44.0,9.0,8.0,2.0,11.0,10.0,30.0,114.0,FEB,2018
GROSUPLJE,156.0,108.0,43.0,31.0,130.0,63.0,251.0,782.0,FEB,2018
HAJDINA,31.0,25.0,11.0,5.0,23.0,13.0,14.0,122.0,FEB,2018
HOČE-SLIVNICA,98.0,104.0,47.0,42.0,83.0,39.0,115.0,528.0,FEB,2018
HODOŠ,5.0,1.0,1.0,1.0,2.0,0.0,5.0,15.0,FEB,2018
HORJUL,20.0,13.0,0.0,2.0,16.0,1.0,17.0,69.0,FEB,2018
HRASTNIK,95.0,68.0,26.0,25.0,74.0,37.0,144.0,469.0,FEB,2018
HRPELJE-KOZINA,29.0,31.0,9.0,9.0,25.0,11.0,34.0,148.0,FEB,2018
IDRIJA,52.0,31.0,44.0,10.0,47.0,13.0,37.0,234.0,FEB,2018
IG,34.0,35.0,11.0,12.0,43.0,15.0,47.0,197.0,FEB,2018
ILIRSKA BISTRICA,115.0,59.0,32.0,18.0,63.0,32.0,145.0,464.0,FEB,2018
IVANČNA GORICA,96.0,84.0,40.0,20.0,70.0,28.0,141.0,479.0,FEB,2018
IZOLA,161.0,121.0,42.0,28.0,94.0,46.0,128.0,620.0,FEB,2018
JESENICE,174.0,103.0,50.0,37.0,94.0,31.0,129.0,618.0,FEB,2018
JEZERSKO,4.0,2.0,1.0,3.0,4.0,0.0,1.0,15.0,FEB,2018
JURŠINCI,25.0,19.0,4.0,2.0,13.0,4.0,6.0,73.0,FEB,2018
KAMNIK,224.0,133.0,78.0,55.0,126.0,59.0,244.0,919.0,FEB,2018
KANAL,42.0,41.0,15.0,11.0,37.0,8.0,34.0,188.0,FEB,2018
KIDRIČEVO,51.0,41.0,17.0,12.0,43.0,15.0,29.0,208.0,FEB,2018
KOBARID,25.0,23.0,7.0,8.0,22.0,3.0,16.0,104.0,FEB,2018
KOBILJE,4.0,8.0,0.0,3.0,5.0,2.0,8.0,30.0,FEB,2018
KOČEVJE,177.0,124.0,74.0,43.0,146.0,85.0,598.0,1247.0,FEB,2018
KOMEN,25.0,9.0,8.0,8.0,22.0,12.0,23.0,107.0,FEB,2018
KOMENDA,48.0,27.0,12.0,12.0,21.0,14.0,25.0,159.0,FEB,2018
KOPER,422.0,341.0,171.0,111.0,303.0,116.0,445.0,1909.0,FEB,2018
KOSTANJEVICA NA KRKI,10.0,10.0,8.0,5.0,15.0,5.0,30.0,83.0,FEB,2018
KOSTEL,6.0,8.0,2.0,1.0,5.0,3.0,9.0,34.0,FEB,2018
KOZJE,22.0,15.0,5.0,8.0,19.0,10.0,52.0,131.0,FEB,2018
KRANJ,582.0,289.0,134.0,119.0,299.0,141.0,348.0,1912.0,FEB,2018
KRANJSKA GORA,23.0,17.0,10.0,12.0,30.0,9.0,24.0,125.0,FEB,2018
KRIŽEVCI,42.0,22.0,9.0,8.0,19.0,8.0,34.0,142.0,FEB,2018
